sampleID	BasalTumor	ClassicalTumor	ActivatedStroma	NormalStroma	Immune	Endocrine	Exocrine	Olfactory	Histone
SA518704	0.990711	1.526774	0.681586	0.000000	0.000000	0.000000	0.241841	0.038739	1.769126
SA518712	1.167877	1.150393	0.710331	0.000000	0.000000	0.000000	0.113349	0.265905	1.914383
SA518716	0.664336	1.727459	0.719923	0.000000	0.105984	0.000000	0.177222	0.000000	1.664612
SA518724	0.770482	2.223887	0.374778	0.000000	0.000000	0.000000	0.081863	0.000000	1.445119
SA518750	0.703147	1.700377	0.300644	0.800786	0.000000	0.000000	0.023524	0.000000	1.830466
SA518765	1.057779	1.803999	0.649789	0.000000	0.021218	0.000000	0.131548	0.000000	1.757630
SA518806	1.306465	1.384214	0.728516	0.000000	0.000000	0.000000	0.018938	0.000000	1.899931
SA518817	0.732473	2.248531	0.452693	0.000000	0.000000	0.000000	0.091345	0.000000	1.700391
SA518851	2.074906	0.223269	0.925866	0.000000	0.042418	0.000000	0.055977	0.000000	1.820798
SA518854	1.171520	1.138546	0.770683	0.000000	0.000000	0.000000	0.398386	0.000000	1.871163
SA518868	0.907266	1.325651	0.811893	0.000000	0.291366	0.000000	0.018930	0.000000	1.861479
SA518873	1.102216	0.753543	1.332799	0.000000	0.058409	0.000000	0.019309	0.163305	1.711266
SA518878	0.966179	1.459581	0.843315	0.000000	0.007319	0.000000	0.061347	0.000000	1.911067
SA528675	0.765890	1.785901	0.538503	0.013871	0.053972	0.000000	0.112487	0.000000	1.880745
SA528676	0.538447	0.494344	0.054692	0.216209	0.206205	0.029026	0.000000	0.107764	0.674095
SA528677	1.348706	1.457737	0.000000	0.000000	0.000000	0.000000	0.093868	0.048561	1.652826
SA528679	1.210563	0.771878	0.585080	0.092072	0.173048	0.000000	0.000000	0.077424	1.497682
SA528687	0.698764	1.910838	0.829516	0.000000	0.029160	0.000000	0.044851	0.000000	1.772958
SA528695	0.988049	1.873091	0.534458	0.000000	0.000000	0.007658	0.000511	0.279415	1.679830
SA528701	0.909814	2.351151	0.000000	0.000000	0.060980	0.000000	0.000000	0.109263	1.614730
SA528709	1.747312	0.375281	1.268708	0.000000	0.060786	0.000000	0.055181	0.000000	1.620553
SA528711	1.093680	1.341231	0.568909	0.000000	0.000000	0.000000	0.000000	0.479456	1.872029
SA528755	0.772300	1.869078	0.654881	0.000000	0.024408	0.000000	0.095665	0.000000	1.914908
SA528761	1.667725	1.030328	0.523380	0.000000	0.000000	0.000000	0.060707	0.188188	1.847006
SA528763	0.599305	1.706882	1.094360	0.000000	0.024620	0.000000	0.000000	0.000000	1.586855
SA528766	1.141729	1.309308	0.287806	0.009665	0.000000	0.000000	0.000000	0.475619	1.690398
SA528767	1.098554	1.407211	0.502724	0.357621	0.051402	0.000000	0.000000	0.000000	1.786987
SA528768	0.898394	2.180168	0.272848	0.000000	0.000000	0.160273	0.006441	0.120441	1.651757
SA528769	0.616281	1.779155	0.000000	0.121161	0.000000	0.000000	0.000000	0.188656	1.561682
SA528771	0.761850	2.056467	0.228027	0.000000	0.023466	0.000000	0.000000	0.128736	1.891577
