geneID	Endocrine	Immune	Exocrine	ActivatedStroma	ClassicalTumor	NormalStroma	BasalTumor
ABCC2	0	1.120422e+00	0	0	2.594108e-01	7.717503e-01	0
ABCC3	6.575745e-02	3.549083e-01	8.220632e-01	7.211289e-01	1.849076e+00	8.761598e-01	1.061890e+00
ABCC4	1.071319e+00	1.134785e+00	6.046354e-01	8.657493e-01	2.699170e-01	1.413248e+00	0
ABCC5	1.060815e+00	7.365444e-01	3.058806e-01	8.949350e-01	1.008306e+00	1.051845e+00	6.940476e-01
ABCC6	1.386601e+00	5.002878e-01	2.488123e+00	9.680615e-02	1.107432e+00	1.481789e+00	0
ABCC6P1	0	4.031631e-01	1.774723e+00	0	1.099325e+00	6.068838e-01	0
ABCC6P2	7.660780e-01	0	1.234897e+00	1.523868e-01	7.220750e-01	8.700035e-01	0
ABCC8	1.404648e+01	6.517090e-01	1.523925e+00	5.940196e-01	2.954794e-01	6.922595e-01	4.305506e-01
ABCC9	2.342336e+00	1.562737e+00	5.741664e-01	1.401584e+00	0	2.499039e+00	0
ABCD1	7.894794e-01	6.196260e-01	1.042625e+00	6.270877e-01	8.296905e-01	6.806986e-01	8.748200e-01
ABCD2	1.034117e+00	3.459680e+00	4.252152e-01	0	0	1.049069e+00	0
ABCD3	8.840905e-01	6.077059e-01	8.747903e-01	7.304761e-01	1.160613e+00	1.122062e+00	6.632735e-01
ABCD4	7.113756e-01	1.069030e+00	8.509809e-01	7.374279e-01	1.061436e+00	1.009849e+00	9.557670e-01
ABCE1	4.739025e-01	8.335451e-01	8.835231e-01	7.784308e-01	6.844039e-01	7.357634e-01	9.361984e-01
ABCF1	9.479603e-01	1.106704e+00	8.514810e-01	9.590283e-01	8.867938e-01	9.548121e-01	9.567644e-01
ABCF2	9.819874e-01	1.015474e+00	7.257926e-01	7.073012e-01	7.798884e-01	9.515091e-01	1.108413e+00
ABCF3	7.905298e-01	1.053575e+00	8.428966e-01	9.240766e-01	8.526680e-01	7.797211e-01	1.092273e+00
ABCG1	5.111154e-01	1.093167e+00	4.228542e-01	1.376024e+00	1.070743e+00	4.539636e-01	1.072574e+00
ABCG2	2.057935e+00	1.284198e+00	7.246869e-02	8.797054e-01	4.226337e-01	1.618853e+00	0
ABCG4	8.499207e-01	1.232382e-02	1.600943e-01	9.328354e-01	0	1.110200e+00	0
ABCG5	0	0	0	0	7.733062e-01	1.213056e+00	0
