sampleID	D10.4_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D11.11_HINATA-NFKB-IMMU-INF	D13.7_GNF2-GLTSCR2	D10.5_IONOTROPIC-GLUTAMATE-RECEPTOR-ACTIVITY	D6.2_LOPEZ-EPITHELIOID-MESOTHELIOMA	D10.8_SMID-BREAST-CANCER-RELAPSE-IN-LIVER-DN	D7.1_KUMAMOTO-RESPONSE-TO-NUTLIN-3A-DN	D11.1_HISTONE-ACETYLTRANSFERASE-ACTIVITY
TCGA-MQ-A6BS-01A-12R-A34F-07	5.632288e-01	0	1.114918e+00	1.319190e+00	4.422304e+00	5.615230e-01	0	3.190547e+00
TCGA-NQ-A57I-01A-11R-A34F-07	0	4.647401e-01	1.778904e+00	0	3.029999e-01	4.959713e-01	3.811678e+00	3.053495e+00
TCGA-NQ-A638-01A-11R-A34F-07	7.176793e-01	0	1.820067e+00	2.082230e-01	2.894972e+00	1.656939e+00	2.536704e+00	4.121823e-01
TCGA-SC-A6LM-01A-11R-A34F-07	9.226951e-01	0	6.781118e-01	1.931715e+00	2.153083e+00	1.519404e-01	1.993582e+00	2.579224e+00
TCGA-SC-A6LN-01A-11R-A34F-07	7.666994e-01	1.402401e-01	9.781240e-01	2.145982e+00	9.342864e-01	4.901398e-01	1.524214e+00	7.611220e-01
TCGA-SC-A6LP-01A-11R-A34F-07	6.195569e-01	0	1.376181e+00	0	4.082178e-01	5.104079e-01	4.332392e+00	1.361556e+00
TCGA-SC-A6LQ-01A-11R-A34F-07	9.949637e-01	1.702065e-01	3.237872e-01	0	3.339252e+00	8.307804e-01	2.534007e+00	1.416055e+00
TCGA-SC-A6LR-01A-11R-A34F-07	5.102313e-01	3.228356e-01	1.719723e+00	0	3.715269e+00	2.096028e+00	0	1.694970e+00
TCGA-SC-AA5Z-01A-21R-A40A-07	1.449906e+00	0	0	0	2.308742e+00	1.619087e+00	1.753020e+00	1.400311e+00
TCGA-SH-A7BC-01A-11R-A34F-07	1.290913e+00	0	6.054528e-01	4.480733e-01	2.154623e+00	1.269258e+00	3.031972e+00	1.305449e+00
TCGA-SH-A7BD-01A-11R-A34F-07	7.497804e-01	0	1.117539e+00	0	5.089665e+00	0	1.778933e+00	6.837301e-01
TCGA-SH-A7BH-01A-11R-A34F-07	2.397390e-01	4.436824e-01	5.679367e+00	1.767622e-01	3.709710e-01	2.455596e-01	9.418000e-01	5.052078e-01
TCGA-SH-A9CT-01A-11R-A40A-07	9.037320e-01	4.752673e-01	2.768027e-01	1.676753e-01	1.974032e+00	1.521274e+00	2.070539e+00	1.276181e+00
TCGA-SH-A9CU-01A-11R-A40A-07	4.012743e-01	0	6.446221e-01	1.387498e+00	2.366071e+00	1.936311e+00	5.476466e-01	9.254526e-01
TCGA-TS-A7OU-01B-11R-A40A-07	1.366595e+00	0	5.946754e-01	4.958544e-02	4.731138e+00	3.982585e-01	6.338464e-01	1.717203e+00
TCGA-TS-A7OY-01A-11R-A34F-07	1.446956e+00	1.165118e-01	5.957952e-01	3.212568e-01	8.983555e-01	9.938160e-01	3.044220e+00	9.742797e-01
TCGA-TS-A7OZ-01A-21R-A40A-07	1.175964e+00	8.475611e-01	5.492812e-01	2.376765e+00	1.241992e+00	3.321869e-01	1.139176e+00	1.585710e+00
TCGA-TS-A7P0-01A-11R-A34F-07	1.270461e+00	5.564380e-02	1.019307e+00	1.015690e+00	1.754529e+00	1.707948e+00	2.024942e+00	9.200010e-01
TCGA-TS-A7P1-01A-41R-A40A-07	2.432673e-01	6.678162e-02	2.502666e-01	4.314128e-01	2.894710e+00	2.070753e-01	4.620825e+00	9.716136e-01
TCGA-TS-A7P3-01A-12R-A34F-07	8.479307e-01	4.196682e-01	1.748735e-01	1.284006e+00	1.232492e+00	4.295276e-01	1.026812e+00	3.118462e+00
TCGA-TS-A7P6-01A-21R-A34F-07	6.296431e-01	0	1.095161e+00	4.669319e-01	1.463762e+00	8.007143e-01	3.410864e+00	0
TCGA-TS-A7P7-01A-11R-A40A-07	0	0	2.827388e+00	4.715541e-01	1.179874e+00	3.688191e-01	1.747499e+00	3.858367e+00
TCGA-TS-A7P8-01A-11R-A34F-07	1.672409e+00	1.063175e+00	8.366631e-01	1.035641e+00	1.778148e+00	1.070828e+00	9.300151e-01	1.441151e+00
TCGA-TS-A7PB-01A-11R-A34F-07	1.106122e+00	6.046498e-01	7.425044e-01	0	4.499695e+00	0	1.615275e+00	9.507236e-01
TCGA-TS-A8AF-01A-11R-A40A-07	9.852333e-01	5.850106e-01	0	1.258265e+00	2.359692e+00	4.386358e-01	2.588958e+00	1.289309e+00
TCGA-TS-A8AI-01A-11R-A40A-07	2.940812e-01	3.247436e-02	2.183129e-01	5.802839e-01	1.964804e+00	0	3.306804e+00	1.768039e+00
TCGA-TS-A8AS-01A-21R-A40A-07	1.638118e+00	1.403289e+00	2.741276e-01	0	4.173928e+00	6.026590e-01	6.045739e-01	2.126420e+00
TCGA-TS-A8AV-01A-12R-A40A-07	2.311502e+00	1.757401e+00	5.511496e-01	0	5.807241e-01	1.167474e-02	3.603287e+00	1.741870e+00
TCGA-TS-A8AY-01A-21R-A40A-07	1.021185e+00	3.898796e-01	7.069813e-01	7.503774e-01	2.012649e+00	1.800661e+00	2.105732e+00	9.119410e-01
TCGA-UD-AABY-01A-12R-A40A-07	2.393605e-01	0	1.072382e+00	1.879322e+00	1.016983e+00	3.019926e-01	1.217721e+00	2.912546e+00
TCGA-UD-AABZ-01A-12R-A40A-07	0	0	4.250226e-01	1.506002e+00	2.549686e+00	3.920434e-01	2.500649e+00	4.254913e-01
TCGA-UD-AAC1-01A-11R-A40A-07	1.022573e+00	0	0	0	2.513267e+00	1.497424e+00	3.660505e+00	4.240868e-01
TCGA-UD-AAC4-01A-11R-A40A-07	5.528427e-02	0	5.040374e-01	0	3.122313e+00	8.569681e-01	3.251734e+00	1.294423e+00
TCGA-UD-AAC5-01A-11R-A40A-07	4.620717e-01	2.483901e-01	3.455997e-01	1.447162e+00	2.297178e+00	2.102796e-01	1.794142e+00	2.621354e+00
TCGA-UD-AAC6-01A-11R-A40A-07	9.325713e-01	0	5.000486e-01	5.391658e-01	3.599072e+00	7.946363e-01	1.883558e+00	1.696934e+00
TCGA-UD-AAC7-01A-11R-A40A-07	5.478144e-01	0	4.520067e-01	0	2.453548e+00	5.896842e-01	4.976323e+00	1.234218e+00
TCGA-UT-A88C-01B-11R-A40A-07	1.633438e+00	0	5.737917e-01	3.377173e-01	4.527829e+00	5.772294e-01	6.981083e-01	2.688081e+00
TCGA-UT-A88D-01B-11R-A40A-07	1.542439e+00	0	6.487709e-01	1.593682e+00	2.186100e+00	3.160900e-01	1.630943e+00	2.725085e+00
TCGA-UT-A88E-01B-11R-A40A-07	4.554529e-01	3.620932e-01	1.206230e+00	0	4.412494e+00	3.559933e-01	3.723827e+00	1.891100e+00
TCGA-UT-A88G-01B-11R-A40A-07	8.642084e-01	4.359213e-03	5.354871e-01	2.660772e+00	1.489180e+00	9.315190e-01	8.459726e-01	2.341264e+00
TCGA-UT-A97Y-01A-21R-A40A-07	1.672742e-01	0	5.496304e-01	7.383465e-01	1.054585e+00	4.835658e-01	2.535287e+00	2.041447e+00
TCGA-XT-AASU-01A-11R-A40A-07	5.344627e-01	4.858667e-01	1.088083e+00	8.609425e-01	9.933271e-01	1.691465e-01	3.351921e+00	2.340026e+00
TCGA-YS-A95B-01A-11R-A40A-07	0	0	4.985563e-01	6.082598e-01	1.507531e+00	1.512947e+00	2.995468e+00	1.410531e+00
TCGA-YS-A95C-01A-11R-A40A-07	1.292428e+00	0	7.835838e-01	2.246361e-01	4.365792e+00	1.661285e+00	0	1.828405e+00
TCGA-YS-AA4M-01A-11R-A40A-07	2.237672e+00	1.554419e-01	2.628890e-01	4.661068e-01	2.349336e+00	3.677530e-01	4.076345e+00	2.100557e+00
TCGA-ZN-A9VO-01A-11R-A40A-07	1.784560e+00	0	6.040572e-01	0	4.545933e+00	2.251675e-01	2.588637e+00	1.283525e+00
TCGA-ZN-A9VP-01A-11R-A40A-07	1.002867e+00	0	1.008433e+00	6.857591e-01	2.927883e+00	1.253102e+00	1.673149e+00	1.922979e+00
TCGA-ZN-A9VQ-01A-11R-A40A-07	0	0	1.154437e+00	2.188741e+00	2.169299e+00	0	1.294627e+00	3.212240e+00
TCGA-ZN-A9VS-01A-11R-A40A-07	1.022250e+00	3.204920e-02	3.814743e-01	0	5.114039e+00	1.139258e+00	1.036526e+00	2.088107e+00
TCGA-ZN-A9VU-01A-11R-A40A-07	1.596823e+00	0	0	0	5.361838e+00	1.003976e+00	1.038450e+00	2.470749e+00
TCGA-ZN-A9VV-01A-11R-A40A-07	8.690122e-01	0	1.159717e+00	2.617398e+00	2.598207e+00	0	0	2.758594e+00
TCGA-ZN-A9VW-01A-11R-A40A-07	1.053702e+00	0	5.280105e-01	5.226289e-02	1.947932e+00	3.161493e-01	5.312213e+00	2.106681e+00
