sampleID	D16.16_RICKMAN-HEAD-AND-NECK-CANCER-D	D8.3_NAKAMURA-LUNG-CANCER-DIFFERENTIATION-MARKERS	D6.6_GNF2-SPRR1B	D13.5_SINGH-NFE2L2-TARGETS	D11.9_GNF2-BUB1	D15.5_FARMER-BREAST-CANCER-CLUSTER-5	D15.4_BARRIER-CANCER-RELAPSE-NORMAL-SAMPLE-DN	D9.7_EPITHELIAL-CELL-DIFFERENTIATION	D10.8_BIOCARTA-TCAPOPTOSIS-PATHWAY	D8.1_MIPS-40S-RIBOSOMAL-SUBUNIT-CYTOPLASMIC
TCGA-21-5786-01A-01R-1635-07	0	2.714353e-01	4.697736e-01	8.970947e-02	6.288017e-01	1.786055e+00	7.050429e-01	1.659071e-01	6.395945e-02	3.631099e+00
TCGA-21-5787-01A-01R-1635-07	0	8.738987e-01	2.587605e-01	5.811055e-02	3.670131e-01	1.102255e+00	1.706915e+00	6.347402e-03	6.067580e-01	6.174001e+00
TCGA-21-A5DI-01A-31R-A26W-07	0	0	8.107662e-01	3.020772e-01	0	1.622890e+00	9.897724e-01	2.679770e-01	0	4.878609e+00
TCGA-22-0940-01A-01R-0692-07	0	9.345616e-01	2.250440e-01	6.225583e-01	0	6.661361e-01	9.942575e-01	4.087035e-02	7.007739e-01	5.541349e+00
TCGA-22-0944-01A-01R-0692-07	0	6.157107e-01	1.130754e+00	7.868265e-01	3.121436e-02	9.935623e-01	1.079462e+00	4.835311e-01	0	4.861518e+00
TCGA-22-1000-01A-01R-A32Z-07	2.840772e-02	1.601710e+00	7.868811e-01	1.680384e-01	0	1.423527e+00	1.178347e+00	2.736041e-01	5.707109e-01	4.307584e+00
TCGA-22-1002-01A-01R-0692-07	0	2.004740e+00	6.543853e-01	2.180480e-01	0	6.438216e-01	9.397263e-01	6.145087e-01	2.110714e-01	4.116707e+00
TCGA-22-1005-01A-01R-0692-07	1.310245e-01	1.696399e+00	8.961890e-02	1.245250e-01	2.084807e-01	6.800312e-01	1.408433e+00	1.375124e-01	1.019091e+00	5.145273e+00
TCGA-22-1011-01A-01R-0692-07	0	7.547905e-01	8.151324e-01	1.095389e-01	0	9.613271e-01	9.013811e-01	1.125125e+00	5.268217e-01	4.230548e+00
TCGA-22-1012-01A-01R-0692-07	0	5.463376e-01	8.243744e-01	6.440021e-01	5.759364e-01	1.045120e+00	8.644269e-01	2.999808e-01	2.637727e-01	4.048995e+00
