sampleID	D6.6_SU-KIDNEY	D7.6_REACTOME-INITIAL-TRIGGERING-OF-COMPLEMENT	D9.6_BIOCARTA-KREB-PATHWAY	D12.7_SABATES-COLORECTAL-ADENOMA-SIZE-UP	D8.2_FARMER-BREAST-CANCER-CLUSTER-5	D11.11_ACUTE-INFLAMMATORY-RESPONSE	D10.6_AIGNER-ZEB1-TARGETS	D7.1_chryp11
TCGA-B0-5402-11A-01R-1503-07	1.432729e+00	2.130491e-01	1.894849e+00	7.966620e-02	1.675795e+00	0	1.810709e+00	4.693983e-01
TCGA-B0-5402-01A-01R-1503-07	2.090822e-01	3.896212e-01	5.078569e-01	1.074149e-01	1.877892e+00	0	1.196844e-01	5.678350e+00
TCGA-B0-5690-11A-01R-1541-07	1.592544e+00	0	2.535934e+00	1.955350e-01	2.989780e-01	0	2.403273e+00	6.747900e-01
TCGA-B0-5690-01A-11R-1541-07	9.740076e-02	0	2.340725e-01	4.443222e-01	2.183140e+00	0	0	3.932740e+00
TCGA-B0-5691-11A-01R-1541-07	1.559850e+00	0	1.939941e+00	1.912486e-01	1.225337e+00	0	1.881074e+00	1.093394e+00
TCGA-B0-5691-01A-11R-1541-07	9.390502e-01	0	9.115396e-01	3.990503e-01	1.963363e+00	0	1.188389e+00	2.382775e+00
TCGA-B0-5692-01A-11R-1541-07	9.280953e-02	8.024287e-01	7.891302e-03	1.293456e+00	6.230015e-01	0	0	5.393986e+00
TCGA-B0-5693-01A-11R-1541-07	1.598828e-01	0	3.017680e-01	5.247931e-01	1.647658e+00	0	0	4.495046e+00
TCGA-B0-5694-11A-01R-1541-07	1.342488e+00	7.635253e-02	1.917408e+00	1.746862e-01	1.494826e+00	0	1.859289e+00	8.011344e-01
TCGA-B0-5694-01A-11R-1541-07	1.412442e-01	8.359712e-01	4.147109e-01	3.559476e-01	1.770422e+00	4.531136e-02	6.068624e-01	4.493252e+00
TCGA-B0-5695-01A-11R-1541-07	5.088692e-01	2.715972e-02	7.598172e-01	3.999865e-01	1.379624e+00	0	5.730252e-01	3.458681e+00
TCGA-B0-5696-11A-01R-1541-07	1.645156e+00	0	2.432574e+00	2.524803e-01	4.071081e-01	0	2.108119e+00	1.046521e+00
TCGA-B0-5696-01A-11R-1541-07	3.514885e-01	6.401489e-01	6.127248e-01	2.148475e-01	1.331416e+00	0	1.333207e-01	4.535817e+00
TCGA-B0-5697-11A-01R-1541-07	1.575871e+00	0	2.737878e+00	1.266980e-01	4.451218e-01	0	2.240500e+00	1.162368e-01
TCGA-B0-5697-01A-11R-1541-07	2.330230e-01	9.710773e-01	2.552087e-01	9.989735e-01	1.055936e+00	0	9.554627e-01	5.121752e+00
TCGA-B0-5698-01A-11R-1672-07	0	4.855044e-01	1.123616e-01	6.607107e-01	1.014689e+00	0	0	6.906697e+00
TCGA-B0-5699-11A-01R-1541-07	1.631744e+00	0	2.475661e+00	9.949518e-03	7.338410e-01	0	2.081651e+00	6.481246e-01
TCGA-B0-5699-01A-11R-1541-07	1.311662e-01	3.134662e-01	2.153172e-01	9.424490e-01	5.775363e-01	0	1.906154e-01	6.887415e+00
TCGA-B0-5700-01A-11R-1541-07	5.353304e-01	3.552621e-01	6.151411e-01	5.961412e-01	1.019859e+00	0	2.264973e-01	3.468805e+00
TCGA-B0-5701-11A-01R-1541-07	1.286439e+00	0	1.996501e+00	1.867495e-01	1.607617e+00	0	2.477102e+00	2.235499e-01
TCGA-B0-5701-01A-11R-1541-07	4.763218e-02	1.301106e+00	3.600792e-01	4.889886e-01	1.249738e+00	8.452503e-02	1.521842e-01	6.339179e+00
TCGA-B0-5702-01A-11R-1541-07	3.572826e-01	1.471901e+00	9.610633e-01	1.080408e+00	1.600716e+00	0	6.228017e-01	0
TCGA-B0-5703-11A-01R-1541-07	1.221890e+00	1.021437e-01	2.558078e+00	3.067195e-01	6.741599e-01	0	2.491962e+00	0
TCGA-B0-5703-01A-11R-1541-07	1.825338e-01	3.847370e-01	3.922201e-01	7.175755e-01	1.214478e+00	0	4.689933e-02	4.469670e+00
TCGA-B0-5705-11A-01R-1541-07	1.418649e+00	0	2.416996e+00	2.336523e-01	6.233571e-01	0	2.657502e+00	4.810692e-01
TCGA-B0-5705-01A-11R-1541-07	2.798275e-01	8.596961e-02	2.009213e-01	9.303164e-01	4.911284e-01	0	0	6.460423e+00
TCGA-B0-5706-11A-01R-1541-07	9.787069e-01	0	2.595555e+00	3.081010e-01	6.882299e-01	0	2.804873e+00	1.728229e-02
TCGA-B0-5706-01A-11R-1541-07	0	8.272868e-01	3.385681e-01	2.029023e-01	2.600771e+00	1.553304e-01	3.705870e-01	4.976556e+00
TCGA-B0-5707-01A-11R-1541-07	3.864633e-01	1.101006e+00	8.234392e-01	1.302972e+00	4.831917e-01	0	1.358160e+00	2.947157e+00
TCGA-B0-5709-11A-01R-1541-07	1.628600e+00	1.633526e-02	2.201165e+00	3.602129e-01	7.131539e-01	0	1.819916e+00	4.414658e-01
TCGA-B0-5709-01A-11R-1541-07	3.951002e-01	5.246821e-01	1.296743e-01	6.221679e-01	2.317494e+00	0	3.962863e-01	4.093946e+00
TCGA-B0-5710-01A-11R-1672-07	0	1.196587e-01	3.056246e-01	9.013025e-02	2.349507e+00	0	1.993575e-01	5.384730e+00
TCGA-B0-5711-11A-01R-1672-07	1.395126e+00	0	2.479931e+00	1.550229e-01	4.133829e-01	0	2.504994e+00	1.314187e+00
TCGA-B0-5711-01A-11R-1672-07	2.462847e-02	1.100173e-01	1.577472e-01	3.181294e-01	1.538123e+00	0	6.787307e-02	6.888342e+00
TCGA-B0-5712-11A-01R-1672-07	1.033283e+00	6.290497e-02	1.638620e+00	1.855233e-01	2.266772e+00	0	2.049379e+00	0
TCGA-B0-5712-01A-11R-1672-07	2.552056e-01	4.411471e-01	4.483500e-01	9.868831e-01	2.063632e-01	0	9.558792e-02	5.661791e+00
TCGA-B0-5713-01A-11R-1672-07	1.437592e-01	0	1.779508e-01	7.363730e-01	1.010434e+00	0	0	6.117560e+00
TCGA-B0-5812-01A-11R-1672-07	1.925742e-01	7.612707e-02	3.824363e-01	8.234821e-02	2.240438e+00	0	4.540069e-01	4.902595e+00
TCGA-B2-3923-01A-02R-1325-07	0	0	3.940247e+00	9.835671e-02	2.186670e+00	0	4.080054e-01	1.187690e+00
TCGA-B2-3924-01A-02R-1325-07	1.053726e-02	4.641270e-01	1.773905e-01	8.070125e-01	1.148565e+00	0	0	6.716718e+00
TCGA-B2-4098-01A-02R-1325-07	9.172440e-03	1.218524e+00	7.943267e-01	1.390401e+00	6.848095e-01	0	7.025409e-01	4.838462e+00
TCGA-B2-4099-01A-02R-1188-07	0	6.420675e-01	3.623312e-01	8.296436e-01	9.470751e-01	0	0	5.857397e+00
TCGA-B2-4101-01A-02R-1277-07	1.108790e-01	6.429746e-01	1.608285e-01	7.491455e-01	1.992352e+00	8.927568e-02	1.615511e-01	5.316729e+00
TCGA-B2-4102-01A-02R-1325-07	1.037697e-01	2.994263e-01	0	1.198927e+00	8.116737e-01	0	4.087470e-01	7.193099e+00
TCGA-B2-5633-01A-01R-1541-07	0	6.005694e-01	1.180003e-01	4.374659e-01	2.068780e+00	3.588076e-02	6.447122e-01	6.121277e+00
TCGA-B2-5635-01A-01R-1541-07	9.228450e-04	6.343613e-01	0	1.065919e+00	1.235562e+00	0	4.116899e-01	6.115678e+00
TCGA-B2-5636-11A-01R-1541-07	1.619715e+00	2.658119e-02	2.093328e+00	3.167933e-01	8.886812e-01	0	1.843055e+00	1.032979e+00
TCGA-B2-5636-01A-02R-1541-07	0	0	1.028929e+00	6.537881e-03	2.892353e+00	0	1.837939e+00	2.067220e+00
TCGA-B2-5639-01A-01R-1541-07	3.567315e-01	7.376623e-01	5.533625e-01	4.259292e-01	6.900015e-01	0	6.126803e-01	6.380196e+00
TCGA-B2-5641-11A-01R-1541-07	8.544574e-01	0	2.668119e+00	2.281050e-01	4.751842e-01	0	3.223122e+00	1.283649e+00
TCGA-B2-5641-01A-01R-1541-07	6.104107e-02	1.025066e+00	6.007209e-02	6.296273e-01	1.422224e+00	2.298411e-02	4.842394e-01	6.505819e+00
TCGA-B2-A4SR-01A-11R-A266-07	4.029131e-02	1.838653e-02	2.956507e-01	7.710773e-01	1.989210e+00	0	4.002920e-01	4.820977e+00
TCGA-B4-5377-01A-01R-1503-07	2.634324e-01	1.526495e-01	9.648542e-02	8.126858e-01	8.903356e-01	0	1.325545e-01	6.168737e+00
TCGA-B4-5378-01A-01R-1503-07	0	0	1.271320e+00	1.278381e-01	2.637486e+00	0	1.791397e+00	1.626391e+00
TCGA-B4-5832-01A-11R-1672-07	0	3.620161e-01	7.360702e-01	0	1.437360e+00	2.208688e-01	5.191877e-01	5.874557e+00
TCGA-B4-5834-01A-11R-1672-07	7.259315e-02	0	4.208736e-01	7.975414e-02	2.070619e+00	0	2.941761e-01	5.294217e+00
TCGA-B4-5835-01A-11R-1672-07	3.831117e-01	1.234681e+00	1.257600e+00	8.155028e-01	5.946145e-01	0	3.659827e-03	4.149986e+00
TCGA-B4-5836-01A-11R-1672-07	6.600815e-02	2.505962e-01	1.677311e-01	2.985828e-01	1.662424e+00	0	1.672052e-01	6.257450e+00
TCGA-B4-5838-01A-11R-1672-07	2.032333e-01	6.682556e-01	5.132091e-01	0	1.687014e+00	0	2.442223e-01	5.919906e+00
TCGA-B4-5843-01A-11R-1672-07	1.569438e-01	1.487013e-01	3.303967e-01	3.783515e-01	1.337454e+00	0	4.301726e-01	6.336152e+00
TCGA-B4-5844-01A-11R-1672-07	7.986883e-02	0	3.529115e-01	2.197096e-01	1.705168e+00	0	1.251115e-02	5.739716e+00
TCGA-B8-4143-01A-01R-1188-07	0	1.191657e+00	2.256925e-01	1.038751e+00	2.941461e+00	6.818199e-02	0	2.131603e+00
TCGA-B8-4146-01B-11R-1672-07	0	0	5.334520e-01	0	6.295697e-01	5.101156e-03	1.752039e-02	8.126221e+00
TCGA-B8-4148-01A-02R-1325-07	1.412875e-01	3.815756e-02	0	1.310777e+00	1.088858e+00	0	8.508292e-02	5.525459e+00
TCGA-B8-4151-01A-01R-1188-07	1.559734e-01	2.691595e-01	3.720436e-01	9.219801e-01	1.746507e-01	0	0	5.915473e+00
TCGA-B8-4153-01B-11R-1672-07	5.125177e-02	3.254437e-01	2.255882e-01	9.267424e-01	1.127938e+00	0	8.779616e-02	4.625619e+00
TCGA-B8-4154-01A-01R-1188-07	2.867249e-01	3.308455e-01	4.420887e-01	7.737764e-01	5.937669e-01	0	0	5.187568e+00
TCGA-B8-4619-11A-01R-1758-07	1.605768e+00	2.645009e-01	2.301352e+00	2.676544e-01	4.361713e-01	0	1.464350e+00	1.158183e+00
TCGA-B8-4619-01A-02R-1325-07	0	0	3.300882e+00	1.257645e-02	2.231109e+00	0	1.228357e+00	1.231172e+00
TCGA-B8-4620-11A-01R-1758-07	1.065148e+00	2.789119e-01	1.578207e+00	2.564324e-01	1.782381e+00	0	1.887787e+00	8.241099e-01
TCGA-B8-4620-01A-02R-1325-07	0	6.409748e-01	5.072662e-01	0	3.301729e+00	1.398606e-02	2.240173e-01	3.186125e+00
TCGA-B8-4621-01A-01R-1503-07	3.683755e-01	9.769516e-01	7.356966e-01	1.200856e+00	6.904999e-03	0	9.753487e-01	5.490371e+00
TCGA-B8-4622-11A-01R-1758-07	1.444600e+00	3.443775e-01	1.975347e+00	0	1.172426e+00	0	1.470188e+00	1.967960e+00
TCGA-B8-4622-01A-02R-1277-07	6.269179e-02	5.997660e-01	1.599930e-01	5.125265e-01	1.695777e+00	0	2.269031e-01	6.217546e+00
TCGA-B8-5158-01A-01R-1420-07	0	1.444445e+00	1.878869e-01	3.012942e-01	1.913131e+00	1.517362e-01	2.840344e-01	6.012296e+00
TCGA-B8-5159-01A-01R-1420-07	2.475241e-01	1.725902e-01	2.709961e-01	6.204328e-01	8.315247e-01	0	4.228482e-02	6.724541e+00
TCGA-B8-5162-01A-01R-1420-07	0	6.888196e-01	1.813571e-01	0	3.421782e+00	0	0	4.132189e+00
TCGA-B8-5163-01A-01R-1420-07	0	1.009572e+00	2.063489e-01	0	3.441686e+00	1.506975e-01	1.798521e-01	4.480092e+00
TCGA-B8-5164-01A-01R-1420-07	0	4.082828e-01	0	8.606398e-01	7.722220e-01	0	0	8.011806e+00
TCGA-B8-5165-01A-01R-1420-07	8.443872e-01	3.037380e-03	1.076317e+00	0	2.098890e+00	0	1.042885e+00	3.293056e+00
TCGA-B8-5545-01A-01R-1672-07	2.071558e-01	3.709668e-01	2.646224e-01	1.123958e-01	2.570152e+00	0	6.086012e-01	4.685577e+00
TCGA-B8-5546-01A-01R-1541-07	6.358260e-01	1.832058e-01	1.924865e+00	6.985440e-01	2.850593e-01	0	1.144945e+00	3.195291e+00
TCGA-B8-5549-11A-01R-1541-07	6.557029e-01	0	2.670687e+00	8.599301e-02	5.210420e-01	0	3.395947e+00	1.527684e+00
TCGA-B8-5549-01A-01R-1541-07	1.271996e-01	4.334453e-01	2.479229e-01	2.050777e-01	1.590238e+00	0	2.340921e-01	6.671935e+00
TCGA-B8-5550-01A-01R-1541-07	1.584009e-01	9.271238e-01	4.019998e-01	1.196103e-01	2.469396e+00	0	1.192166e-02	4.651720e+00
TCGA-B8-5551-01A-01R-1541-07	0	1.577238e+00	1.557487e-01	7.637213e-01	2.540320e+00	9.378561e-02	6.825593e-03	4.122916e+00
TCGA-B8-5552-11A-01R-1672-07	1.980685e-01	1.510232e-03	1.739392e+00	0	2.157289e+00	0	2.536172e+00	2.185288e+00
TCGA-B8-5552-01B-11R-1672-07	1.946959e-01	2.294013e-01	1.366654e-01	5.476824e-01	2.379620e+00	5.606165e-02	4.980956e-01	4.469706e+00
TCGA-B8-5553-01A-01R-1541-07	1.459394e-01	3.213145e-01	9.390585e-02	6.003637e-01	1.313374e+00	2.977786e-02	3.281134e-01	6.686632e+00
TCGA-B8-A54D-01A-21R-A266-07	0	8.902835e-01	0	1.750742e+00	7.022566e-01	0	2.904606e-01	5.642251e+00
TCGA-B8-A54E-01A-11R-A266-07	3.351936e-01	6.239972e-01	1.740754e+00	1.063006e+00	1.349353e-01	0	0	3.979704e+00
TCGA-B8-A54F-01A-11R-A266-07	0	5.816699e-01	2.402884e-01	8.307431e-01	2.344609e+00	3.293895e-02	7.266177e-01	3.812819e+00
TCGA-B8-A54G-01A-11R-A266-07	0	1.072152e+00	0	1.743754e+00	4.186228e-01	0	0	6.395763e+00
TCGA-B8-A54H-01A-11R-A33J-07	2.351295e-01	8.607317e-02	8.713016e-02	1.098112e+00	1.190091e+00	0	1.026929e-01	4.471134e+00
TCGA-B8-A54I-01A-21R-A33J-07	0	1.785553e+00	3.824293e-02	1.227883e+00	1.676828e+00	1.369177e-01	2.359705e-01	3.945592e+00
TCGA-B8-A54J-01A-11R-A33J-07	1.357614e-01	2.487009e-01	1.492706e-01	9.337579e-01	1.646667e+00	0	0	3.806000e+00
TCGA-B8-A54K-01A-11R-A33J-07	0	0	1.447488e+00	7.620843e-01	2.068087e+00	0	2.099061e+00	7.699928e-01
TCGA-B8-A7U6-01A-12R-A37O-07	0	2.786586e-01	1.472387e-01	8.022658e-01	1.930463e+00	0	0	3.479949e+00
TCGA-B8-A8YJ-01A-13R-A39I-07	3.672723e-02	8.290478e-02	1.346361e-01	4.312905e-01	3.652702e+00	0	5.090113e-02	1.669478e+00
TCGA-BP-4158-01A-02R-1289-07	0	5.655332e-02	2.593871e-01	8.890753e-01	1.453843e+00	0	0	5.292472e+00
TCGA-BP-4159-01A-02R-1289-07	0	4.956633e-01	4.651517e-01	3.918131e-02	2.361150e+00	0	0	3.602512e+00
TCGA-BP-4160-01A-02R-1289-07	1.150035e-01	7.302689e-01	2.223036e-01	3.488597e-01	1.634950e+00	3.856456e-02	2.285563e-01	6.331538e+00
TCGA-BP-4161-01A-02R-1325-07	6.158408e-02	9.000886e-01	4.837252e-02	8.767084e-01	1.368886e+00	2.985438e-02	1.497240e-01	6.548058e+00
TCGA-BP-4162-01A-02R-1325-07	1.265345e-01	1.590805e-01	6.369306e-03	9.836477e-01	1.329967e+00	0	0	5.918543e+00
TCGA-BP-4163-01A-02R-1325-07	2.097690e-01	8.011442e-01	2.060682e-01	1.108447e+00	1.311685e+00	0	6.709556e-01	4.944602e+00
TCGA-BP-4164-01A-02R-1325-07	6.834233e-02	1.044263e-01	2.549198e-01	1.103684e+00	7.057118e-01	0	0	6.219372e+00
TCGA-BP-4165-01A-02R-1289-07	2.043996e-01	1.119644e-01	2.230670e-01	1.212626e+00	1.335368e+00	0	0	2.587168e+00
TCGA-BP-4166-01A-02R-1289-07	4.985891e-02	3.709817e-01	6.612666e-01	0	2.663761e+00	0	4.144067e-02	3.867578e+00
TCGA-BP-4167-01A-02R-1325-07	0	1.449597e+00	1.845660e-01	4.305538e-01	3.007765e+00	0	0	2.294451e+00
TCGA-BP-4169-01A-02R-1289-07	1.247616e-01	4.138134e-01	2.914475e-01	4.485460e-01	3.114117e+00	7.498617e-02	5.509489e-01	2.610852e+00
TCGA-BP-4170-01A-02R-1289-07	1.349635e-01	2.284124e-01	8.825001e-02	5.006355e-01	1.641881e+00	0	0	5.277524e+00
TCGA-BP-4173-01A-02R-1289-07	0	8.191995e-01	0	1.028816e+00	2.347285e+00	4.051257e-02	2.905653e-01	4.673008e+00
TCGA-BP-4174-01A-02R-1289-07	0	7.627370e-01	3.929590e-01	5.512989e-01	1.128292e+00	0	0	6.874893e+00
TCGA-BP-4176-01A-02R-1289-07	0	1.144378e+00	2.458371e-01	2.596521e-01	2.203132e+00	6.455692e-02	2.454932e-01	5.787770e+00
TCGA-BP-4177-01A-02R-1420-07	2.991370e-01	2.139595e-01	1.315665e+00	6.727737e-02	2.051651e+00	0	2.156655e+00	1.710930e+00
TCGA-BP-4325-01A-02R-1289-07	1.098870e-01	6.452816e-02	1.315862e-01	1.317510e+00	5.384526e-01	0	0	6.379298e+00
TCGA-BP-4326-01A-01R-1289-07	0	6.557374e-01	6.118487e-01	2.921099e-01	3.408864e+00	2.232661e-01	3.744228e-01	2.381172e+00
TCGA-BP-4327-01A-01R-1289-07	1.464547e-01	5.510503e-01	2.275354e-01	1.311092e+00	1.560226e+00	6.124296e-02	2.919887e-01	3.220479e+00
TCGA-BP-4329-01A-02R-1289-07	1.641374e-03	3.755146e-01	4.459089e-01	1.273624e-01	2.200446e+00	0	1.635209e-01	4.548317e+00
TCGA-BP-4330-01A-01R-1289-07	1.351972e-01	1.978341e-01	0	1.152135e+00	1.666055e+00	0	5.350500e-02	5.235391e+00
TCGA-BP-4331-01A-01R-1289-07	5.686868e-02	5.164927e-01	0	1.226230e+00	1.232936e+00	0	2.035483e-01	5.432023e+00
TCGA-BP-4332-01A-01R-1289-07	7.632089e-02	2.598702e-01	3.796466e-01	7.260710e-01	1.902266e+00	0	6.523375e-01	4.258841e+00
TCGA-BP-4334-01A-01R-1289-07	0	4.488439e-01	3.531988e+00	1.011983e+00	1.682752e+00	0	3.514584e-01	0
TCGA-BP-4335-01A-01R-1289-07	1.877506e-01	5.172853e-01	2.544842e-01	1.224104e+00	1.821621e+00	8.495451e-02	1.448122e-01	3.074317e+00
TCGA-BP-4337-01A-01R-1289-07	2.629810e-01	9.125837e-01	3.418416e-01	1.312689e+00	2.382583e+00	3.034416e-02	1.965256e-01	9.987564e-01
TCGA-BP-4338-01A-01R-1289-07	0	1.935298e+00	5.477444e-01	3.622403e-01	1.554316e+00	1.743997e-01	0	5.122637e+00
TCGA-BP-4340-01A-01R-1289-07	3.756270e-01	0	3.275672e-01	1.262801e+00	3.758889e-01	0	0	5.436807e+00
TCGA-BP-4341-01A-01R-1289-07	3.168754e-01	6.072133e-02	3.276695e-01	1.217823e+00	1.257441e+00	0	0	2.718960e+00
TCGA-BP-4342-01A-01R-1289-07	0	8.297091e-01	5.039837e-01	4.710584e-01	3.060540e+00	1.640728e-01	1.850347e-01	3.183650e+00
TCGA-BP-4343-01A-02R-1289-07	0	1.123161e+00	5.706203e-01	0	2.926774e+00	9.435615e-02	0	4.614252e+00
TCGA-BP-4344-01A-01R-1289-07	0	0	3.184575e-01	4.521379e-01	2.453671e+00	0	2.334642e-01	4.176950e+00
TCGA-BP-4345-01A-01R-1289-07	0	6.768970e-01	2.991889e-01	1.105477e-01	4.120003e+00	1.352706e-02	0	1.680894e+00
TCGA-BP-4346-01A-01R-1289-07	2.227787e-01	6.172448e-01	0	1.600442e+00	1.283361e+00	0	2.533212e-01	4.948436e+00
TCGA-BP-4347-01A-01R-1289-07	6.369912e-02	1.102212e-03	1.962214e-01	8.305441e-01	1.565149e+00	0	0	5.324607e+00
TCGA-BP-4349-01A-01R-1289-07	2.591533e-01	1.455969e-01	1.569882e-01	1.140150e+00	1.665492e+00	0	1.490387e-01	2.961266e+00
TCGA-BP-4351-01A-01R-1289-07	2.338822e-01	6.497537e-01	2.747616e-01	1.336727e+00	1.940706e+00	1.155840e-01	2.980896e-01	2.287027e+00
TCGA-BP-4352-01A-01R-1289-07	0	1.407088e+00	7.808408e-01	1.246485e+00	2.665393e+00	0	1.001619e-01	0
TCGA-BP-4353-01A-02R-1289-07	0	5.992576e-01	3.014556e-01	3.865764e-02	2.648329e+00	6.082942e-03	2.300718e-01	5.906989e+00
TCGA-BP-4354-01A-02R-1289-07	0	1.267952e+00	1.949530e-01	3.359912e-01	3.442173e+00	0	0	3.448368e+00
TCGA-BP-4355-01A-01R-1289-07	1.454332e-01	0	1.536118e-01	1.048810e+00	2.371368e+00	0	1.649978e-01	1.983076e+00
TCGA-BP-4756-01A-01R-1289-07	4.976805e-01	5.823013e-01	9.154891e-01	1.541036e+00	2.007300e-01	0	2.400496e-01	4.094298e+00
TCGA-BP-4758-01A-01R-1289-07	1.984582e-01	3.570843e-01	1.738690e-01	1.019872e+00	1.631946e+00	0	0	3.014168e+00
TCGA-BP-4759-01A-01R-1289-07	0	4.568410e-01	4.480790e-01	2.197911e-01	2.010861e+00	0	0	4.148572e+00
TCGA-BP-4760-01A-02R-1420-07	0	7.517194e-02	1.324772e+00	0	2.723266e+00	0	2.151600e+00	1.413375e+00
TCGA-BP-4761-01A-01R-1289-07	0	2.158537e+00	3.764639e-01	1.248556e+00	1.628444e+00	3.856059e-02	2.690742e-01	9.264715e-01
TCGA-BP-4762-01A-02R-1289-07	4.432229e-01	2.931180e-01	5.886470e-01	1.449245e-02	2.319354e+00	0	6.077615e-01	3.900020e+00
TCGA-BP-4763-01A-01R-1289-07	2.282575e-01	6.203093e-01	7.370942e-01	0	2.353448e+00	3.955628e-02	8.181080e-01	4.886037e+00
TCGA-BP-4765-01A-01R-1289-07	2.763209e-01	0	4.153950e-01	6.361343e-01	1.720353e+00	0	3.652074e-01	4.179701e+00
TCGA-BP-4766-01A-01R-1289-07	2.153065e-01	0	2.293230e-01	9.447572e-01	1.046891e+00	0	1.815181e-02	5.216021e+00
TCGA-BP-4768-01A-01R-1289-07	0	6.397689e-01	1.244085e-01	1.028269e+00	9.403461e-01	0	2.800860e-01	6.658751e+00
TCGA-BP-4769-01A-01R-1289-07	0	1.549674e-01	1.273060e+00	1.709428e-01	2.973424e+00	0	1.980202e+00	4.729117e-01
TCGA-BP-4770-01A-01R-1503-07	0	6.454736e-01	9.552465e-01	0	4.752252e+00	0	0	0
TCGA-BP-4771-01A-01R-1289-07	1.665633e-01	9.365795e-01	0	1.421262e+00	2.088202e+00	0	1.413764e-01	3.396034e+00
TCGA-BP-4774-01A-01R-1289-07	2.021760e-01	0	1.737853e-01	1.099723e+00	1.402503e+00	0	0	3.530422e+00
TCGA-BP-4775-01A-01R-1289-07	2.122119e-01	5.772716e-03	1.933677e-01	9.485521e-01	1.268928e+00	0	0	5.386178e+00
TCGA-BP-4776-01A-01R-1289-07	2.468598e-01	4.272128e-01	2.939700e-01	1.066919e+00	1.746463e+00	0	1.470763e-01	2.017878e+00
TCGA-BP-4777-01A-01R-1289-07	2.155498e-01	7.602524e-01	1.701088e-01	9.255661e-01	1.356624e+00	0	6.117128e-02	5.582470e+00
TCGA-BP-4781-01A-01R-1305-07	3.899998e-02	8.613952e-01	4.421887e-01	1.354911e-01	2.022659e+00	4.891451e-02	4.348847e-01	5.656880e+00
TCGA-BP-4782-01A-02R-1420-07	2.184480e-01	7.353071e-01	1.415085e-01	6.453780e-01	1.508724e+00	1.415135e-02	6.757128e-01	5.454717e+00
TCGA-BP-4784-01A-01R-1305-07	0	2.023180e-01	1.267532e+00	0	3.210225e+00	0	1.693204e+00	4.067018e-01
TCGA-BP-4787-01A-01R-1305-07	0	1.514858e+00	2.664044e-01	5.171045e-01	2.451682e+00	1.587353e-01	3.050572e-01	4.396667e+00
TCGA-BP-4789-01A-01R-1305-07	1.712115e-01	0	5.093666e-01	0	2.385306e+00	0	2.690466e-01	4.588583e+00
TCGA-BP-4790-01A-01R-1305-07	1.419922e-01	3.449919e-01	1.120390e-01	4.539357e-01	2.514345e+00	1.678334e-02	4.946161e-01	5.327251e+00
TCGA-BP-4795-01A-02R-1420-07	0	1.801260e-01	9.921593e-01	5.136511e-02	3.352252e+00	0	1.822798e+00	5.917852e-01
TCGA-BP-4797-01A-01R-1305-07	1.842470e-01	9.843238e-01	2.851598e-01	4.446100e-01	1.774632e+00	1.871985e-02	2.052530e-01	5.876752e+00
TCGA-BP-4798-01A-01R-1305-07	0	1.109414e+00	1.070870e-02	8.830384e-01	2.741500e+00	2.545465e-02	2.214869e-01	3.990461e+00
TCGA-BP-4799-01A-01R-1305-07	0	1.169761e+00	7.688249e-01	0	3.340818e+00	1.485787e-01	0	3.718521e+00
TCGA-BP-4801-01A-02R-1420-07	2.244143e-01	4.292747e-01	2.339026e-01	3.230589e-01	2.097499e+00	0	3.260123e-01	5.130665e+00
TCGA-BP-4803-01A-01R-1305-07	0	5.959017e-01	3.508892e-01	3.549345e-02	2.332623e+00	0	4.046890e-01	5.845118e+00
TCGA-BP-4804-01A-02R-1305-07	2.036484e-01	9.526308e-01	2.143876e-01	7.123079e-01	2.536154e+00	0	4.969828e-01	2.882503e+00
TCGA-BP-4807-01A-01R-1305-07	3.173094e-01	4.725862e-01	2.984575e-01	3.644398e-01	1.594947e+00	1.488567e-02	4.652468e-01	5.928333e+00
TCGA-BP-4959-01A-01R-1334-07	3.043126e-01	9.922891e-01	2.948404e-01	6.665387e-01	1.089281e+00	0	1.997579e-01	6.330967e+00
TCGA-BP-4960-01A-01R-1334-07	0	1.161880e+00	2.427440e-02	7.519359e-01	2.514809e+00	1.042747e-03	0	3.009143e+00
TCGA-BP-4961-01A-01R-1334-07	8.537123e-02	6.092824e-02	3.104626e-01	2.703498e-01	2.329344e+00	0	2.764168e-01	5.055839e+00
TCGA-BP-4962-01A-01R-1334-07	2.825897e-01	1.233162e+00	3.034870e-01	6.534271e-01	1.783703e+00	0	5.909008e-02	4.554055e+00
TCGA-BP-4963-01A-01R-1334-07	7.763324e-02	6.772077e-01	1.146125e-01	7.790317e-01	1.592427e+00	0	6.146018e-02	5.947372e+00
TCGA-BP-4964-01A-01R-1334-07	8.130840e-02	4.811518e-01	3.058611e-01	5.859235e-01	1.821465e+00	4.109092e-02	1.737803e-01	5.237659e+00
TCGA-BP-4965-01A-01R-1334-07	1.934258e-01	2.653736e-01	2.163703e-01	4.254428e-01	1.459996e+00	3.318206e-02	4.452551e-01	6.728762e+00
TCGA-BP-4967-01A-01R-1334-07	0	8.967144e-01	2.568740e-01	6.692468e-01	1.628886e+00	7.650011e-03	5.260873e-01	6.191539e+00
TCGA-BP-4968-01A-01R-1334-07	8.030105e-02	8.451139e-01	1.580345e-01	9.396511e-01	1.631950e+00	1.076806e-02	0	4.381879e+00
