sampleID	D9.8_GNF2-TTN	D10.8_REACTOME-BETA-DEFENSINS	D11.10_MODULE-432	D11.1_MIPS-UTX-MLL2-3-COMPLEX	D13.5_CHASSOT-SKIN-WOUND	D11.3_chr11q11	D11.4_MANNOSYLTRANSFERASE-ACTIVITY	D11.5_EPITHELIAL-CELL-DIFFERENTIATION	D10.6_BIOCARTA-TCAPOPTOSIS-PATHWAY	D11.2_GNF2-GLTSCR2
TCGA-CH-5764-01A-21R-1580-07	1.013937e-01	2.336912e-01	0	2.932341e+00	1.097813e+00	2.223371e+00	3.860651e-01	5.049968e-01	1.105906e+00	1.381324e+00
TCGA-CH-5765-01A-11R-1580-07	1.275855e-01	3.358961e-01	1.829782e-01	2.726604e+00	9.489124e-01	2.716319e+00	2.235862e-01	4.074487e-01	7.471063e-01	1.614977e+00
TCGA-CH-5766-01A-11R-1580-07	0	4.309450e-01	9.588017e-01	2.459783e+00	1.456200e+00	1.189340e+00	6.633417e-01	7.079484e-01	1.005977e+00	1.244274e+00
TCGA-CH-5767-11B-01R-1789-07	1.351990e-01	8.609868e-01	1.698755e-02	2.600018e+00	1.973999e+00	2.878478e-01	7.704099e-01	2.173989e+00	7.309207e-01	1.010389e+00
TCGA-CH-5767-01A-11R-1789-07	5.114005e-01	7.197977e-01	0	2.681758e+00	1.694898e+00	4.985498e-01	2.710465e+00	0	6.797151e-01	8.867609e-01
TCGA-CH-5768-11A-01R-1580-07	7.743683e-02	1.036216e+00	1.259166e-01	2.782006e+00	7.456790e-01	6.039700e-01	8.769073e-01	2.643715e+00	0	1.520014e+00
TCGA-CH-5768-01A-11R-1580-07	0	3.370932e-01	0	2.552192e+00	7.314413e-01	2.118035e+00	7.752492e-01	1.580928e-01	1.531870e+00	1.437198e+00
TCGA-CH-5769-11A-01R-1580-07	2.096896e-01	4.100197e-01	6.838743e-01	1.874241e+00	1.067409e+00	1.999699e+00	0	2.673950e-01	1.823740e+00	1.580622e+00
TCGA-CH-5769-01A-11R-1580-07	2.182959e-01	4.054920e-01	6.862303e-01	1.967647e+00	9.936279e-01	2.054845e+00	2.549619e-02	2.003211e-01	1.820686e+00	1.506817e+00
TCGA-CH-5771-01A-21R-1580-07	5.003595e-01	4.104672e-01	1.862687e-01	2.283606e+00	1.315914e+00	8.027992e-01	5.516495e-01	9.088346e-01	1.716105e+00	1.456382e+00
