sampleID	D15.10_VALK-AML-CLUSTER-5	D14.4_KORKOLA-EMBRYONAL-CARCINOMA	D14.11_WEBER-METHYLATED-LCP-IN-FIBROBLAST-UP	D8.7_KORKOLA-YOLK-SAC-TUMOR	D16.16_CORNIFIED-ENVELOPE	D9.1_GNF2-GLTSCR2	D15.2_MIPS-UTX-MLL2-3-COMPLEX	D15.8_FU-INTERACT-WITH-ALKBH8	D8.3_NIKOLSKY-BREAST-CANCER-7P15-AMPLICON	D15.12_SUGAR-TRANSMEMBRANE-TRANSPORTER-ACTIVITY	D10.4_IONOTROPIC-GLUTAMATE-RECEPTOR-ACTIVITY	D18.6_MOSERLE-IFNA-RESPONSE
TCGA-2G-AAGX-01A-11R-A430-07	1.154298e-02	4.092697e-01	6.363604e-02	8.282331e-01	3.847836e-01	0	2.326810e+00	0	4.604795e+00	8.581010e-02	3.166537e+00	0
TCGA-2G-AAGY-05A-11R-A430-07	3.751916e-01	0	3.500606e-01	0	0	3.474897e+00	2.566189e+00	9.702254e-01	0	0	4.061149e-02	2.007084e-01
TCGA-2G-AAGY-01A-11R-A430-07	2.001857e-01	0	1.990388e-02	1.140984e+00	0	4.069803e-01	2.328732e+00	0	4.895685e+00	2.116761e-01	4.325747e+00	1.797672e-02
TCGA-2G-AAGZ-01A-11R-A430-07	6.100077e-01	1.455563e+00	9.170900e-01	2.945445e-01	1.459960e-02	8.947708e-01	2.008159e+00	0	7.830735e-01	0	9.194346e-01	6.334206e-01
TCGA-2G-AAH0-01A-11R-A430-07	6.641678e-01	3.042165e-01	2.956322e-01	7.078144e-02	0	3.573218e+00	2.318758e+00	2.996097e-01	1.915221e-01	0	7.250525e-01	7.717459e-01
TCGA-2G-AAH2-01A-11R-A430-07	9.790882e-02	5.404202e-01	0	8.952776e-01	0	6.680234e-01	2.129865e+00	0	3.377615e+00	8.437847e-02	2.567656e+00	9.903561e-01
TCGA-2G-AAH3-01A-11R-A430-07	7.482669e-01	0	4.559765e-01	1.468427e-01	0	2.021973e+00	2.539432e+00	1.106150e+00	5.655868e-01	0	7.747055e-01	1.915745e-02
TCGA-2G-AAH4-01A-12R-A430-07	3.896766e-01	0	0	2.714837e+00	0	4.711316e-01	1.961493e+00	0	3.371467e+00	5.988417e-02	2.673297e+00	2.537906e-01
TCGA-2G-AAH8-01A-11R-A430-07	4.961373e-01	2.771653e-01	0	2.007266e-01	0	3.433921e+00	2.500307e+00	8.625653e-01	0	0	3.262992e-01	7.544000e-01
TCGA-2G-AAHA-01A-11R-A430-07	1.172117e+00	0	3.281403e-02	9.388155e-02	0	1.492504e+00	2.465526e+00	1.571485e+00	2.658523e-01	0	5.094589e-01	6.181296e-01
TCGA-2G-AAHC-01A-11R-A430-07	9.282927e-01	9.717572e-03	5.333008e-01	0	0	3.614836e+00	2.505899e+00	0	0	0	5.530672e-01	8.133502e-01
TCGA-2G-AAHG-01A-11R-A430-07	3.485068e-01	2.651029e-01	6.395733e-01	0	0	3.802182e+00	2.431218e+00	3.013036e-01	1.754555e-01	0	6.530616e-01	1.992392e-01
TCGA-2G-AAHL-01A-11R-A430-07	6.712986e-01	1.165681e-01	5.590487e-01	3.217959e-02	0	2.896422e+00	1.689839e+00	1.292674e+00	0	0	0	7.461332e-01
TCGA-2G-AAHN-01A-11R-A430-07	1.146902e+00	0	3.926779e-01	2.691304e-01	0	1.960779e+00	1.920616e+00	1.329773e+00	0	0	2.080769e-01	7.406988e-01
TCGA-2G-AAHP-05A-11R-A430-07	2.778038e-01	0	2.095942e-01	0	0	2.257911e+00	2.332936e+00	1.535416e+00	4.201964e-01	0	6.895615e-01	1.500127e+00
TCGA-2G-AAHP-01A-12R-A430-07	9.541415e-02	4.915862e-01	2.835604e-01	1.565497e-01	0	4.873723e+00	1.982638e+00	0	4.511431e-01	0	6.580645e-01	6.771549e-01
TCGA-2G-AAHT-01A-11R-A430-07	8.744326e-01	0	6.328303e-02	0	0	2.334670e+00	2.493618e+00	1.381524e+00	1.202564e-01	0	3.844703e-01	6.283071e-01
TCGA-2G-AAKD-01A-31R-A430-07	4.832551e-01	2.113203e+00	2.331111e-01	6.368912e-01	0	5.590778e-01	2.040532e+00	0	1.050514e+00	0	1.301680e+00	4.746870e-01
TCGA-2G-AAKG-05A-11R-A430-07	7.161984e-01	2.950441e-01	4.281445e-01	3.431560e-01	0	5.346606e+00	6.678603e-01	0	3.157696e-01	0	2.385186e-01	7.849422e-01
TCGA-2G-AAKG-01A-11R-A430-07	3.998722e-01	1.606649e+00	0	1.498783e+00	0	3.046532e-01	1.859012e+00	0	1.533539e+00	7.279943e-02	1.088422e+00	7.651146e-01
TCGA-2G-AAKH-01A-11R-A430-07	4.278013e-01	1.633284e+00	6.825528e-01	2.621051e-01	0	1.310529e+00	2.474247e+00	0	1.531347e-01	0	7.372743e-01	9.174142e-01
TCGA-2G-AAKL-01A-11R-A430-07	5.487176e-01	2.007353e+00	4.255994e-01	3.119202e-01	0	7.921436e-01	2.464195e+00	0	3.128155e-01	0	6.938305e-01	3.653335e-01
TCGA-2G-AAKM-01A-11R-A430-07	5.489435e-01	1.924775e+00	2.035152e-01	1.441652e-01	0	2.179610e-01	2.416448e+00	0	1.463780e+00	0	1.490903e+00	6.951116e-02
TCGA-2G-AAKO-05A-11R-A430-07	1.048516e+00	0	5.503601e-01	0	0	1.570406e+00	2.500560e+00	1.006848e+00	2.964908e-01	0	8.156955e-01	8.750071e-01
TCGA-2G-AAKO-01A-11R-A430-07	5.582051e-01	0	1.334055e-01	0	0	2.364810e+00	2.393869e+00	1.295498e+00	1.828119e-01	0	6.030479e-01	1.413909e+00
TCGA-2G-AAL5-01A-11R-A430-07	1.808113e-01	0	0	2.092761e+00	1.171663e-01	4.545890e-01	1.995732e+00	0	4.567312e+00	0	4.025937e+00	0
TCGA-2G-AAL7-01A-11R-A430-07	4.564857e-01	2.149448e+00	3.610985e-01	8.109843e-01	0	8.260874e-01	2.079916e+00	0	3.889233e-01	1.026728e-03	5.150348e-01	3.272024e-01
TCGA-2G-AALF-01A-11R-A430-07	6.049298e-01	0	1.988572e-01	4.808782e+00	0	2.070126e+00	1.250624e+00	0	9.891947e-02	0	0	5.894510e-01
TCGA-2G-AALG-01A-11R-A430-07	3.097160e-01	0	6.679687e-01	1.596371e+00	1.301656e-01	1.102750e+00	1.281939e+00	0	3.561478e+00	1.079556e+00	8.556456e-01	1.876323e-01
TCGA-2G-AALN-01A-11R-A430-07	3.956479e-01	1.189515e+00	1.597106e-01	1.683879e+00	0	2.116896e-01	1.629743e+00	0	2.654298e+00	2.818754e-01	1.951361e+00	2.155820e-01
TCGA-2G-AALO-01A-12R-A430-07	4.279404e-01	0	1.376062e-01	1.327807e+00	0	6.666324e-01	1.991401e+00	0	3.980195e+00	1.578008e+00	3.799720e-01	0
TCGA-2G-AALP-01A-12R-A430-07	4.470527e-01	1.646165e+00	0	1.588701e+00	0	1.935996e-01	1.844380e+00	6.401788e-02	1.908042e+00	1.331397e-01	1.399931e+00	2.557189e-01
TCGA-2G-AALQ-01A-12R-A430-07	3.333728e-01	0	2.552543e-02	2.507116e+00	8.283073e-02	6.659208e-01	1.733123e+00	0	3.930290e+00	1.042798e-01	3.097676e+00	4.758879e-02
TCGA-2G-AALR-01A-21R-A430-07	4.318718e-01	0	0	3.342782e+00	0	3.656843e-01	1.927814e+00	0	3.289335e+00	4.939257e-02	3.044938e+00	0
TCGA-2G-AALS-01A-12R-A430-07	6.139999e-01	1.321514e+00	2.246461e-01	9.525429e-01	0	3.410627e-01	1.891928e+00	0	1.662724e+00	1.014793e-01	1.187097e+00	9.455992e-01
TCGA-2G-AALT-01A-11R-A430-07	2.873295e-01	4.905931e-01	2.661915e-01	1.069898e+00	3.220092e-02	6.233232e-01	1.449013e+00	0	3.735629e+00	8.307907e-01	1.274611e+00	3.956158e-01
TCGA-2G-AALW-01A-11R-A430-07	3.584387e-01	0	7.804196e-02	2.252767e+00	0	2.747880e-01	2.003127e+00	0	3.460062e+00	7.946823e-01	1.741987e+00	3.631244e-01
TCGA-2G-AALX-01A-11R-A430-07	2.443942e-01	0	0	7.524448e-01	4.241483e-01	4.701624e-01	2.083026e+00	0	5.256065e+00	2.700041e-01	3.368693e+00	2.803395e-03
TCGA-2G-AALY-01A-11R-A430-07	3.944599e-01	1.493266e+00	2.084233e-01	9.455517e-01	0	2.552239e-01	1.820240e+00	0	2.628066e+00	0	2.481192e+00	9.357579e-02
TCGA-2G-AALZ-01A-11R-A430-07	3.097887e-01	2.356493e-02	7.308159e-01	5.117461e-01	1.228579e-03	8.264851e-01	1.830066e+00	0	3.660777e+00	7.362614e-02	2.544616e+00	3.826972e-01
TCGA-2G-AAM2-01A-11R-A430-07	3.693801e-01	1.953567e+00	0	1.204552e+00	0	2.339986e-01	2.210263e+00	0	1.646099e+00	0	2.072273e+00	1.115044e-01
TCGA-2G-AAM3-01A-11R-A430-07	1.997195e-01	0	2.788653e-02	7.929523e-01	7.066723e-01	5.919470e-01	1.888065e+00	0	5.331177e+00	4.497953e-01	2.277216e+00	0
TCGA-2G-AAM4-01A-11R-A430-07	3.997880e-01	1.938786e+00	0	8.627988e-01	0	4.306379e-01	2.029157e+00	0	2.340653e+00	0	2.679133e+00	0
TCGA-2X-A9D5-01A-11R-A430-07	7.569948e-01	0	2.138345e-01	2.309376e-01	0	3.172603e+00	2.421745e+00	6.443252e-01	2.014735e-01	0	7.191469e-01	7.655189e-01
