sampleID	D15.10_VALK-AML-CLUSTER-5	D14.4_KORKOLA-EMBRYONAL-CARCINOMA	D14.11_WEBER-METHYLATED-LCP-IN-FIBROBLAST-UP	D8.7_KORKOLA-YOLK-SAC-TUMOR	D16.16_CORNIFIED-ENVELOPE	D9.1_GNF2-GLTSCR2	D15.2_MIPS-UTX-MLL2-3-COMPLEX	D15.8_FU-INTERACT-WITH-ALKBH8	D8.3_NIKOLSKY-BREAST-CANCER-7P15-AMPLICON	D15.12_SUGAR-TRANSMEMBRANE-TRANSPORTER-ACTIVITY	D10.4_IONOTROPIC-GLUTAMATE-RECEPTOR-ACTIVITY	D18.6_MOSERLE-IFNA-RESPONSE
TCGA-XY-A89B-01A-11R-A431-07	1.204906e+00	0	1.644480e-01	1.164448e-01	0	2.020502e+00	2.587642e+00	1.016577e+00	1.765247e-01	0	6.849686e-01	7.619936e-01
TCGA-XY-A8S2-01A-11R-A431-07	4.407222e-01	2.067338e+00	1.907578e-02	4.276552e-01	1.968896e-03	1.819605e-01	2.518301e+00	0	1.282001e+00	0	1.405084e+00	4.582268e-01
TCGA-XY-A8S3-01B-11R-A431-07	2.296723e-01	1.749685e+00	0	1.463485e+00	0	1.766428e-01	2.305561e+00	3.122318e-02	1.513510e+00	4.254232e-02	1.169323e+00	4.154716e-01
TCGA-XY-A9T9-01A-11R-A431-07	4.901083e-01	7.411401e-02	1.155362e-01	0	0	4.377919e+00	2.539163e+00	0	2.318193e-01	0	8.514048e-01	1.339927e+00
TCGA-YU-A90P-01A-11R-A431-07	7.381132e-01	1.957313e+00	1.253657e-04	3.756453e-01	0	7.888843e-01	2.613295e+00	0	6.565959e-01	0	1.293527e+00	4.123282e-01
TCGA-YU-A90Q-01A-11R-A431-07	1.691444e-01	0	2.634217e-01	0	0	2.574558e+00	2.629751e+00	1.339218e+00	5.677009e-01	0	8.983134e-01	3.743735e-01
TCGA-YU-A90S-01A-11R-A431-07	1.396079e+00	0	4.329856e-01	2.628511e-02	0	1.791579e+00	2.161695e+00	8.881089e-01	4.042005e-01	0	4.238640e-01	7.832245e-01
TCGA-YU-A90W-01A-11R-A431-07	2.591606e-01	0	3.345866e-01	0	0	4.588915e+00	2.568018e+00	8.793024e-02	1.487540e-01	0	7.911113e-01	8.911723e-01
TCGA-YU-A90Y-01A-11R-A431-07	3.808428e-01	1.497765e+00	8.166398e-02	1.197917e+00	0	2.375639e-01	2.237673e+00	0	1.574775e+00	7.011371e-02	1.317696e+00	7.960041e-01
TCGA-YU-A912-01A-11R-A431-07	8.469339e-01	1.267989e-01	0	2.734217e-01	0	2.665869e+00	2.482347e+00	8.942229e-01	3.130992e-01	0	7.033773e-01	6.251563e-01
TCGA-YU-A94D-01A-11R-A431-07	1.076658e-01	0	0	1.779954e+00	0	6.911229e-01	2.336157e+00	0	4.341540e+00	0	4.392424e+00	0
TCGA-YU-A94I-01A-11R-A431-07	3.406608e-01	0	0	4.367518e+00	0	8.873164e-01	2.477320e+00	0	1.383640e+00	0	1.209783e+00	0
TCGA-YU-AA4L-01A-11R-A431-07	4.459499e-01	6.708346e-03	1.689495e-02	4.251501e+00	0	1.589650e+00	2.024232e+00	0	5.858124e-01	4.496388e-02	1.687890e-01	5.277874e-01
TCGA-YU-AA61-01A-11R-A431-07	2.800987e-01	4.218364e-01	1.354565e-01	2.321189e+00	0	5.051941e-01	2.179263e+00	0	2.114510e+00	7.574098e-02	1.745277e+00	8.262637e-01
TCGA-ZM-AA05-01A-12R-A431-07	1.346538e+00	0	0	0	0	2.513267e+00	1.401587e+00	1.288568e+00	9.893860e-01	0	8.310463e-01	2.894252e-01
TCGA-ZM-AA06-01A-12R-A431-07	4.914536e-01	2.357363e-02	3.872756e-02	2.839945e-01	0	3.175759e+00	1.269512e+00	1.184424e+00	1.422375e+00	3.741500e-02	8.886226e-01	5.420077e-01
TCGA-ZM-AA0B-01A-11R-A431-07	4.897798e-01	3.668511e-02	2.517092e-01	0	0	4.446637e+00	1.641407e+00	2.056262e-01	9.435229e-01	0	1.184160e+00	1.289678e+00
TCGA-ZM-AA0D-01A-11R-A431-07	8.782240e-01	0	3.881003e-01	0	1.529293e-02	2.230630e+00	1.631683e+00	1.402345e+00	7.670932e-01	0	7.610622e-01	1.014438e+00
TCGA-ZM-AA0E-01A-12R-A431-07	9.138507e-01	0	9.328147e-02	0	0	3.414946e+00	1.635350e+00	1.030110e+00	6.348841e-01	0	6.336379e-01	7.247966e-01
TCGA-ZM-AA0F-01A-21R-A431-07	9.985255e-01	0	2.702832e-01	2.304847e-01	5.164159e-03	1.649811e+00	1.708110e+00	1.194592e+00	1.375129e+00	4.052005e-01	4.789427e-01	4.982112e-01
TCGA-ZM-AA0H-01A-11R-A431-07	1.257036e+00	0	2.219492e-01	2.267836e-02	0	2.699281e+00	1.680857e+00	8.834300e-01	5.724533e-01	0	5.980037e-01	6.717951e-01
TCGA-ZM-AA0N-01A-21R-A431-07	5.463478e-01	1.074929e-01	9.817610e-02	0	0	5.276105e+00	1.531381e+00	0	8.009110e-01	0	1.155204e+00	9.559563e-01
