sampleID	D12.10_GNF2-SPRR1B	D6.2_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D17.11_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D19.8_FARMER-BREAST-CANCER-CLUSTER-5	D9.7_REACTOME-CYTOSOLIC-SULFONATION-OF-SMALL-MOLECULES	D18.18_REACTOME-DOPAMINE-NEUROTRANSMITTER-RELEASE-CYCLE	D17.8_WEBER-METHYLATED-ICP-IN-SPERM-DN	D18.17_GNF2-SPINK1	D19.16_CHROMOSOME-CONDENSATION	D18.12_MARTINELLI-IMMATURE-NEUTROPHIL-DN	D17.6_chr11q11
TCGA-BR-A4IY-01A-11R-A251-31	6.375447e-01	1.961010e+00	5.187355e-01	7.902889e-01	0	0	0	0	1.639025e-01	0	0
TCGA-BR-A4IZ-01A-32R-A251-31	2.794120e-02	3.181811e+00	4.353875e-01	6.655511e-01	1.046770e-01	3.125149e-02	1.120345e-01	0	1.302872e-01	2.305194e-01	5.054900e-01
TCGA-BR-A4J1-01A-11R-A251-31	0	1.198791e+00	0	2.344530e-01	5.585537e-01	8.208062e-02	1.910121e+00	0	8.130521e-02	0	3.361197e-01
TCGA-BR-A4J2-01A-21R-A251-31	0	3.179977e+00	6.458215e-01	5.009913e-01	0	6.566852e-03	1.017636e-01	0	2.167002e-01	0	5.205051e-01
TCGA-BR-A4J4-01A-12R-A251-31	4.242099e-01	1.509404e+00	1.649787e-01	4.540441e-01	2.233892e-01	0	0	0	6.798501e-02	0	9.963819e-01
TCGA-BR-A4J5-01A-21R-A251-31	2.575181e-02	3.148539e+00	3.288902e-01	4.607103e-01	5.764157e-01	0	0	0	6.187919e-02	1.663696e-01	7.538942e-03
TCGA-BR-A4J6-01A-11R-A251-31	2.761699e-01	1.716214e+00	1.907209e-01	5.034933e-01	0	0	0	2.847161e-02	4.293854e-01	0	3.185490e-01
TCGA-BR-A4J7-01A-31R-A251-31	0	3.477548e+00	5.134645e-01	3.095174e-01	0	0	0	0	2.864320e-01	0	3.882609e-01
TCGA-BR-A4J8-01A-11R-A251-31	0	2.596980e+00	2.190880e-01	3.660532e-01	4.456515e-01	5.077225e-02	0	0	1.707975e-01	0	1.081277e+00
TCGA-BR-A4J9-01A-12R-A251-31	0	4.236885e+00	4.443772e-01	7.817212e-02	3.083125e-01	8.178168e-02	0	0	1.848080e-01	0	1.475790e-01
TCGA-BR-A4PD-01A-11R-A251-31	0	1.149344e+00	3.680346e-01	1.902828e-01	3.537185e-01	5.474194e-03	7.173805e-01	0	5.847197e-02	4.602700e-03	1.016123e+00
TCGA-BR-A4PE-01A-31R-A251-31	0	8.337896e-01	3.485962e-01	3.560616e-01	0	0	0	1.821702e-02	4.856275e-01	3.293531e-01	7.904597e-01
TCGA-BR-A4PF-01A-11R-A251-31	0	9.949848e-01	3.273461e-01	2.907274e-01	9.330460e-01	1.247745e-01	4.912191e-02	0	0	4.151889e-01	4.852218e-01
TCGA-BR-A4QI-01A-12R-A251-31	0	1.541428e+00	1.207182e-01	2.750001e-01	9.047752e-01	6.372925e-02	1.952715e-01	0	1.284020e-01	0	1.378446e-01
TCGA-BR-A4QL-01A-31R-A251-31	0	7.586648e-01	5.881083e-02	4.788612e-01	1.115931e+00	1.288661e-02	0	0	6.760728e-02	0	0
TCGA-BR-A4QM-01A-12R-A251-31	0	1.671176e+00	4.908610e-01	3.052922e-01	1.446491e+00	0	0	0	5.261723e-02	9.983803e-02	2.051143e-01
TCGA-CD-5798-01A-11R-1602-13	1.952450e-01	2.888782e+00	1.507639e-01	5.699815e-01	2.607018e-01	0	0	0	1.720392e-01	1.088515e-01	2.651108e-01
TCGA-CD-5799-01A-11R-1602-13	0	1.139594e+00	0	5.811812e-01	7.061477e-01	7.037207e-02	1.347273e-01	2.650541e-02	1.488444e-01	0	1.063162e+00
TCGA-CD-5800-01A-11R-1602-13	1.524316e-01	1.211912e+00	3.344332e-01	3.552244e-01	7.395722e-01	9.530052e-03	1.669064e+00	8.091240e-02	4.067351e-01	1.575855e-01	1.970087e-01
TCGA-CD-5801-01A-11R-1602-13	0	9.253628e-01	5.028038e-01	2.734983e-01	0	0	0	0	4.513635e-01	0	1.401232e+00
TCGA-CD-5803-01A-11R-1602-13	0	2.943140e+00	7.542359e-01	5.170548e-01	6.161139e-02	5.546009e-02	0	0	2.276318e-01	0	9.357874e-01
TCGA-CD-5804-01A-12R-2055-13	0	2.005931e+00	2.366769e-01	5.207801e-01	3.433480e-01	0	6.556304e-01	1.963745e-02	8.286657e-02	3.106588e-01	1.241293e+00
TCGA-CD-5813-01A-11R-1602-13	0	2.960051e+00	6.805428e-01	5.603384e-01	4.656477e-01	1.894150e-01	0	0	0	5.015983e-01	3.135761e-01
TCGA-CD-8524-01A-11R-2343-13	0	1.947154e+00	2.536668e-01	5.996923e-01	0	0	3.513798e-01	0	2.152756e-01	0	6.314063e-01
TCGA-CD-8525-01A-11R-2343-13	2.091297e-01	1.534218e+00	5.096602e-01	4.482750e-01	1.529687e-01	0	1.114747e+00	0	1.920460e-01	2.710408e-02	5.726878e-01
TCGA-CD-8526-01A-11R-2343-13	0	1.951503e+00	4.465400e-01	3.330511e-01	1.967266e-01	9.609288e-02	1.157266e+00	1.176579e-02	2.407045e-01	0	5.099070e-01
TCGA-CD-8527-01A-11R-2343-13	1.693590e-01	1.332651e+00	4.036205e-02	4.719691e-01	2.651277e-01	7.017040e-02	7.181311e-01	0	0	0	6.677710e-01
TCGA-CD-8528-01A-11R-2343-13	0	8.446477e-01	0	5.620707e-01	5.146520e-01	0	1.419359e-01	0	0	0	2.588926e-01
TCGA-CD-8529-01A-11R-2343-13	0	2.292162e+00	6.143105e-01	4.338449e-01	5.945671e-01	0	2.465137e-01	0	3.242280e-01	2.709176e-01	6.394655e-01
TCGA-CD-8530-01A-11R-2343-13	0	2.704324e+00	2.585587e-01	4.854393e-01	0	0	2.840679e-01	2.330433e-01	1.558642e-01	1.755887e-01	5.459174e-01
TCGA-CD-8531-01A-11R-2343-13	0	2.119419e+00	9.549444e-01	2.662844e-01	0	1.099506e-01	0	0	0	6.036152e-02	0
TCGA-CD-8532-01A-11R-2343-13	0	1.875117e+00	5.439079e-01	3.703702e-01	4.380918e-01	7.256909e-02	8.938578e-02	0	0	0	1.709872e+00
TCGA-CD-8533-01A-11R-2343-13	0	1.886376e+00	1.305086e-01	3.249317e-01	7.294997e-01	5.148847e-01	7.180933e-01	0	3.403536e-01	0	4.035387e-01
TCGA-CD-8534-01A-11R-2343-13	0	2.329910e+00	4.657654e-01	1.445539e-01	5.569149e-01	8.156855e-02	0	0	1.272879e-01	0	5.749593e-01
TCGA-CD-8535-01A-11R-2343-13	9.921887e-02	1.046545e+00	0	3.877229e-01	0	2.321890e-01	5.526842e-02	0	1.209045e+00	0	0
TCGA-CD-8536-01A-11R-2343-13	0	9.946481e-01	5.992559e-02	7.088088e-01	2.541780e-01	0	0	1.924233e-01	1.435068e-01	0	0
TCGA-CD-A486-01A-11R-A24K-31	1.088959e-01	1.287322e+00	1.955953e-01	6.452667e-01	7.725860e-03	7.279267e-02	1.113790e+00	5.371212e-02	2.415982e-01	4.259094e-01	7.413366e-01
TCGA-CD-A487-01A-21R-A24K-31	1.662481e-01	2.156632e+00	3.614086e-02	4.813702e-01	2.695271e-01	0	4.367508e-01	0	1.500295e-01	0	1.640793e-01
TCGA-CD-A489-01A-11R-A24K-31	2.264340e-01	3.317070e+00	3.353739e-01	3.808037e-01	7.597281e-02	2.924453e-02	0	0	2.541536e-01	0	1.847437e-01
TCGA-CD-A48A-01A-12R-A36D-31	3.310958e-02	1.813744e+00	2.139549e-01	2.666245e-01	2.371245e-01	1.554550e-01	0	9.776019e-03	4.855792e-01	0	6.212161e-01
TCGA-CD-A48C-01A-11R-A24K-31	0	1.381635e+00	5.822637e-02	6.316871e-01	7.399441e-02	0	5.328132e-01	0	7.641754e-02	0	5.597183e-01
TCGA-CD-A4MG-01A-11R-A251-31	0	1.558772e+00	3.112944e-01	5.765422e-01	6.233036e-01	0	0	0	1.768974e-01	2.078502e-01	0
TCGA-CD-A4MH-01A-11R-A251-31	0	1.567683e+00	2.265099e-01	2.730442e-01	1.059894e+00	8.573001e-02	1.335892e+00	1.657017e-02	8.187754e-02	3.001534e-01	4.786512e-01
TCGA-CD-A4MI-01A-21R-A251-31	0	2.995097e+00	6.344069e-01	5.188104e-01	0	0	0	0	1.725254e-01	0	6.035813e-01
TCGA-CD-A4MJ-01A-11R-A251-31	1.916899e-01	7.647756e-01	7.831061e-02	6.131237e-01	2.288792e-01	0	0	0	2.936721e-01	0	1.272107e-01
TCGA-CG-4301-01A-01R-1157-13	1.590980e-02	1.765329e+00	0	5.492484e-01	0	5.614795e-02	3.256352e-02	4.255959e-01	4.830415e-02	3.232600e-01	7.107578e-01
TCGA-CG-4304-01A-01R-1157-13	0	1.870256e+00	2.618649e-01	4.459738e-01	8.969836e-01	0	1.587942e-01	0	3.194257e-01	4.327017e-01	8.273969e-01
TCGA-CG-4305-01A-01R-1157-13	0	1.773768e+00	2.632521e-01	6.329575e-01	5.274463e-01	0	1.898217e-02	8.127301e-02	1.239730e-01	0	5.582459e-01
TCGA-CG-4306-01A-01R-1157-13	9.676312e-03	1.301884e+00	1.812926e-01	4.964085e-01	0	0	0	2.155713e-01	4.452109e-02	3.698215e-01	1.333429e-01
TCGA-CG-4436-01A-01R-1157-13	0	4.408757e-01	0	5.642352e-02	7.186342e-01	0	0	1.681502e-01	6.136063e-01	9.963618e-01	2.505481e-01
TCGA-CG-4437-01A-01R-1802-13	0	1.257954e+00	3.967158e-01	6.431476e-01	2.260439e-02	0	0	2.822964e-01	6.845009e-02	0	7.625993e-01
TCGA-CG-4438-01A-01R-1157-13	0	1.670664e+00	2.954416e-01	3.236712e-01	8.959309e-01	9.889856e-02	5.547928e-01	0	1.014952e-01	1.052286e-01	3.679333e-01
TCGA-CG-4440-01A-01R-1157-13	0	1.016084e+00	1.284904e-02	3.064048e-01	4.679472e-01	0	9.121957e-01	0	0	1.211697e-01	3.354220e-01
TCGA-CG-4441-01A-01R-1802-13	0	1.380173e+00	1.706612e-01	6.497247e-01	5.361339e-01	1.056762e-01	6.051914e-02	0	1.148487e-01	2.869479e-01	1.123835e+00
TCGA-CG-4442-01A-01R-1157-13	7.360374e-02	9.659169e-01	0	5.415799e-01	0	0	0	0	1.315983e-01	0	0
TCGA-CG-4443-01A-01R-1157-13	4.640567e-02	1.109760e+00	0	4.710718e-01	0	4.143924e-02	0	0	1.552838e+00	0	3.398763e-01
TCGA-CG-4444-01A-01R-1157-13	0	1.895061e+00	3.197591e-01	3.795435e-01	1.099833e+00	9.641655e-02	1.373691e-01	0	0	5.823556e-01	1.399235e-01
TCGA-CG-4449-01A-01R-1157-13	1.889944e-01	1.891942e+00	2.029947e-01	6.478037e-01	0	2.426470e-02	1.772251e-01	0	2.736248e-01	4.499828e-01	1.928143e-01
TCGA-CG-4460-01A-01R-1157-13	0	1.555146e+00	1.457381e-01	3.505378e-01	1.101466e-01	1.797617e-01	5.129191e-01	3.263685e-01	1.712914e-01	1.316751e-01	1.283266e-01
TCGA-CG-4462-01A-01R-1157-13	0	2.681160e+00	2.653810e-01	5.899475e-01	2.734694e-01	0	0	0	6.219205e-02	6.606248e-01	8.416791e-01
TCGA-CG-4465-01A-01R-1157-13	0	1.297592e+00	1.092414e-01	5.280775e-01	1.107890e+00	0	0	1.874616e-01	0	5.514891e-01	5.144337e-02
TCGA-CG-4466-01A-01R-1157-13	0	7.033742e-01	0	3.529417e-02	4.304834e-01	1.334416e-01	1.866675e-01	0	4.197843e-01	8.665968e-01	1.772038e-01
TCGA-CG-4469-01A-01R-1157-13	0	7.759756e-01	5.653502e-02	2.621071e-01	7.301600e-01	4.632116e-02	0	0	0	3.808604e-01	6.302962e-01
TCGA-CG-4472-01A-01R-1157-13	5.159387e-02	2.668043e+00	3.613425e-01	4.397351e-01	2.693833e-01	0	0	2.971218e-02	1.100471e-01	5.287697e-02	6.996304e-01
TCGA-CG-4474-01A-02R-1157-13	0	1.972582e+00	2.604535e-01	5.145220e-01	1.086939e+00	0	0	2.310313e-01	0	2.573269e-01	3.265000e-01
TCGA-CG-4475-01A-01R-1157-13	0	2.152453e+00	0	5.553066e-01	8.978052e-02	1.216541e-01	1.315387e-01	2.129691e-02	1.989612e-01	6.717316e-01	6.078700e-01
TCGA-CG-4476-01A-01R-1157-13	0	2.487290e+00	2.842997e-01	4.655799e-01	4.250740e-01	1.182615e-03	2.776413e-02	4.467595e-01	1.471098e-01	1.281420e-01	7.458512e-01
TCGA-CG-4477-01A-01R-1157-13	6.996845e-01	1.669742e+00	4.227137e-01	2.450942e-01	4.225809e-01	1.087702e-02	0	1.126541e-01	3.857055e-01	5.358728e-01	3.863099e-01
TCGA-CG-5716-01A-21R-1802-13	5.805584e-02	1.232628e+00	4.661925e-01	1.006285e-01	2.488895e-01	7.947592e-02	0	4.270406e-01	1.556318e-01	0	5.780664e-01
TCGA-CG-5717-01A-11R-1602-13	1.676450e+00	1.548964e+00	6.286369e-01	1.897005e-01	0	1.947084e-04	0	0	1.865069e-02	1.309380e-01	6.174509e-01
TCGA-CG-5718-01A-11R-1602-13	2.949320e-02	9.927903e-01	3.733460e-01	3.703379e-01	2.310188e-02	0	3.868177e-01	2.465665e-01	7.585903e-01	4.255963e-01	7.575944e-01
TCGA-CG-5719-01A-11R-1602-13	3.912169e-02	2.236345e+00	3.002253e-01	6.548706e-01	8.616187e-02	3.374201e-02	2.170344e-02	0	2.252283e-01	1.046217e-01	1.094359e+00
TCGA-CG-5720-11A-01R-1602-13	0	1.634331e+00	5.307367e-01	0	1.270084e+00	7.857337e-02	0	3.725090e-01	2.028514e-01	0	5.484671e-01
TCGA-CG-5720-01A-11R-1602-13	0	1.645749e+00	4.451102e-01	3.594764e-01	1.475171e+00	0	0	0	4.043155e-02	3.780367e-01	4.466702e-01
TCGA-CG-5721-11A-01R-1602-13	2.969656e-02	1.446571e+00	4.023407e-01	4.640086e-03	0	7.753560e-02	0	5.824790e-01	2.531269e-02	0	6.553439e-01
TCGA-CG-5721-01A-11R-1602-13	1.931297e-01	1.710854e+00	8.265348e-01	4.628111e-01	0	0	0	0	1.605584e-01	0	2.014234e-01
TCGA-CG-5722-11A-02R-1602-13	0	2.460429e+00	4.119176e-01	1.752074e-02	0	1.202771e-01	0	4.115822e-01	0	0	8.450557e-01
TCGA-CG-5722-01A-21R-1602-13	9.837981e-02	1.682662e+00	7.953265e-01	2.048175e-01	0	5.055018e-02	0	9.308238e-02	1.338641e-01	0	8.197949e-01
TCGA-CG-5723-01A-11R-1602-13	3.416938e-01	1.475292e+00	4.779429e-01	4.627857e-01	0	1.077549e-01	0	0	0	2.634679e-01	1.163388e-01
TCGA-CG-5724-01A-11R-1602-13	5.219942e-01	8.285000e-01	2.005635e-01	7.199149e-01	0	0	2.746041e-01	0	2.087964e-01	0	0
TCGA-CG-5725-01A-11R-1602-13	3.747464e-01	1.315241e+00	2.634854e-02	3.138994e-01	0	3.534285e-01	1.662226e-01	0	8.510938e-01	0	1.591681e-01
TCGA-CG-5726-01A-11R-1602-13	0	2.521819e-01	6.672721e-02	2.427355e-01	3.292077e-01	0	0	4.192839e-02	1.354047e-01	0	5.757172e-01
TCGA-CG-5728-11A-01R-1602-13	2.094363e-02	1.709061e+00	7.894895e-01	0	1.564455e-01	1.155578e-01	0	5.369587e-01	1.009491e-02	0	6.345194e-01
TCGA-CG-5730-11A-01R-1602-13	0	2.090165e+00	2.791363e-01	3.346831e-02	1.957025e+00	8.442456e-02	0	1.344571e-01	9.764375e-02	0	3.373399e-01
TCGA-CG-5732-01A-11R-1602-13	1.444095e-02	1.170389e+00	4.945206e-01	1.089118e-01	7.151237e-01	3.030112e-02	6.125665e-01	2.416903e-01	1.831438e-01	2.776980e-01	8.101445e-01
TCGA-CG-5733-11A-01R-1602-13	0	1.625987e+00	5.898515e-01	2.672859e-02	1.196318e-01	9.346074e-02	0	5.403893e-01	6.407262e-02	0	7.352576e-01
TCGA-CG-5734-11A-01R-1602-13	0	1.828389e+00	1.928447e-01	1.125395e-01	1.627764e+00	3.794637e-02	1.450376e-04	3.439974e-01	1.389002e-01	0	4.166934e-01
TCGA-CG-5734-01A-11R-1602-13	1.646598e-02	1.296472e+00	5.045525e-01	1.563472e-01	9.226477e-01	2.417065e-02	0	2.946916e-01	1.542125e-01	5.748865e-01	3.225875e-01
TCGA-D7-5577-01A-01R-1602-13	2.401928e-01	7.001741e-01	4.367568e-01	3.698370e-01	0	0	0	0	7.369755e-02	0	1.393337e+00
TCGA-D7-5578-01A-01R-1602-13	0	1.742343e+00	4.509835e-01	4.115753e-01	1.137353e+00	0	2.733984e-01	1.165996e-01	3.144665e-01	1.746222e-01	4.410176e-01
TCGA-D7-6518-01A-11R-1802-13	0	3.425344e+00	4.466716e-01	4.248777e-01	7.157780e-01	2.192822e-01	0	0	3.636095e-02	5.218374e-01	3.017736e-01
TCGA-D7-6519-01A-11R-1802-13	3.456299e-01	1.267703e+00	1.123758e-01	5.263493e-01	0	2.385343e-01	0	4.925572e-02	1.499356e-01	0	3.233120e-01
TCGA-D7-6520-01A-11R-1802-13	0	2.016864e+00	7.784001e-02	6.580946e-01	2.784528e-01	1.694134e-02	7.040433e-01	0	1.556876e-01	0	1.171774e+00
TCGA-D7-6521-01A-11R-1802-13	0	2.184267e+00	3.520672e-01	6.380499e-01	2.789369e-01	1.589062e-01	1.389935e-01	3.375419e-01	0	0	1.328067e+00
TCGA-D7-6522-01A-11R-1802-13	0	2.932916e+00	8.839654e-01	6.118192e-01	1.125591e+00	3.862524e-02	0	0	9.539794e-02	9.814033e-02	3.507214e-01
TCGA-D7-6524-01A-11R-1802-13	7.565023e-02	2.227646e+00	3.071251e-01	5.112548e-01	3.361016e-01	0	0	0	1.635190e-01	4.504872e-01	6.989268e-01
TCGA-D7-6525-01A-11R-1802-13	3.845826e-01	1.303729e+00	9.039637e-02	7.244442e-01	0	1.462365e-02	2.827704e-01	0	1.056261e-01	0	4.434777e-01
TCGA-D7-6526-01A-11R-1802-13	7.456583e-02	1.200809e+00	8.329961e-02	2.330127e-01	6.188879e-01	0	7.207191e-01	6.590552e-03	2.171722e-01	3.333594e-01	5.082260e-01
TCGA-D7-6527-01A-11R-1802-13	0	1.360358e+00	2.513421e-01	3.781714e-01	2.248624e-01	2.155431e-02	4.911322e-01	9.018420e-02	2.897117e-01	2.781909e-01	9.179272e-01
TCGA-D7-6528-01A-11R-1802-13	0	5.703367e-01	1.970783e-02	2.879858e-01	7.535003e-01	3.029299e-02	0	0	7.390130e-01	4.417570e-01	2.261549e-01
TCGA-D7-6815-01A-11R-1884-13	0	1.486828e+00	1.369875e-01	5.058255e-01	1.139842e+00	7.840738e-02	3.528836e-01	0	2.750845e-01	1.305477e-01	6.040826e-01
TCGA-D7-6817-01A-11R-1884-13	2.000397e-03	1.421877e+00	4.256370e-01	2.172167e-01	5.809161e-01	9.076468e-02	3.378681e-01	8.052340e-02	1.816253e-01	0	7.572862e-01
TCGA-D7-6818-01A-11R-1884-13	0	2.514536e+00	4.119550e-01	5.474357e-01	6.792408e-01	5.511977e-01	0	0	2.358290e-02	5.059506e-01	4.368919e-01
TCGA-D7-6820-01A-11R-1884-13	0	3.536054e-01	1.616760e-01	1.561473e-01	1.784720e-02	5.689893e-03	5.749178e-01	1.263452e-01	3.108555e-01	5.616345e-01	8.536730e-01
TCGA-D7-6822-01A-11R-1884-13	1.342955e-01	1.189156e+00	2.706899e-01	3.092104e-01	0	1.283839e-01	1.345951e-01	0	1.217223e+00	1.397539e-01	1.863218e-01
TCGA-D7-8570-01A-11R-2343-13	0	1.692940e+00	6.329992e-01	5.113911e-01	0	0	0	1.083206e-01	2.518758e-01	0	1.543689e+00
TCGA-D7-8572-01A-11R-2343-13	0	2.390621e+00	4.345164e-01	4.566252e-01	7.188467e-01	1.359229e-02	1.317269e+00	0	5.567647e-02	3.033306e-01	1.865546e-01
TCGA-D7-8573-01A-11R-2343-13	1.492643e-01	2.618231e-01	1.624373e-01	8.425925e-02	0	0	0	4.778461e-02	7.206389e-01	0	1.177484e+00
TCGA-D7-8574-01A-13R-2343-13	0	3.106028e+00	8.925899e-01	4.116047e-01	9.388636e-01	4.554207e-02	0	0	1.713106e-01	0	5.168101e-01
TCGA-D7-8575-01A-11R-2343-13	1.713756e-01	1.433702e+00	4.537440e-01	2.663288e-01	0	4.679334e-02	1.965723e-01	7.065306e-02	0	7.946828e-02	8.417260e-01
TCGA-D7-8576-01A-11R-2343-13	0	1.362008e+00	2.032775e-01	2.996646e-01	3.440811e-01	0	4.916727e-01	0	0	0	1.188374e+00
TCGA-D7-8578-01A-21R-2343-13	0	2.603679e+00	1.962010e-01	5.999014e-01	7.159191e-01	2.488342e-02	6.234194e-01	2.161913e-01	1.889832e-01	0	6.016229e-01
TCGA-D7-8579-01A-11R-2343-13	0	3.194937e+00	4.287937e-01	2.527411e-01	8.061657e-01	0	9.910201e-02	6.943438e-02	6.261740e-02	1.835741e-01	5.668800e-01
TCGA-D7-A4YT-01A-11R-A251-31	0	1.311046e+00	1.698683e-01	3.417938e-01	2.509221e-01	3.274318e-01	0	0	7.177006e-01	1.896008e-01	4.589137e-01
TCGA-D7-A4YU-01A-21R-A251-31	0	2.341844e+00	7.910293e-01	1.447711e-01	1.754410e-01	0	0	0	1.588206e-01	0	4.724839e-01
TCGA-D7-A4YV-01A-11R-A251-31	0	2.239143e+00	6.316996e-01	1.945610e-01	2.163486e-01	2.742336e-02	0	0	6.535261e-02	0	2.217116e-01
TCGA-D7-A4YX-01A-11R-A251-31	3.743463e-02	3.654392e-01	2.800301e-01	1.835101e-01	0	0	0	0	1.299204e-01	0	1.248992e+00
TCGA-D7-A4YY-01A-11R-A251-31	0	1.273483e+00	2.912314e-01	6.673101e-01	2.745087e-01	0	0	0	1.162426e-01	0	5.466341e-01
TCGA-D7-A4Z0-01A-22R-A251-31	1.020332e-01	2.313432e+00	4.677208e-01	1.007154e-01	7.744972e-01	0	0	1.209591e-03	9.188383e-02	2.672885e-01	3.205920e-01
TCGA-D7-A6EV-01A-11R-A31P-31	0	4.134479e-01	0	3.098560e-01	2.576182e-01	0	4.195865e-01	0	0	4.984777e-02	6.307865e-01
TCGA-D7-A6EX-01A-11R-A31P-31	0	2.457403e+00	8.125557e-02	2.329645e-01	1.253173e-01	5.024403e-01	0	0	5.772183e-01	0	0
TCGA-D7-A6EY-01A-21R-A31P-31	1.843555e-01	1.817248e+00	7.542175e-01	3.613694e-01	1.971756e-01	0	0	0	3.401034e-02	0	2.618335e-01
TCGA-D7-A6EZ-01A-11R-A31P-31	0	9.120238e-01	3.337354e-01	3.845385e-01	0	0	0	0	5.531258e-01	7.949705e-02	1.030561e+00
TCGA-D7-A6F0-01A-11R-A31P-31	4.417448e-02	1.334171e+00	3.255660e-01	3.380378e-01	4.083953e-01	3.601108e-03	2.221185e+00	0	2.178921e-01	0	4.021827e-01
TCGA-D7-A6F2-01A-12R-A31P-31	0	1.655583e+00	3.813322e-01	3.431010e-01	7.404951e-01	9.360143e-02	0	2.159561e-01	1.714286e-01	4.000345e-01	5.094528e-01
TCGA-D7-A747-01A-22R-A33Y-31	0	3.936934e+00	4.953369e-01	1.954920e-01	9.312952e-01	2.584890e-02	0	0	1.888498e-01	0	2.347820e-01
TCGA-D7-A748-01A-12R-A32D-31	2.909803e-01	2.115217e+00	2.837844e-01	7.460439e-01	2.955767e-01	0	0	0	0	5.946689e-01	6.847463e-01
TCGA-D7-A74A-01A-11R-A32D-31	2.751440e-01	3.593447e-01	6.730277e-02	1.445046e-01	3.731038e-01	1.178004e-01	0	0	2.780942e-01	0	6.495517e-01
TCGA-EQ-8122-01A-11R-2343-13	0	2.041333e+00	7.489460e-02	3.323564e-01	5.319650e-01	2.110608e-03	6.238973e-01	0	3.100747e-01	3.752424e-01	4.466502e-01
TCGA-EQ-A4SO-01A-11R-A251-31	7.493298e-03	3.992516e-01	0	9.036029e-02	3.247344e-01	9.110228e-02	2.051798e-01	0	3.034297e-01	6.946163e-02	4.656563e-01
TCGA-F1-6177-01A-11R-1802-13	0	2.907126e-01	1.005022e-01	4.038439e-01	8.689896e-01	0	0	0	1.255974e-01	2.071251e-01	1.676078e-01
TCGA-F1-6874-01A-11R-1884-13	0	1.270670e+00	2.529473e-01	3.591563e-01	7.094652e-01	6.758942e-02	0	0	0	6.827002e-01	1.014078e+00
TCGA-F1-6875-01A-11R-2055-13	0	9.270796e-01	0	3.540373e-01	0	2.968908e-01	0	0	1.401225e+00	0	0
TCGA-F1-A448-01A-11R-A24K-31	6.334107e-02	1.816257e+00	4.240839e-01	3.572816e-01	5.148756e-01	2.475831e-02	0	0	6.744149e-02	8.924369e-01	1.946736e-02
TCGA-F1-A72C-01A-21R-A33Y-31	0	1.503358e+00	2.069052e-01	5.457617e-01	4.919009e-01	1.147284e-02	3.227501e-01	2.972310e-01	2.220377e-02	9.763608e-02	7.814371e-01
TCGA-FP-7735-11A-01R-2055-13	0	4.899845e+00	1.330961e-02	2.739132e-02	0	4.929695e-02	0	1.400185e-01	0	0	0
TCGA-FP-7735-01A-11R-2055-13	0	1.573675e+00	4.171878e-01	3.222356e-01	3.739586e-01	0	6.391563e-01	3.202380e-02	6.126829e-01	1.489938e-01	1.110521e+00
TCGA-FP-7829-11A-01R-2055-13	1.201175e+00	4.257344e+00	4.380399e-02	2.171786e-01	0	4.401358e-03	0	0	0	5.790453e-02	0
TCGA-FP-7829-01A-11R-2055-13	6.731987e-02	1.046429e+00	7.331241e-02	5.433293e-01	6.431506e-01	6.440157e-02	0	0	2.342178e-01	4.398463e-01	2.458738e-01
TCGA-FP-7916-01A-11R-2203-13	0	2.300799e+00	6.424016e-01	3.490067e-01	2.832294e-01	0	0	2.009595e-02	1.196105e-01	0	1.444258e+00
TCGA-FP-7998-01A-11R-2203-13	0	2.600053e+00	8.618894e-01	3.021358e-01	0	0	0	0	1.416782e-01	0	1.285525e+00
TCGA-FP-8099-01A-11R-2343-13	1.267904e-01	1.225988e+00	2.405354e-01	6.420235e-01	3.249321e-01	8.368837e-02	1.928242e-01	0	1.119055e-01	6.284829e-02	7.893569e-01
TCGA-FP-8209-01A-11R-2343-13	0	4.373256e+00	7.480026e-01	1.974068e-01	5.336326e-03	2.133164e-02	0	0	1.116854e-01	0	6.745853e-01
TCGA-FP-8210-01A-11R-2343-13	6.912371e-02	3.378856e+00	7.489249e-01	3.623853e-01	2.896672e-01	2.557586e-02	0	1.734631e-02	1.874427e-01	0	5.655105e-01
TCGA-FP-8211-01A-11R-2343-13	1.970674e-01	7.417075e-01	2.141753e-01	3.458785e-01	0	0	0	2.393666e-01	3.753360e-01	0	7.374248e-01
TCGA-FP-8631-01A-11R-2402-13	1.062995e-01	1.205879e+00	0	5.854411e-01	3.782501e-02	0	7.667385e-01	8.850027e-02	8.704092e-02	0	8.723323e-01
TCGA-FP-A4BE-01A-12R-A24K-31	1.080811e-02	8.359861e-01	4.082778e-01	5.001437e-01	3.659429e-01	0	0	0	2.343372e-02	0	9.985044e-01
TCGA-FP-A4BF-01A-12R-A36D-31	7.962262e-02	2.002492e+00	5.220948e-01	6.522873e-01	4.907625e-01	4.334802e-02	2.057755e-01	0	0	1.329276e-01	2.893086e-01
TCGA-FP-A8CX-01A-11R-A36D-31	0	8.668697e-01	2.160231e-01	1.103774e-01	6.889994e-01	6.137602e-03	4.762068e-01	3.477309e-01	4.207677e-02	9.517271e-02	5.903613e-01
