sampleID	D12.10_GNF2-SPRR1B	D6.2_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D17.11_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D19.8_FARMER-BREAST-CANCER-CLUSTER-5	D9.7_REACTOME-CYTOSOLIC-SULFONATION-OF-SMALL-MOLECULES	D18.18_REACTOME-DOPAMINE-NEUROTRANSMITTER-RELEASE-CYCLE	D17.8_WEBER-METHYLATED-ICP-IN-SPERM-DN	D18.17_GNF2-SPINK1	D19.16_CHROMOSOME-CONDENSATION	D18.12_MARTINELLI-IMMATURE-NEUTROPHIL-DN	D17.6_chr11q11
TCGA-BR-6453-11A-01R-1802-13	0	2.297594e+00	3.916504e-01	1.083658e-02	1.436899e+00	5.023197e-02	0	3.481450e-01	1.296129e-01	8.115614e-02	3.282486e-01
TCGA-BR-6453-01A-11R-1802-13	0	2.541480e+00	8.331100e-01	3.538612e-01	1.347547e+00	6.429244e-02	0	0	7.273828e-02	0	3.839511e-01
TCGA-BR-6454-11A-01R-1802-13	5.266880e-02	2.581112e+00	5.442685e-01	0	3.208135e-01	1.364064e-02	0	4.022102e-01	1.845223e-03	0	6.670765e-01
TCGA-BR-6454-01A-11R-1802-13	0	1.508054e+00	6.100283e-01	3.635955e-01	2.423172e-01	1.435464e-01	2.355367e-01	0	1.405040e-01	1.345335e-01	1.297430e+00
TCGA-BR-6455-01A-11R-1802-13	0	1.626514e+00	3.532071e-01	4.070758e-01	0	0	0	6.901563e-02	2.779409e-01	0	1.418093e+00
TCGA-BR-6456-01A-11R-1802-13	0	2.687291e+00	3.045420e-01	5.943891e-01	5.224567e-01	1.054685e-01	1.768112e-01	2.910238e-01	5.027193e-03	1.180926e-01	3.433906e-01
TCGA-BR-6457-11A-01R-1802-13	0	2.280712e+00	3.624497e-01	4.893679e-02	1.437797e+00	4.357618e-02	0	3.895574e-01	1.092624e-01	0	4.974836e-01
TCGA-BR-6457-01A-21R-1802-13	0	3.462510e+00	5.210194e-01	5.492603e-01	3.989797e-01	3.200197e-02	0	8.245223e-02	2.735790e-01	2.824978e-02	7.895721e-01
TCGA-BR-6458-11A-01R-1802-13	0	1.554405e+00	4.113853e-01	0	2.194366e-01	1.268864e-01	0	5.844077e-01	0	0	6.887544e-01
TCGA-BR-6458-01A-11R-1802-13	0	1.981041e+00	4.541930e-01	6.601492e-01	0	2.697776e-02	1.666568e-01	0	2.454131e-01	0	6.283094e-01
TCGA-BR-6563-01A-13R-2055-13	0	3.056507e+00	6.067938e-01	5.141595e-01	9.561852e-01	9.132142e-04	0	1.812317e-01	2.397230e-01	9.019365e-02	4.488855e-01
TCGA-BR-6564-11A-01R-1884-13	0	2.951946e+00	5.234640e-01	1.735993e-02	1.517705e+00	5.421351e-02	0	3.218644e-01	8.288228e-02	0	4.676559e-01
TCGA-BR-6564-01A-12R-1884-13	0	3.710806e+00	4.048059e-01	3.330382e-01	3.895772e-01	1.863263e-02	0	2.258151e-01	2.897644e-01	0	5.228199e-01
TCGA-BR-6565-01A-11R-1802-13	0	2.130204e+00	4.680564e-01	4.382452e-01	9.242945e-01	0	2.803953e-01	0	3.395803e-01	0	3.806813e-01
TCGA-BR-6566-01A-11R-1802-13	0	1.328817e+00	3.033036e-01	7.437487e-01	1.125761e+00	0	0	0	0	1.963043e-01	0
TCGA-BR-6705-01A-12R-1884-13	2.661658e-02	3.307887e+00	4.764171e-01	6.456686e-01	2.456051e-02	4.046215e-02	2.763276e-01	0	1.999233e-01	0	6.276139e-01
TCGA-BR-6706-01A-11R-1884-13	0	2.623655e+00	6.759411e-01	4.716128e-01	2.400332e-01	0	0	0	9.095686e-02	0	1.217913e+00
TCGA-BR-6707-01A-11R-1884-13	0	1.222511e+00	4.297246e-01	3.479276e-01	8.022953e-02	0	0	0	1.104815e-01	0	1.582588e+00
TCGA-BR-6709-01A-11R-1884-13	0	2.676015e+00	8.087084e-01	6.045459e-01	0	1.892369e-01	0	0	0	8.064763e-02	0
TCGA-BR-6801-01A-11R-1884-13	2.005636e-01	2.010610e+00	0	5.493890e-01	7.412132e-01	2.016234e-03	0	0	8.330044e-01	0	5.997935e-02
TCGA-BR-6802-11A-01R-1884-13	0	1.696965e+00	0	1.194681e-01	8.011047e-01	9.839153e-02	0	4.466899e-01	2.641069e-02	0	3.564020e-01
TCGA-BR-6802-01A-11R-1884-13	2.794019e-01	1.082347e+00	5.221908e-01	4.137706e-01	0	0	0	3.161775e-01	3.312796e-02	1.707748e-01	2.238449e-01
TCGA-BR-6803-01A-11R-1884-13	0	3.360901e+00	4.475793e-01	3.100838e-01	1.092914e-01	2.963539e-02	6.708182e-03	2.998204e-01	1.159353e-01	0	9.012919e-01
TCGA-BR-6852-11A-01R-1884-13	1.122104e-02	1.016644e+00	4.478939e-01	4.882152e-02	0	2.321546e-02	0	4.844941e-01	0	8.535766e-02	7.792665e-01
TCGA-BR-6852-01A-11R-1884-13	1.053158e-01	1.447175e+00	7.328527e-01	6.028202e-01	2.664909e-01	0	0	9.347482e-03	6.224553e-03	6.460108e-03	4.328057e-01
TCGA-BR-7196-01A-11R-2055-13	0	2.845128e+00	5.389568e-01	4.681066e-01	0	0	0	0	1.729624e-01	0	1.323709e+00
TCGA-BR-7197-01A-11R-2203-13	0	1.945258e+00	5.978213e-03	3.557950e-01	1.579655e-01	1.092776e-01	9.146989e-02	0	1.123881e+00	0	4.430344e-01
TCGA-BR-7703-01A-11R-2055-13	0	8.597175e-01	2.491924e-01	3.373011e-01	9.648844e-01	0	0	0	6.460092e-02	3.868515e-02	1.795547e-01
TCGA-BR-7704-11A-01R-2055-13	0	3.798212e+00	3.063911e-01	7.888016e-02	7.916041e-01	4.609277e-02	0	3.839189e-01	8.330134e-02	0	4.481414e-01
TCGA-BR-7704-01A-11R-2055-13	0	1.350454e+00	5.170901e-01	4.186146e-01	4.065278e-02	6.112746e-02	0	2.274753e-01	9.271034e-01	0	7.099729e-01
TCGA-BR-7707-01A-11R-2055-13	1.230813e-01	5.927522e-01	2.318174e-01	5.514386e-01	7.225415e-02	0	0	1.012850e-01	1.536640e-01	1.063378e-01	0
TCGA-BR-7715-11A-01R-2055-13	0	2.219602e+00	7.451815e-01	6.079503e-02	3.766088e-01	3.842365e-02	0	5.052437e-01	1.032873e-01	1.890339e-01	4.658858e-01
TCGA-BR-7715-01A-11R-2055-13	0	1.992760e+00	7.918104e-03	5.648708e-01	0	1.458825e-01	0	0	1.168079e+00	2.861669e-02	6.267207e-01
TCGA-BR-7716-11A-01R-2055-13	0	2.316138e+00	3.459396e-01	2.857989e-02	3.419738e-01	9.347770e-02	0	4.295175e-01	1.047704e-02	0	6.919805e-01
TCGA-BR-7716-01A-21R-2055-13	0	1.820373e+00	4.768125e-01	4.200374e-01	7.977982e-01	0	1.156797e+00	2.378590e-01	1.743946e-01	0	5.951747e-01
TCGA-BR-7717-11A-01R-2055-13	4.487827e-02	2.548560e+00	6.553182e-01	7.196399e-02	7.468603e-03	1.593616e-02	0	5.356966e-01	5.814587e-02	4.884994e-02	5.089907e-01
TCGA-BR-7717-01A-11R-2055-13	2.869036e-02	1.710728e+00	9.651924e-02	5.890359e-01	3.419508e-01	0	3.022241e-01	1.172376e-01	3.177547e-01	0	4.958684e-01
TCGA-BR-7722-01A-31R-2203-13	0	1.646000e+00	2.476629e-01	3.492206e-01	0	1.291365e-02	0	0	0	0	1.513708e+00
TCGA-BR-7723-01A-11R-2055-13	0	2.067379e+00	4.422232e-01	4.199121e-01	0	1.252799e-01	1.391545e+00	0	4.929938e-01	0	2.900508e-02
TCGA-BR-7851-11A-01R-2203-13	0	1.960136e+00	3.183576e-01	1.811732e-02	1.836853e+00	2.278035e-02	0	2.264030e-01	7.515782e-02	0	5.069468e-01
TCGA-BR-7851-01A-11R-2203-13	0	1.942190e+00	3.320153e-01	5.364052e-01	8.993953e-01	0	0	0	1.497368e-02	0	4.169768e-01
TCGA-BR-7901-01A-11R-2203-13	0	2.381334e+00	2.512067e-01	5.128757e-01	3.132362e-01	3.243209e-02	5.231640e-01	6.514525e-02	1.314142e-01	4.680352e-01	8.407684e-01
