sampleID	D7.5_WEST-ADRENOCORTICAL-TUMOR-MARKERS-DN	D8.8_MODULE-293	D9.5_REACTOME-GABA-SYNTHESIS-RELEASE-REUPTAKE-AND-DEGRADATION	D6.1_FARMER-BREAST-CANCER-CLUSTER-5	D9.2_REACTOME-GLUCURONIDATION
TCGA-OR-A5L6-01A-11R-A29S-07	2.504023e-01	0	7.463310e-01	2.586580e+00	3.159054e+00
TCGA-OR-A5L8-01A-11R-A29S-07	2.982386e+00	5.455714e-02	9.224825e-01	2.473026e+00	4.705855e-01
TCGA-OR-A5L9-01A-11R-A29S-07	0	4.904800e-01	1.059441e+00	2.289502e+00	2.895631e+00
TCGA-OR-A5LA-01A-11R-A29S-07	3.481232e-01	3.836903e-01	7.378305e-01	2.781715e+00	3.314382e+00
TCGA-OR-A5LB-01A-11R-A29S-07	1.570010e+00	0	2.116643e+00	2.663220e+00	6.738458e-01
TCGA-OR-A5LC-01A-11R-A29S-07	1.327738e+00	0	5.160745e-02	3.429199e+00	2.016082e-01
TCGA-OR-A5LD-01A-11R-A29S-07	6.824433e-01	0	0	2.322513e+00	0
TCGA-OR-A5LE-01A-11R-A29S-07	1.781431e+00	0	2.694733e-01	1.872242e+00	0
TCGA-OR-A5LG-01A-11R-A29S-07	1.091387e+00	4.930255e-01	5.822613e-02	2.637869e+00	9.777037e-01
TCGA-OR-A5LH-01A-11R-A29S-07	6.532208e-01	1.130447e+00	2.477531e+00	1.874450e+00	1.980835e+00
TCGA-OR-A5LJ-01A-11R-A29S-07	2.477553e+00	0	9.438339e-01	3.010536e+00	9.929812e-02
TCGA-OR-A5LK-01A-11R-A29S-07	3.863624e-01	3.683536e-01	8.628540e-01	3.580051e+00	3.615957e+00
TCGA-OR-A5LL-01A-11R-A29S-07	2.147419e+00	6.539369e-01	0	2.136852e+00	2.193548e+00
TCGA-OR-A5LM-01A-11R-A29S-07	0	7.288844e-01	3.716045e+00	2.323986e+00	8.399569e-01
TCGA-OR-A5LN-01A-11R-A29S-07	7.802993e-01	6.953491e-02	0	2.680739e+00	4.049122e+00
TCGA-OR-A5LO-01A-11R-A29S-07	1.268809e+00	2.701548e-01	3.466413e+00	2.634912e+00	2.288458e-01
TCGA-OR-A5LP-01A-11R-A29S-07	1.361508e+00	1.769633e-01	4.010198e-01	3.284090e+00	4.412795e+00
TCGA-OR-A5LR-01A-11R-A29S-07	1.908240e-01	5.901896e-01	9.579919e-01	2.183318e+00	4.139195e+00
TCGA-OR-A5LS-01A-11R-A29S-07	1.862856e+00	0	2.294341e+00	2.165159e+00	6.301858e-01
TCGA-OR-A5LT-01A-11R-A29S-07	1.391956e+00	0	1.560512e-01	2.963443e+00	3.929304e+00
TCGA-OU-A5PI-01A-12R-A29S-07	2.410576e+00	0	2.289686e+00	2.937148e+00	7.936143e-01
TCGA-P6-A5OF-01A-11R-A29S-07	1.959462e+00	5.793360e-02	1.481108e+00	2.948376e+00	9.489020e-01
TCGA-P6-A5OG-01A-22R-A29S-07	1.510910e-01	2.323003e-01	0	7.593476e+00	1.984119e-01
TCGA-PA-A5YG-01A-11R-A29S-07	1.370696e+00	2.811085e-01	5.492957e-01	3.181630e+00	3.897989e+00
TCGA-PK-A5H8-01A-11R-A29S-07	0	9.066884e-01	2.174534e+00	1.821578e+00	1.944969e+00
TCGA-PK-A5H9-01A-11R-A29S-07	0	3.600501e+00	1.254566e+00	3.320727e+00	4.700731e-01
TCGA-PK-A5HA-01A-11R-A29S-07	0	0	5.128663e-01	3.920748e+00	3.911887e+00
TCGA-PK-A5HB-01A-11R-A29S-07	0	0	1.376327e+00	4.102936e+00	8.094873e-01
