sampleID	D16.12_SENGUPTA-NASOPHARYNGEAL-CARCINOMA-DN	D6.1_INAMURA-LUNG-CANCER-SCC-DN	D13.3_FARMER-BREAST-CANCER-CLUSTER-5	D13.4_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D8.7_GNF2-SPRR1B	D6.4_MIPS-UTX-MLL2-3-COMPLEX	D7.1_chr11q25	D11.8_chr11q11	D16.8_REACTOME-BETA-DEFENSINS	D16.15_SASSON-FSH-RESPONSE	D16.14_SINGH-NFE2L2-TARGETS
TCGA-38-4629-01A-02R-1206-07	0	1.004837e+00	2.677753e+00	7.918968e-01	0	0	2.721759e+00	0	0	0	0
TCGA-38-4630-01A-01R-1206-07	0	8.083770e-01	1.792582e+00	1.381869e+00	0	2.384459e+00	1.494644e+00	0	1.192517e-01	0	0
TCGA-38-4631-01A-01R-1755-07	0	7.950985e-01	1.571418e+00	1.188250e+00	5.440114e-01	1.364701e+00	2.015588e-01	3.510370e-01	0	2.043460e-01	2.390647e-01
TCGA-38-4632-11A-01R-1755-07	1.418195e-02	6.003608e+00	0	1.686230e+00	0	0	9.746914e-01	0	4.397363e-02	0	6.325126e-02
TCGA-38-4632-01A-01R-1755-07	0	1.016935e+00	1.429928e+00	1.141050e+00	0	0	3.750663e+00	3.359773e-01	3.874155e-01	0	0
TCGA-38-6178-01A-11R-1755-07	1.923104e-01	1.661138e+00	1.418569e+00	9.824469e-01	3.450249e-01	1.179568e+00	4.223964e+00	0	1.035692e+00	0	0
TCGA-38-7271-01A-11R-2039-07	7.227533e-02	3.580603e+00	8.361022e-01	1.942071e+00	6.184075e-02	8.354185e-01	3.126244e+00	1.259898e-01	6.862864e-01	2.120394e-02	0
TCGA-38-A44F-01A-11R-A24H-07	7.117633e-01	3.452511e+00	9.834410e-01	1.359720e+00	1.635055e+00	1.598294e-01	2.068506e+00	8.916957e-02	0	0	0
TCGA-44-2655-11A-01R-1758-07	2.527699e-01	6.580522e+00	4.543402e-01	4.713575e-01	5.546824e-02	7.318816e-01	1.125886e+00	0	1.321863e-01	0	0
TCGA-44-2655-01A-01R-0946-07	1.017691e-01	3.510838e+00	4.807845e-01	1.235680e+00	2.851079e-01	6.297333e-01	2.508094e+00	5.105759e-02	5.073349e-01	1.256425e-02	4.033622e-01
TCGA-44-2656-01A-02R-0946-07	0	2.424026e+00	9.652071e-01	1.699662e+00	0	1.269341e-01	3.890058e+00	0	2.633193e-01	0	2.233036e-02
TCGA-44-2657-11A-01R-1758-07	2.779480e-01	5.820250e+00	1.595268e-02	1.927433e+00	1.878624e-01	3.982483e-01	1.642355e+00	0	1.944169e-01	0	0
TCGA-44-2657-01A-01R-1107-07	4.108504e-01	3.036475e+00	4.242943e-01	2.431453e+00	4.396108e-01	6.988587e-01	3.447070e+00	0	9.101454e-01	0	1.347926e-02
TCGA-44-2659-01A-01R-0946-07	0	2.693407e+00	7.020999e-01	1.392871e+00	0	8.042512e-01	4.215362e+00	0	1.453549e+00	0	0
TCGA-44-2661-11A-01R-1758-07	0	6.031110e+00	6.552357e-01	1.176292e+00	0	5.355606e-01	1.704680e+00	0	4.379397e-01	0	0
TCGA-44-2661-01A-01R-1107-07	2.104355e-01	3.305806e+00	2.557088e-01	2.146907e+00	2.389358e-01	1.523460e-02	3.531891e+00	0	1.311463e+00	0	0
TCGA-44-2662-11A-01R-1758-07	0	7.064026e+00	5.679146e-01	8.488357e-01	0	3.600520e-01	8.755204e-01	0	0	0	0
TCGA-44-2662-01A-01R-0946-07	0	5.759292e-01	2.512184e+00	8.442944e-01	0	4.136105e-01	3.292492e+00	0	1.606585e-01	0	0
TCGA-44-2665-11A-01R-1758-07	0	6.314449e+00	4.728141e-01	9.930297e-01	0	5.607505e-01	1.534657e+00	0	3.043854e-01	0	0
TCGA-44-2665-01A-01R-0946-07	0	1.173664e+00	2.515148e+00	4.424083e-01	1.659865e-01	4.720760e-01	3.846721e+00	1.996385e-01	1.147411e+00	3.645268e-02	0
TCGA-44-2666-01A-01R-0946-07	1.361712e-01	2.997865e+00	6.438974e-01	2.518103e-01	4.251498e-01	6.295382e-01	3.500861e+00	5.540147e-02	9.595471e-01	9.923804e-02	0
TCGA-44-2668-11A-01R-1758-07	0	5.969192e+00	6.092067e-01	1.173874e+00	0	2.085930e-01	1.511588e+00	0	0	0	0
TCGA-44-2668-01A-01R-0946-07	0	1.045714e+00	3.024333e+00	7.878453e-01	1.772489e-01	2.038717e-01	2.454458e+00	0	0	2.717180e-02	0
TCGA-44-3396-11A-01R-1758-07	4.837692e-01	6.523196e+00	6.270249e-01	8.352924e-01	2.830503e-01	6.308141e-01	1.004589e+00	6.529761e-02	0	0	0
TCGA-44-3396-01A-01R-1206-07	0	1.272837e+00	2.115012e+00	1.493833e+00	0	7.820336e-01	3.481848e+00	2.359960e-01	1.744477e-01	0	0
TCGA-44-3398-11B-01R-1758-07	3.896830e-01	6.317732e+00	5.593495e-01	8.065263e-01	1.927533e-01	5.115191e-01	1.253373e+00	0	6.936968e-02	0	0
TCGA-44-3398-01A-01R-1107-07	2.435492e-01	2.739900e+00	1.596747e+00	6.057618e-01	3.990786e-01	0	2.813785e+00	1.886502e-01	8.917551e-01	4.798622e-02	4.240479e-02
TCGA-44-3918-01A-01R-1107-07	0	1.616637e+00	1.424537e+00	1.887239e+00	0	6.320238e-01	3.581640e+00	4.953032e-01	4.546419e-01	0	0
TCGA-44-3919-01A-02R-1107-07	1.954602e-01	1.939550e+00	8.976720e-01	1.682848e+00	2.868651e-01	9.201144e-01	4.471600e+00	1.497565e-01	1.076183e+00	0	0
TCGA-44-4112-01A-01R-1107-07	0	1.345669e+00	1.678507e+00	5.080381e-01	0	7.192499e-01	4.087847e+00	3.699491e-01	1.055137e+00	0	0
TCGA-44-5643-01A-01R-1628-07	5.748140e-01	1.879589e+00	1.392142e+00	9.301740e-01	6.240142e-01	1.256585e+00	6.981304e-01	0	0	8.195966e-02	7.437198e-02
TCGA-44-5644-01A-21R-2039-07	0	1.063045e+00	1.107602e+00	9.010153e-01	1.211000e-01	4.802356e+00	1.176354e+00	2.434197e+00	0	2.760400e-03	2.365762e-02
TCGA-44-5645-11A-01R-1628-07	2.405033e-03	6.696977e+00	7.485008e-02	1.036707e+00	0	4.819767e-01	1.228249e+00	0	2.844742e-01	0	0
TCGA-44-5645-01A-01R-1628-07	3.146247e-01	3.426137e+00	1.309087e-01	1.693038e+00	1.844936e-01	1.059968e+00	4.056679e+00	0	1.516721e+00	0	0
TCGA-44-6144-11A-01R-1755-07	0	6.709406e+00	1.477407e-01	1.107637e+00	0	1.965351e-01	1.006200e+00	0	4.173964e-03	0	6.653444e-03
TCGA-44-6145-11A-01R-1858-07	2.383272e-01	6.531125e+00	2.905837e-01	6.863522e-01	5.322757e-04	2.544736e-01	1.418874e+00	0	7.171366e-02	0	0
TCGA-44-6145-01A-11R-1755-07	0	2.434879e+00	1.875936e+00	1.387295e+00	9.435472e-01	6.704578e-01	1.452128e+00	0	0	2.988711e-01	2.477844e-01
TCGA-44-6146-11A-01R-1858-07	0	6.891311e+00	4.555367e-01	7.287649e-01	0	6.182887e-01	9.101897e-01	0	1.012776e-02	0	0
TCGA-44-6146-01A-11R-1755-07	0	3.499519e+00	6.820330e-01	9.234102e-02	1.606882e+00	7.125850e-01	1.920434e+00	0	4.937506e-02	0	0
TCGA-44-6147-11A-01R-1858-07	0	6.587084e+00	8.849242e-01	1.895081e-01	0	4.378559e-01	8.721161e-01	1.609964e-02	0	0	0
TCGA-44-6147-01A-11R-1755-07	9.143896e-01	2.903502e+00	8.061921e-01	1.182473e+00	7.374878e-01	1.519473e+00	3.253778e+00	2.816246e-01	5.795285e-01	0	0
TCGA-44-6148-11A-01R-1858-07	8.287701e-01	6.404244e+00	3.979156e-01	4.348530e-01	4.020992e-01	1.073092e+00	1.058215e+00	1.511524e-02	0	0	0
TCGA-44-6148-01A-11R-1755-07	9.417229e-01	4.661464e+00	3.747931e-01	8.204329e-01	9.108423e-01	1.340219e+00	1.916664e+00	1.612120e-02	3.454929e-01	0	0
TCGA-44-6774-01A-21R-1858-07	0	2.073110e+00	2.246815e+00	1.051122e+00	0	2.787445e+00	2.426426e+00	1.153603e+00	3.162439e-01	0	0
TCGA-44-6775-01A-11R-1858-07	2.324541e-01	1.680549e+00	1.777739e+00	1.174878e+00	6.027247e-01	1.047782e+00	3.752970e+00	0	1.078942e+00	0	0
TCGA-44-6776-11A-01R-1858-07	5.870013e-01	6.913971e+00	0	2.452880e-01	1.248951e-01	6.906701e-01	1.046917e+00	0	6.297912e-02	0	0
TCGA-44-6776-01A-11R-1858-07	6.487025e-02	3.613497e+00	1.117347e-02	7.029159e-01	2.201532e-01	1.439166e+00	2.862040e+00	1.761068e-01	4.024704e-01	0	2.518063e-01
TCGA-44-6777-11A-01R-1858-07	2.366080e-01	6.193428e+00	2.965582e-01	1.198226e+00	7.065390e-02	3.698287e-01	1.757308e+00	0	3.428377e-01	0	0
TCGA-44-6777-01A-11R-1858-07	0	2.389942e+00	1.800135e+00	1.399597e+00	0	5.749753e-01	3.852928e+00	0	1.018672e+00	0	0
TCGA-44-6778-11A-01R-1858-07	7.168546e-02	6.927126e+00	4.838620e-01	8.723325e-01	0	7.450417e-01	3.924156e-01	1.518924e-01	0	0	0
TCGA-44-6778-01A-11R-1858-07	0	4.804477e+00	6.636600e-01	2.245833e+00	0	2.389897e+00	4.884635e-01	5.700843e-01	0	0	8.648425e-02
TCGA-44-6779-01A-11R-1858-07	0	9.887691e-01	3.062764e+00	2.959760e-01	6.025681e-01	0	1.293284e+00	0	0	2.224828e-01	1.092447e-01
TCGA-44-7659-01A-11R-2066-07	6.682795e-01	2.876190e+00	3.752811e-02	9.623607e-01	1.815704e-01	7.880337e-01	4.521619e+00	1.581254e-01	1.154269e+00	2.552600e-02	0
TCGA-44-7660-01A-11R-2066-07	4.488866e-01	1.085465e+00	1.591608e+00	1.228391e+00	8.754545e-01	2.097696e+00	1.263975e+00	0	8.309879e-02	0	3.576186e-01
