sampleID	D9.9_MODULE-381	D9.7_LEIN-OLIGODENDROCYTE-MARKERS	D15.12_KUMAMOTO-RESPONSE-TO-NUTLIN-3A-DN	D9.8_MODULE-293	D13.4_KREPPEL-CD99-TARGETS-DN	D9.5_ARYLSULFATASE-ACTIVITY	D16.3_HISTONE-DEACETYLASE-BINDING	D9.3_chrxq11	D17.10_ORGANELLAR-SMALL-RIBOSOMAL-SUBUNIT	D19.19_GUENTHER-GROWTH-SPHERICAL-VS-ADHERENT-UP	D16.14_GNF2-SPRR1B
TCGA-DB-5280-01A-01R-1470-07	2.154467e-01	5.000667e-01	0	1.148432e-01	1.284864e+00	6.997283e-01	1.133834e+00	7.440960e-01	5.251101e-01	0	4.386615e-01
TCGA-DB-5281-01A-01R-1470-07	9.277764e-01	4.831330e-01	1.885628e-01	6.690085e-01	1.522187e+00	2.434409e-01	1.092462e+00	1.244355e+00	3.847630e-01	0	3.661626e-01
TCGA-DB-A4X9-01A-11R-A26U-07	5.968825e-01	5.316345e-01	1.126706e-01	0	1.227154e+00	1.250170e+00	1.529613e+00	6.476320e-01	3.679352e-01	0	1.415639e-01
TCGA-DB-A4XA-01A-11R-A26U-07	3.444536e-01	8.885881e-01	1.265895e-01	3.296812e-01	7.708717e-01	9.355078e-01	1.292846e+00	2.087685e+00	4.849964e-01	0	3.181299e-01
TCGA-DB-A4XB-01A-11R-A26U-07	7.658223e-01	6.759752e-01	3.353195e-01	8.140927e-02	1.585296e+00	2.723562e-01	1.427939e+00	9.081441e-01	4.343333e-01	0	2.044330e-01
TCGA-DB-A4XC-01A-11R-A26U-07	7.671238e-01	5.477274e-01	1.546004e-01	3.611146e-01	1.422323e+00	7.567262e-01	1.393589e+00	8.578657e-01	4.463403e-01	0	7.066150e-02
TCGA-DB-A4XD-01A-11R-A27Q-07	4.852606e-02	7.483462e-01	9.610540e-03	4.248769e-02	1.317706e+00	5.407269e-01	1.404262e+00	8.129730e-01	4.075401e-01	0	1.400789e-01
TCGA-DB-A4XE-01A-11R-A27Q-07	6.519103e-01	8.423426e-01	3.201620e-01	1.216387e-01	1.540331e+00	7.463035e-01	1.362703e+00	1.102749e+00	3.378833e-01	0	1.421617e-01
TCGA-DB-A4XF-01A-11R-A27Q-07	7.683865e-01	4.724107e-01	4.314295e-02	7.650352e-01	1.592737e+00	4.848288e-01	1.423572e+00	9.577510e-01	2.210393e-01	0	1.983601e-01
TCGA-DB-A4XG-01A-11R-A27Q-07	6.424822e-01	1.861625e-01	1.745368e-01	0	1.233947e+00	6.021657e-01	1.299405e+00	2.457348e+00	5.760878e-01	0	2.779903e-01
TCGA-DB-A4XH-01A-11R-A27Q-07	6.736651e-01	8.706821e-01	3.038195e-02	0	1.019445e+00	1.037113e+00	1.404151e+00	1.758254e+00	5.617094e-01	0	1.681484e-01
TCGA-DB-A64L-01A-11R-A29R-07	9.658964e-01	5.106097e-01	0	4.710146e-01	1.001020e+00	8.423605e-01	1.460916e+00	2.034099e+00	6.928123e-01	0	0
TCGA-DB-A64O-01A-11R-A29R-07	6.635542e-01	9.129527e-01	1.875837e-01	4.387413e-01	3.896156e-01	2.710100e+00	1.331239e+00	7.129854e-01	4.158172e-01	0	4.054237e-02
TCGA-DB-A64P-01A-11R-A29R-07	2.127726e-01	6.718287e-01	1.115928e-01	5.845986e-01	9.269713e-01	5.793831e-01	1.255359e+00	2.169539e+00	6.044420e-01	0	2.174733e-01
TCGA-DB-A64Q-01A-11R-A29R-07	1.901935e-01	6.791156e-01	3.063549e-02	1.188771e-01	1.139773e+00	1.266008e+00	1.454519e+00	2.271950e+00	6.266319e-01	0	4.305690e-02
TCGA-DB-A64R-01A-11R-A29R-07	5.981108e-01	4.772535e-01	8.578183e-02	0	1.528414e+00	6.448365e-01	1.547318e+00	2.272448e+00	5.298826e-01	3.717993e-02	2.046134e-01
TCGA-DB-A64S-01A-11R-A29R-07	3.334441e-02	8.859743e-01	6.624194e-02	7.519230e-01	1.002024e+00	4.368090e-01	1.386089e+00	3.738802e-01	4.971317e-01	0	2.502368e-01
TCGA-DB-A64U-01A-11R-A29R-07	1.486905e-01	1.253499e+00	6.188170e-02	3.991410e-02	1.244519e+00	7.840773e-01	1.506325e+00	1.906225e+00	4.617660e-01	1.902935e-03	2.151552e-01
TCGA-DB-A64V-01A-11R-A29R-07	1.847791e-01	1.301869e+00	5.367868e-02	7.301277e-01	5.505617e-01	9.365419e-01	1.413343e+00	1.665448e+00	4.721216e-01	0	1.489391e-01
TCGA-DB-A64W-01A-11R-A29R-07	1.034728e+00	6.688594e-01	3.943136e-01	0	1.390383e+00	1.966808e-01	1.429158e+00	2.058041e+00	7.203686e-01	6.974446e-03	2.806304e-01
TCGA-DB-A64X-01A-11R-A29R-07	6.441030e-01	3.109363e-01	2.269091e-02	4.273612e-01	6.416836e-01	8.413673e-01	1.588145e+00	6.574377e-01	4.152016e-01	0	3.542241e-01
TCGA-DB-A75K-01A-11R-A32Q-07	2.282651e-01	8.353266e-01	1.429585e-02	8.602732e-01	1.034937e+00	6.563412e-01	1.954065e+00	2.302156e+00	2.940463e-01	0	3.736838e-02
TCGA-DB-A75L-01A-11R-A32Q-07	7.483385e-01	6.758804e-01	1.096765e-01	4.191371e-01	1.299070e+00	4.392117e-01	1.566042e+00	9.939051e-01	4.424253e-01	0	7.759111e-02
TCGA-DB-A75M-01A-11R-A32Q-07	2.230782e-02	8.009148e-01	0	2.591314e-01	7.337957e-01	9.773271e-01	1.541326e+00	4.921928e-01	3.723311e-01	0	4.041773e-01
TCGA-DB-A75O-01A-11R-A32Q-07	2.447384e-01	7.277975e-01	2.863527e-02	5.699528e-01	5.796563e-01	1.321598e+00	1.461445e+00	8.683387e-01	2.840828e-01	0	2.434004e-01
TCGA-DB-A75P-01A-11R-A32Q-07	9.866244e-01	8.411656e-01	4.034140e-02	6.678195e-01	7.683816e-01	2.106464e+00	1.502558e+00	1.267595e+00	2.966557e-01	2.273421e-01	2.586057e-01
TCGA-DH-5140-01A-01R-1470-07	5.495895e-01	4.108787e-01	5.341167e-01	7.296285e-01	1.618205e+00	6.739925e-01	1.317611e+00	1.570563e+00	6.166152e-01	2.698066e-01	1.838253e-01
TCGA-DH-5141-01A-01R-1470-07	1.362181e-02	7.602246e-01	0	5.282035e-01	5.088438e-01	1.036855e+00	9.401646e-01	2.405195e+00	5.553086e-01	0	2.405387e-01
TCGA-DH-5142-01A-01R-1470-07	4.387838e-02	4.357559e-01	2.772895e-01	1.035384e+00	1.308113e+00	2.458214e-01	1.112153e+00	4.933527e-01	5.790487e-01	0	2.879217e-01
TCGA-DH-5143-01A-01R-1470-07	7.933862e-01	5.613861e-01	1.266396e-01	3.555837e-01	1.037954e+00	8.720016e-01	8.364663e-01	8.160118e-01	4.912697e-01	0	2.126319e-01
TCGA-DH-5144-01A-01R-1470-07	1.982308e-01	3.466392e-01	7.635458e-02	2.463477e-01	1.240020e+00	5.895630e-01	1.075009e+00	2.494494e+00	7.572533e-01	2.273835e-02	1.457650e-01
TCGA-DH-A669-01A-12R-A31N-07	0	4.096640e-01	2.970095e-01	1.103531e+00	6.877933e-01	0	1.440598e+00	2.247565e+00	7.971495e-01	0	2.406409e-01
TCGA-DH-A669-02A-11R-A31N-07	6.642670e-02	4.150896e-01	3.659174e-01	1.055371e+00	0	2.418462e-01	1.549033e+00	2.227556e+00	7.817327e-01	0	2.930182e-01
TCGA-DH-A66B-01A-11R-A29R-07	1.533175e-01	4.548641e-02	3.244062e-02	1.285108e+00	1.166581e+00	0	1.471701e+00	5.982117e-01	4.697239e-01	0	3.303711e-01
TCGA-DH-A66D-01A-11R-A31N-07	3.411139e-01	6.050555e-01	1.264657e-01	6.096325e-01	1.676781e+00	3.135516e-01	1.491875e+00	8.217987e-01	2.794807e-01	0	1.505700e-01
TCGA-DH-A66F-01A-11R-A29R-07	4.658128e-04	6.213185e-01	0	1.127091e-01	7.162553e-01	1.375804e+00	1.396246e+00	2.403139e+00	3.607032e-01	0	3.041598e-01
TCGA-DH-A66G-01A-21R-A31N-07	1.074272e+00	3.482116e-01	7.216819e-02	9.625000e-01	1.908561e+00	6.218329e-01	1.425507e+00	1.046276e+00	2.466400e-01	0	2.460906e-01
TCGA-DH-A7UR-01A-11R-A33Z-07	6.516484e-01	5.579961e-01	3.458045e-01	3.503305e-01	8.068971e-01	7.231301e-01	1.589036e+00	2.080286e+00	1.039831e+00	0	2.923250e-01
TCGA-DH-A7US-01A-11R-A33Z-07	9.381151e-02	1.144310e+00	1.147939e-01	0	9.166254e-01	9.491996e-01	1.510823e+00	1.906640e+00	3.795311e-01	0	2.928399e-01
TCGA-DH-A7UT-01A-12R-A34F-07	2.862314e-01	1.243669e+00	1.104657e-01	4.546253e-01	8.864200e-01	8.022403e-01	1.742560e+00	8.555669e-01	1.241513e-01	0	2.442334e-01
TCGA-DH-A7UU-01A-12R-A34F-07	2.987746e-01	8.070238e-01	2.967716e-01	2.425577e-01	1.287459e+00	1.009800e-01	1.479804e+00	4.881029e-01	4.032693e-01	0	2.018316e-01
TCGA-DH-A7UV-01A-12R-A34F-07	4.019802e-02	7.649563e-01	0	1.614229e-01	8.870083e-01	7.395414e-01	1.757092e+00	5.478514e-01	3.507540e-01	0	7.685162e-02
TCGA-DU-5847-01A-11R-1708-07	2.500126e-01	7.272422e-01	5.183271e-01	1.026854e+00	9.803003e-01	2.328199e+00	1.461463e+00	2.443130e-01	6.958084e-01	2.671497e-03	3.658946e-01
TCGA-DU-5849-01A-11R-1708-07	8.630104e-01	9.060026e-01	1.181185e-01	2.523044e-01	1.027508e+00	7.164997e-01	1.212498e+00	1.756514e+00	4.801516e-01	0	2.414312e-01
TCGA-DU-5851-01A-13R-1896-07	1.030491e+00	1.134361e+00	0	2.268850e-01	1.387840e+00	9.198893e-01	1.263370e+00	1.247835e+00	4.791364e-01	3.074791e-02	6.443632e-02
TCGA-DU-5852-01A-11R-1708-07	4.689207e-01	7.189568e-01	5.291180e-01	9.982039e-01	1.278849e+00	1.664508e+00	1.323221e+00	1.051515e+00	5.168925e-01	1.727526e-01	9.805822e-02
TCGA-DU-5853-01A-11R-1896-07	5.193141e-01	7.256870e-01	2.034297e-01	3.469309e-01	1.463178e+00	5.951925e-01	1.083598e+00	7.653336e-01	4.846967e-01	0	1.079598e-01
TCGA-DU-5854-01A-11R-1708-07	0	1.394416e+00	2.036597e-01	9.898409e-01	1.104809e+00	2.118653e+00	1.494113e+00	9.071232e-01	5.060729e-01	1.630390e-01	1.437266e-01
TCGA-DU-5855-01A-11R-1708-07	4.442927e-01	4.034936e-01	0	9.821520e-01	1.289880e+00	3.405377e-01	1.465734e+00	9.195277e-01	4.202979e-01	4.361024e-02	6.745669e-02
TCGA-DU-5870-01A-11R-1708-07	1.079898e-01	6.911547e-01	0	3.458780e-01	1.385531e+00	1.232589e+00	1.109492e+00	2.441679e+00	5.489188e-01	3.705782e-02	1.757937e-01
TCGA-DU-5870-02A-12R-A36H-07	1.693921e-01	4.701442e-01	6.885285e-02	4.709303e-01	9.428451e-01	4.038560e-01	1.578593e+00	2.892887e+00	5.187739e-01	5.278860e-02	2.312180e-01
TCGA-DU-5871-01A-12R-1708-07	5.251530e-01	3.168456e-01	0	5.452936e-01	1.278867e+00	7.411498e-01	1.269684e+00	7.783506e-01	3.671492e-01	1.514108e-02	1.804547e-01
TCGA-DU-5872-01A-11R-1708-07	2.240529e-01	5.980947e-01	0	9.085584e-01	9.755073e-01	5.679841e-01	1.183079e+00	1.052469e+00	6.269292e-01	0	2.047961e-01
TCGA-DU-5872-02A-21R-A36H-07	0	1.282862e+00	1.560526e-02	1.829586e+00	7.818463e-01	1.168465e+00	1.561559e+00	7.205040e-01	1.062937e+00	8.253949e-02	3.620487e-01
TCGA-DU-5874-01A-11R-1708-07	3.970948e-01	2.294822e-01	2.578563e-01	3.711897e-01	1.299058e+00	2.765705e-01	1.359229e+00	2.785337e+00	8.829269e-01	0	3.237343e-01
TCGA-DU-6392-01A-11R-1708-07	5.065958e-01	9.167909e-01	4.645652e-01	1.237840e+00	1.516598e+00	1.487246e-01	1.126419e+00	1.801176e+00	7.955427e-01	3.636456e-01	1.326559e-01
TCGA-DU-6393-01A-11R-1708-07	2.642689e-01	4.511848e-01	2.091061e-01	1.777762e-01	1.141875e+00	3.240378e-01	1.456680e+00	2.883179e+00	5.097141e-01	0	2.158796e-01
TCGA-DU-6394-01A-11R-1708-07	1.355269e-01	0	0	9.208388e-01	1.382338e+00	3.620847e-01	1.367854e+00	2.953124e+00	5.004429e-01	0	3.489222e-01
TCGA-DU-6395-01A-13R-1708-07	2.279848e-01	7.825032e-01	1.399108e-01	3.985605e-01	8.929250e-01	4.666285e-01	1.199368e+00	6.696956e-01	4.378688e-01	0	2.741579e-01
TCGA-DU-6396-01A-11R-1708-07	0	6.973239e-01	0	1.351075e+00	1.840957e+00	0	1.365159e+00	7.309303e-01	6.731705e-01	1.119367e-01	0
TCGA-DU-6397-01A-11R-1708-07	1.527586e-01	6.340136e-01	0	3.594472e-01	9.707042e-01	9.457212e-01	1.123072e+00	2.727155e+00	4.875666e-01	3.033009e-02	2.317384e-01
TCGA-DU-6397-02A-12R-A36H-07	1.942574e-01	3.710964e-01	2.724500e-01	8.662882e-01	8.223922e-01	0	1.379513e+00	2.810843e+00	1.123110e+00	2.443677e-01	3.202945e-01
TCGA-DU-6399-01A-12R-1708-07	1.610255e-01	5.949396e-01	2.030033e-01	5.003419e-01	1.287251e+00	3.594502e-01	9.738748e-01	1.041205e+00	6.782568e-01	0	1.787987e-01
TCGA-DU-6400-01A-12R-1708-07	6.678824e-01	4.003877e-01	6.690915e-02	4.193156e-01	1.205102e+00	3.836359e-01	1.369879e+00	2.571491e+00	4.927514e-01	6.483121e-02	9.833843e-02
TCGA-DU-6401-01A-11R-1708-07	1.428010e-01	2.236307e-01	0	7.311757e-01	1.133499e+00	4.458604e-01	1.222365e+00	7.014129e-01	6.401132e-01	0	2.350416e-01
TCGA-DU-6402-01A-11R-1708-07	2.446756e-02	4.272731e-01	4.173983e-01	1.705649e+00	8.357972e-01	2.356761e+00	1.471266e+00	7.382952e-01	1.229622e+00	5.612650e-02	1.904796e-01
TCGA-DU-6403-01A-11R-1708-07	5.255159e-01	1.279625e+00	5.628366e-01	6.913458e-01	1.542059e+00	8.314183e-01	1.292211e+00	1.313166e+00	3.311481e-01	2.229992e-01	0
TCGA-DU-6404-01A-11R-1708-07	4.950397e-01	2.006089e-01	5.070885e-01	7.951460e-01	1.138998e+00	1.682487e+00	1.393549e+00	6.813844e-01	8.132780e-01	4.582708e-02	1.401942e+00
TCGA-DU-6404-02B-11R-A36H-07	3.635513e-01	0	7.908550e-01	8.004694e-01	9.587087e-01	2.737751e-01	1.788524e+00	1.026734e-01	2.766165e+00	4.376954e-02	3.049023e+00
TCGA-DU-6405-01A-11R-1708-07	1.397406e-01	5.678861e-01	4.922678e-01	9.183947e-01	1.304478e+00	2.202341e+00	1.485000e+00	5.313447e-01	2.230355e-01	3.096840e-02	2.162443e-01
TCGA-DU-6406-01A-11R-1708-07	2.103865e-01	2.784449e-01	6.920370e-01	1.050149e+00	1.503295e+00	1.854571e+00	1.671182e+00	7.978100e-01	5.392512e-01	1.190642e-01	2.576554e-02
TCGA-DU-6407-01A-13R-1708-07	9.612854e-02	6.752507e-01	1.481362e-01	3.743466e-01	1.198601e+00	6.296731e-01	1.027121e+00	7.881787e-01	5.412616e-01	0	2.874310e-01
TCGA-DU-6407-02B-11R-A36H-07	0	1.091325e+00	6.506174e-01	1.124856e+00	1.617227e+00	0	1.606742e+00	7.915819e-01	9.496762e-01	6.732897e-02	2.339736e-01
TCGA-DU-6408-01A-11R-1708-07	6.562149e-01	4.512244e-01	2.199384e-01	5.356397e-01	1.481484e+00	6.592308e-01	1.240753e+00	7.481336e-01	4.571087e-01	0	2.433203e-01
TCGA-DU-6410-01A-11R-1896-07	6.117387e-01	1.288640e-01	3.105512e-01	1.801638e-02	1.200966e+00	0	1.147957e+00	2.771575e+00	1.026777e+00	0	2.320003e-01
TCGA-DU-6542-01A-11R-1896-07	5.151460e-01	7.787389e-01	1.629210e-01	7.968063e-01	1.636493e+00	0	1.248327e+00	1.217434e+00	3.761929e-01	1.010240e-01	1.310448e-01
TCGA-DU-7006-01A-11R-2027-07	0	6.438466e-01	2.623446e-01	1.607969e+00	1.511800e+00	1.574823e+00	1.368392e+00	1.005694e+00	1.055238e+00	3.478279e-01	1.466189e-01
TCGA-DU-7007-01A-11R-2027-07	0	4.589497e-01	1.194037e-01	1.653635e+00	1.305060e+00	3.527814e-01	1.312591e+00	2.535144e-01	1.038122e+00	0	6.948572e-01
