sampleID	D7.6_SENGUPTA-NASOPHARYNGEAL-CARCINOMA-DN	D12.5_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D7.3_HAEGERSTRAND-RESPONSE-TO-IMATINIB	D15.14_CORNIFIED-ENVELOPE	D12.9_WEBER-METHYLATED-ICP-IN-SPERM-UP	D12.4_GNF2-GLTSCR2	D14.13_ZHOU-PANCREATIC-EXOCRINE-PROGENITOR	D11.10_SCHLESINGER-METHYLATED-IN-COLON-CANCER	D15.12_chryq11	D12.1_MIPS-UTX-MLL2-3-COMPLEX	D12.2_KUMAMOTO-RESPONSE-TO-NUTLIN-3A-DN
TCGA-DI-A2QY-11A-11R-A19W-07	1.464923e+00	5.918978e-01	2.014078e+00	0	1.580558e+00	1.141295e+00	2.405950e-01	2.437875e-01	0	3.075225e+00	7.608911e-01
TCGA-DI-A2QY-01A-12R-A19W-07	7.208461e-01	2.089235e-01	1.264969e+00	0	1.292006e+00	1.425318e+00	0	8.094938e-01	4.906563e-01	2.928547e+00	5.251596e-01
TCGA-E6-A2P8-01A-11R-A19W-07	0	1.811317e+00	2.071838e+00	5.844238e-01	0	8.630469e-01	8.458712e-02	0	1.073085e-01	2.073578e+00	2.898183e+00
TCGA-E6-A2P9-01A-11R-A19W-07	1.156419e+00	9.476569e-01	9.498734e-01	0	0	1.824280e-01	5.593159e-01	5.763179e-01	0	3.072718e+00	2.326708e+00
TCGA-E6-A8L9-01A-21R-A37O-07	4.200212e-01	1.214317e+00	1.928419e+00	1.659446e-01	9.077491e-01	3.790483e-01	0	1.566637e-01	5.114982e-02	1.817721e+00	1.508483e+00
TCGA-EO-A1Y7-01A-11R-A157-07	1.495738e+00	9.697171e-01	4.161833e-01	0	0	1.028355e+00	0	4.592478e-01	3.495958e-01	2.403249e+00	2.247517e+00
TCGA-EO-A22U-01A-11R-A180-07	1.766074e-01	1.148025e+00	1.181126e+00	1.012057e+00	0	8.876665e-01	1.986008e-01	6.132504e-01	0	2.665656e+00	2.773238e+00
TCGA-EO-A22X-01A-11R-A180-07	0	1.669440e+00	1.853158e+00	7.284469e-01	0	4.678703e-01	0	3.476295e-01	0	1.949162e+00	2.810881e+00
TCGA-EO-A22Y-01A-11R-A180-07	1.418035e+00	4.068678e-01	1.720936e+00	0	0	6.167011e-01	0	4.535205e-01	0	3.403141e+00	1.111744e+00
TCGA-EO-A3AS-01A-11R-A19W-07	2.292827e-01	8.905177e-01	1.365946e+00	5.669279e-02	2.160484e-01	9.420793e-01	2.373600e-01	2.697562e-01	2.108157e-01	3.747379e+00	7.154347e-01
TCGA-EO-A3AU-01A-21R-A19W-07	0	1.405392e+00	1.493719e+00	1.368746e+00	0	7.660496e-01	5.317755e-01	5.682462e-02	0	2.694256e+00	2.313172e+00
TCGA-EO-A3AV-01A-12R-A19W-07	0	2.224923e+00	7.007007e-01	7.398317e-02	0	1.808901e+00	5.735941e-01	0	1.227600e+00	1.465282e+00	2.509377e+00
TCGA-EO-A3AY-01A-12R-A19W-07	4.238604e-01	1.115196e+00	3.607852e-01	5.584639e-03	1.399970e-01	2.640699e+00	9.477236e-03	0	1.693084e-01	1.807395e+00	2.082637e+00
TCGA-EO-A3AZ-01A-12R-A19W-07	0	1.736674e+00	1.546753e+00	4.751957e-02	4.053498e-01	2.769447e+00	1.703293e-01	0	7.112216e-01	0	2.486058e+00
TCGA-EO-A3B0-01A-12R-A19W-07	6.386117e-01	1.929983e+00	1.686655e+00	1.920060e-01	3.296293e-01	1.588995e-01	3.452967e-01	9.275316e-01	0	1.569557e+00	2.528137e+00
TCGA-EO-A3B1-01A-12R-A19W-07	0	1.106674e+00	1.361350e+00	0	9.860430e-01	1.512499e+00	0	1.738891e-01	2.651059e-01	3.714857e+00	9.926701e-01
TCGA-EO-A3KU-01A-11R-A22K-07	1.360070e-01	1.074710e+00	9.810191e-01	3.003607e-01	1.296919e+00	8.963585e-01	0	2.508823e-03	6.866541e-01	2.883743e+00	1.585547e+00
TCGA-EO-A3KW-01A-11R-A22K-07	4.015326e-01	1.328197e+00	4.897420e-01	0	1.463437e+00	1.316534e+00	1.249718e-01	0	0	3.426337e+00	1.604769e+00
TCGA-EO-A3KX-01A-11R-A22K-07	7.138055e-01	6.421854e-01	1.062696e+00	4.599813e-01	0	7.330982e-01	1.517336e-01	7.981751e-01	0	3.129502e+00	1.786921e+00
TCGA-EO-A3L0-01A-11R-A22K-07	9.971239e-01	7.148470e-01	1.261910e+00	0	0	1.016009e+00	0	3.827151e-01	8.901230e-02	3.207023e+00	1.330427e+00
TCGA-EY-A1GL-01A-11R-A13S-07	0	3.789887e-01	1.798598e+00	2.162123e+00	0	1.779581e+00	0	1.401471e-01	1.290900e-01	3.232073e+00	1.888628e+00
TCGA-EY-A1GO-01A-11R-A14D-07	0	5.523661e-01	1.257517e+00	6.160650e-02	4.701321e-01	2.082706e-01	6.323492e-01	0	3.179904e-01	8.947676e-01	3.362964e+00
TCGA-EY-A1GP-01A-11R-A13S-07	1.589006e-02	1.400038e+00	2.222857e+00	9.753617e-01	2.465742e-01	1.547184e-01	4.286886e-02	4.020743e-01	2.349393e-01	1.615208e+00	1.527511e+00
TCGA-EY-A1GX-01A-12R-A13S-07	1.157810e+00	0	4.442299e-01	0	0	1.176923e+00	1.767489e-01	0	0	3.749549e+00	3.075894e+00
TCGA-EY-A210-01A-11R-A157-07	0	1.230506e+00	1.183615e+00	0	8.120135e-01	1.323894e+00	0	0	8.251912e-02	2.223346e+00	1.422345e+00
TCGA-EY-A2ON-01A-21R-A18M-07	0	7.505580e-01	3.598301e-01	0	5.566168e-01	1.879142e+00	0	0	2.192392e+00	3.407890e+00	1.389211e+00
TCGA-EY-A2OO-01A-11R-A19W-07	3.032780e-01	1.428665e-01	1.387147e+00	2.328216e-01	4.644070e-01	7.610114e-01	4.322808e-01	0	4.213957e-01	2.532718e+00	1.674659e+00
TCGA-EY-A2OP-01A-11R-A19W-07	0	7.665812e-01	8.489694e-01	9.571811e-01	0	1.162205e+00	8.992557e-02	8.181061e-02	0	3.269777e+00	2.456597e+00
TCGA-EY-A2OQ-01A-11R-A19W-07	2.710508e-01	6.209296e-01	1.177906e+00	5.708523e-02	1.131633e+00	8.687128e-01	0	1.614016e-01	0	3.610147e+00	1.536255e+00
TCGA-EY-A3L3-01A-11R-A22K-07	0	5.856769e-01	1.202051e+00	0	1.288143e+00	5.435241e-02	1.216336e-01	8.886385e-02	0	2.627125e+00	2.439113e+00
TCGA-EY-A3QX-01A-11R-A22K-07	1.592295e-01	1.759691e+00	7.098302e-01	0	6.261510e-01	2.527987e-01	8.704632e-01	0	1.459338e-01	1.746976e+00	2.748333e+00
TCGA-EY-A4KR-01A-11R-A27V-07	0	1.747566e+00	9.013152e-01	2.022068e-01	1.260939e+00	1.469389e+00	0	0	7.630933e-01	3.215809e+00	1.329476e+00
TCGA-EY-A547-01A-11R-A27V-07	8.919471e-01	9.160902e-02	8.391882e-01	0	0	1.900671e+00	0	8.106477e-01	0	1.814691e+00	1.958828e+00
TCGA-EY-A548-01A-11R-A27V-07	1.362992e+00	1.260007e+00	1.326571e+00	0	0	9.543031e-01	0	1.322095e+00	0	3.418020e+00	6.316329e-01
TCGA-EY-A549-01A-11R-A27V-07	1.487438e+00	8.399271e-01	9.073670e-01	2.481675e-01	0	8.653434e-01	2.459861e-01	8.288395e-01	1.475734e-01	3.683538e+00	8.096992e-01
TCGA-EY-A54A-01A-11R-A27V-07	2.230962e-01	1.496594e+00	1.348677e+00	1.543726e-01	1.015626e+00	7.299370e-01	1.250247e-01	1.760854e-01	8.030533e-01	2.795705e+00	1.449541e+00
TCGA-EY-A5W2-01A-11R-A31O-07	5.281756e-01	1.092663e+00	8.443684e-01	0	2.857235e-04	1.288314e+00	1.058501e+00	5.718876e-01	0	1.243623e+00	2.972138e+00
TCGA-EY-A72D-01A-12R-A34R-07	0	2.997884e-01	1.204457e+00	4.442380e-01	0	9.442618e-01	3.217755e-02	1.254463e-01	3.308239e-01	3.375264e+00	2.051241e+00
TCGA-FI-A2EY-01A-12R-A18M-07	0	0	4.541648e-01	0	4.314442e-01	2.386700e+00	1.340652e-01	1.651969e-01	2.520095e+00	1.800163e+00	2.091248e+00
TCGA-FI-A3PV-01A-11R-A22K-07	8.196273e-01	1.871282e-01	6.792259e-01	0	1.137229e+00	1.401152e+00	6.577957e-02	6.011345e-01	8.848470e-01	3.446523e+00	1.176872e+00
TCGA-FI-A3PX-01A-11R-A22K-07	0	6.751888e-01	6.818513e-01	0	1.223834e+00	1.068849e+00	0	0	5.050994e-01	3.661793e+00	1.944947e+00
TCGA-FL-A1YF-11A-12R-A16F-07	5.309685e-01	1.279427e+00	3.898330e+00	3.278062e-02	0	9.724879e-01	0	9.500449e-01	7.536717e-01	3.012092e+00	0
TCGA-FL-A1YG-11A-12R-A16F-07	5.820133e-01	6.165807e-01	5.131233e+00	0	0	5.992967e-01	0	7.723759e-01	0	3.694730e+00	3.500912e-01
TCGA-FL-A1YH-11A-11R-A16F-07	8.321723e-01	8.059997e-01	3.579283e+00	0	0	1.438442e+00	0	1.156149e+00	1.205390e+00	2.805900e+00	0
TCGA-FL-A1YI-11A-11R-A16F-07	5.932980e-01	9.069267e-01	3.907776e+00	1.007539e-01	0	9.668211e-01	9.411109e-02	9.413909e-01	7.689748e-01	3.256394e+00	0
TCGA-FL-A1YL-11A-11R-A16F-07	7.790367e-01	6.538957e-01	4.237283e+00	0	6.148890e-01	4.668177e-01	1.521509e-01	1.157889e+00	0	3.632966e+00	0
TCGA-FL-A1YN-11A-11R-A32Y-07	1.129058e+00	7.019224e-01	3.965951e+00	0	4.115822e-01	6.647399e-01	1.545020e-01	9.878240e-01	7.440750e-02	3.589998e+00	0
TCGA-FL-A1YQ-11A-11R-A32Y-07	1.293337e+00	1.085418e+00	3.665926e+00	0	1.628227e-01	4.282079e-01	0	1.425988e+00	0	3.066395e+00	0
TCGA-FL-A1YT-11A-12R-A32Y-07	8.404034e-01	8.032648e-01	4.364949e+00	0	4.949792e-01	5.144666e-01	1.385595e-02	1.131937e+00	0	3.464631e+00	0
TCGA-FL-A1YU-11A-11R-A32Y-07	1.233214e+00	9.158108e-01	3.147128e+00	0	2.210292e-01	4.236856e-01	0	1.427301e+00	1.244475e-01	2.974819e+00	3.515964e-01
TCGA-FL-A1YV-11A-12R-A32Y-07	8.838572e-01	6.048812e-01	3.930064e+00	0	8.583360e-01	6.174085e-01	1.998608e-01	1.113199e+00	0	3.496673e+00	8.086210e-02
TCGA-FL-A3WE-11A-11R-A22K-07	1.038685e+00	8.979074e-01	3.832621e+00	0	1.219849e-01	4.537616e-01	0	1.519509e+00	1.433528e-01	3.322858e+00	0
TCGA-H5-A2HR-01A-11R-A180-07	2.760735e-01	8.323961e-01	3.065467e-01	0	2.097153e+00	2.484407e+00	0	9.732894e-02	0	1.698169e+00	2.530428e+00
TCGA-JU-AAVI-01A-11R-A40A-07	0	1.819588e+00	1.275130e+00	4.261803e-01	1.716637e-01	2.019803e+00	0	0	1.454919e+00	1.924520e+00	1.945293e+00
TCGA-K6-A3WQ-01A-11R-A22K-07	7.245369e-02	6.584588e-01	1.189764e+00	0	1.317955e+00	1.171717e+00	0	2.382072e-01	3.580557e-01	3.211562e+00	7.869981e-01
TCGA-KJ-A3U4-01A-11R-A22K-07	3.750351e-01	1.498465e+00	6.774388e-01	2.140854e-01	1.402545e+00	1.106615e+00	0	0	2.885202e-01	3.659779e+00	1.459328e+00
TCGA-KP-A3VZ-01A-11R-A22K-07	8.581417e-02	5.841885e-01	9.089664e-01	4.196850e-01	2.457851e+00	9.413316e-01	0	0	0	3.024096e+00	2.414143e+00
TCGA-KP-A3W0-01A-21R-A22K-07	0	7.735994e-01	1.697442e+00	1.220788e-01	9.855709e-01	1.547132e+00	0	2.152005e-01	3.014373e-01	4.098887e+00	6.394615e-01
TCGA-KP-A3W1-01A-11R-A22K-07	0	1.694046e+00	9.240517e-01	0	0	2.080474e+00	0	0	2.595670e+00	2.693901e+00	1.270222e+00
TCGA-KP-A3W3-01A-11R-A22K-07	3.961692e-01	1.035824e+00	1.208841e+00	0	8.250721e-01	1.208205e+00	0	4.168190e-01	5.166536e-02	3.389005e+00	5.469942e-01
TCGA-KP-A3W4-01A-11R-A22K-07	5.977969e-01	1.231275e+00	1.843511e+00	0	9.314889e-01	4.543121e-01	0	2.170149e-01	2.389091e-01	3.073599e+00	6.643312e-01
TCGA-PG-A5BC-01A-12R-A27V-07	6.197566e-01	7.014778e-01	1.804229e+00	4.202041e-02	1.129748e+00	6.532255e-01	0	5.103702e-01	4.867523e-01	3.226895e+00	9.246776e-01
TCGA-PG-A6IB-01A-21R-A31O-07	0	2.220409e+00	1.708974e+00	0	0	1.233759e+00	0	1.329705e-01	0	6.895642e-01	3.056521e+00
TCGA-PG-A7D5-01A-11R-A34R-07	6.808374e-01	7.088622e-01	1.304440e+00	2.283474e-01	1.864407e+00	7.420555e-01	0	0	0	2.414203e+00	1.649211e+00
TCGA-PG-A914-01A-11R-A37O-07	1.657914e-02	8.430978e-01	5.916509e-01	0	1.821635e+00	1.812972e+00	0	0	2.811410e-01	4.195811e+00	1.228937e+00
TCGA-PG-A915-01A-11R-A37O-07	0	5.588071e-01	7.316323e-01	0	1.695563e+00	1.181580e+00	0	7.553074e-02	0	3.896023e+00	1.605193e+00
TCGA-PG-A916-01A-11R-A37O-07	1.834614e+00	9.528450e-01	1.051414e+00	0	0	7.970617e-01	0	4.541185e-01	0	3.447348e+00	1.177754e+00
TCGA-PG-A917-01A-31R-A37O-07	8.167063e-01	1.877332e+00	1.835321e+00	0	0	5.186572e-01	0	1.205732e+00	0	2.944640e+00	5.973831e-01
TCGA-QF-A5YS-01A-11R-A31O-07	1.096225e+00	9.101584e-01	6.963820e-01	2.273144e-01	7.126629e-01	1.492391e+00	7.544423e-02	7.746519e-01	0	2.921310e+00	7.464714e-01
TCGA-QF-A5YT-01A-11R-A31O-07	7.714860e-01	7.349124e-01	1.349883e+00	1.128580e+00	0	9.431755e-01	0	6.188868e-01	0	1.728134e+00	2.114735e+00
TCGA-QS-A5YQ-01A-11R-A31O-07	1.863924e+00	1.377894e+00	1.097336e+00	0	2.438905e-01	1.083117e+00	0	1.292276e+00	0	2.157971e+00	5.817982e-01
TCGA-QS-A5YR-01A-31R-A31O-07	1.576098e+00	1.133659e+00	9.360289e-01	0	0	1.505112e+00	1.976404e-01	5.392458e-01	3.997391e-01	1.915046e+00	1.403359e+00
TCGA-QS-A744-01A-11R-A34R-07	0	2.772302e-02	1.449859e+00	1.046123e+00	6.064914e-02	7.945939e-01	0	2.163254e-01	0	3.552815e+00	1.881367e+00
TCGA-QS-A8F1-01A-21R-A37O-07	2.577555e-01	0	1.334517e+00	0	1.567369e+00	2.749707e+00	0	4.362442e-01	2.979457e-01	1.621813e+00	1.079296e+00
TCGA-SJ-A6ZI-01A-12R-A34R-07	7.751940e-01	1.458486e+00	9.290221e-01	5.225799e-03	1.055449e-01	9.646243e-01	4.614319e-01	1.822656e-01	2.389777e-01	3.175779e+00	1.479989e+00
TCGA-SJ-A6ZJ-01A-12R-A34R-07	1.753385e+00	9.301104e-01	1.897179e+00	1.187031e-01	1.266412e-01	8.923850e-01	0	1.200550e+00	0	2.113993e+00	7.861871e-01
TCGA-SL-A6J9-01A-11R-A31O-07	6.597149e-02	1.693778e+00	2.881051e-01	0	1.378813e+00	2.148121e+00	0	0	0	2.389030e+00	2.164822e+00
TCGA-SL-A6JA-01A-11R-A31O-07	3.279104e-01	1.944232e-01	6.088672e-01	5.388076e-01	0	1.355991e+00	1.120946e+00	5.084483e-01	0	2.261534e+00	3.001218e+00
