sampleID	D7.6_SENGUPTA-NASOPHARYNGEAL-CARCINOMA-DN	D12.5_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D7.3_HAEGERSTRAND-RESPONSE-TO-IMATINIB	D15.14_CORNIFIED-ENVELOPE	D12.9_WEBER-METHYLATED-ICP-IN-SPERM-UP	D12.4_GNF2-GLTSCR2	D14.13_ZHOU-PANCREATIC-EXOCRINE-PROGENITOR	D11.10_SCHLESINGER-METHYLATED-IN-COLON-CANCER	D15.12_chryq11	D12.1_MIPS-UTX-MLL2-3-COMPLEX	D12.2_KUMAMOTO-RESPONSE-TO-NUTLIN-3A-DN
TCGA-AJ-A3IA-01A-11R-A213-07	0	1.291725e+00	1.972294e+00	0	2.491358e-01	6.781611e-01	0	6.034323e-02	9.381381e-01	2.908596e+00	1.255971e+00
TCGA-AJ-A3NC-11A-11R-A22K-07	3.535964e-01	9.240145e-01	5.268115e+00	0	0	6.892974e-01	0	2.527870e-01	0	4.088559e+00	1.966078e-01
TCGA-AJ-A3NC-01A-11R-A22K-07	1.061012e+00	1.097109e+00	1.221833e+00	7.374781e-01	7.070599e-02	3.166932e-01	4.108242e-01	7.753705e-01	1.033571e-01	2.936450e+00	1.247097e+00
TCGA-AJ-A3NE-11A-11R-A22K-07	5.499026e-01	9.746134e-01	3.922509e+00	1.443560e-01	0	8.059843e-01	7.388379e-02	6.769061e-01	5.939560e-01	3.959631e+00	0
TCGA-AJ-A3NE-01A-11R-A22K-07	0	1.293504e+00	8.980023e-01	1.407964e+00	0	1.280705e+00	2.934836e-01	1.242413e-01	1.462502e-01	3.340285e+00	1.901514e+00
TCGA-AJ-A3NF-01A-11R-A22K-07	1.862379e-01	1.313866e+00	2.470681e+00	5.655776e-02	1.356126e+00	7.955083e-01	0	2.820851e-01	2.134873e-01	3.206755e+00	8.399736e-01
TCGA-AJ-A3NG-01A-11R-A22K-07	7.476876e-01	6.233716e-01	1.703862e+00	4.279540e-01	1.645098e-01	1.591343e-01	0	2.538562e-02	0	3.058602e+00	2.089501e+00
TCGA-AJ-A3NH-11A-11R-A22K-07	1.427210e+00	4.467219e-01	2.754925e+00	0	1.477765e+00	6.098120e-01	2.554189e-01	3.215033e-01	0	3.132129e+00	8.353069e-01
TCGA-AJ-A3NH-01A-11R-A22K-07	3.900482e-01	3.871838e-01	1.296652e+00	0	9.621515e-01	5.062933e-01	0	5.641934e-02	0	3.041444e+00	1.379656e+00
TCGA-AJ-A3OJ-01A-11R-A22K-07	2.826659e-01	1.049948e+00	9.230059e-01	0	0	1.323546e+00	5.892974e-01	9.535041e-02	4.260017e-01	2.853486e+00	2.105560e+00
TCGA-AJ-A3OK-01A-12R-A22K-07	1.938008e+00	1.375097e+00	2.650708e+00	0	7.584692e-02	4.560110e-01	1.900819e-01	8.966976e-01	2.680334e-01	2.222391e+00	5.375477e-01
TCGA-AJ-A3OL-01A-11R-A22K-07	5.041766e-01	0	1.256324e+00	4.746094e-01	0	6.046371e-01	7.594346e-02	7.113966e-02	1.052494e-01	3.366397e+00	2.150464e+00
TCGA-AJ-A3QS-01A-11R-A22K-07	1.823751e-01	1.425305e+00	9.483399e-01	0	9.440748e-01	9.258570e-01	6.875479e-02	2.338386e-01	9.406316e-01	3.199218e+00	1.394598e+00
TCGA-AJ-A3TW-01A-11R-A22K-07	0	1.561971e+00	3.271932e-01	0	8.720536e-01	1.893005e+00	0	0	4.081622e-01	3.145268e+00	2.371520e+00
TCGA-AJ-A5DV-01A-11R-A27V-07	1.445750e+00	1.201461e+00	4.968436e-01	2.811942e-01	0	8.559152e-01	2.755827e-01	4.749375e-01	3.604600e-01	3.468272e+00	1.341085e+00
