sampleID	D8.8_GNF2-SPRR1B	D7.4_MILICIC-FAMILIAL-ADENOMATOUS-POLYPOSIS-DN	D7.2_REACTOME-ENDOSOMAL-VACUOLAR-PATHWAY	D13.8_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D13.4_SINGH-NFE2L2-TARGETS	D14.13_WEBER-METHYLATED-ICP-IN-SPERM-DN	D13.11_GNF2-SPINK1	D13.3_MIPS-40S-RIBOSOMAL-SUBUNIT-CYTOPLASMIC	D10.2_REACTOME-BETA-DEFENSINS
TCGA-IG-A97H-01A-11R-A38D-31	1.139054e-01	6.179597e-01	4.897353e-01	7.648389e-01	9.004705e-01	0	4.752777e-02	1.575512e+00	4.432325e+00
TCGA-IG-A97I-01A-11R-A38D-31	3.033839e-01	1.181013e+00	5.932736e-01	5.423732e-01	1.480501e+00	0	0	9.318537e-01	3.292722e+00
TCGA-JY-A6F8-01A-11R-A336-31	0	0	3.122349e+00	0	1.665988e-01	0	1.250248e+00	3.229610e+00	0
TCGA-JY-A6FA-01A-11R-A336-31	7.570955e-01	4.313870e-01	3.367692e-01	1.334034e-01	2.395964e+00	1.047343e-01	0	1.727089e+00	1.373920e+00
TCGA-JY-A6FB-01A-11R-A336-31	0	6.257440e-01	3.916394e+00	1.487595e-01	2.935952e-01	0	9.236914e-01	2.212193e+00	0
TCGA-JY-A6FD-01A-11R-A336-31	1.118070e+00	5.979954e-01	7.354977e-01	8.328573e-01	1.641359e-01	3.216320e-01	0	1.665694e+00	3.337787e+00
TCGA-JY-A6FE-01A-11R-A336-31	0	1.471864e+00	2.788783e-01	1.100209e+00	2.034885e-01	0	0	2.929204e+00	1.744105e+00
TCGA-JY-A6FG-01A-11R-A336-31	1.271239e+00	9.971283e-02	0	0	9.055648e-02	0	2.053652e-02	2.674047e+00	4.229625e+00
TCGA-JY-A6FH-01A-11R-A336-31	5.213661e-01	4.930697e-01	3.916502e+00	1.705950e-01	3.860937e-01	7.333052e-02	3.251052e-01	1.771932e+00	0
TCGA-JY-A938-01A-11R-A37I-31	3.696728e-01	1.535144e+00	4.346720e+00	1.431775e+00	3.887843e-01	0	0	1.233663e+00	1.695239e-01
TCGA-JY-A939-01A-12R-A37I-31	0	2.203694e+00	2.816134e+00	1.484486e+00	2.118670e-01	8.934587e-02	1.941583e+00	1.721922e+00	0
TCGA-JY-A93C-01A-11R-A38D-31	1.631651e-01	1.278857e+00	4.674623e+00	6.140604e-01	9.264680e-01	2.170791e-02	1.889211e-01	1.478610e+00	2.017421e-01
TCGA-JY-A93D-01A-11R-A38D-31	0	2.755499e+00	3.418134e+00	1.399484e+00	3.986223e-01	1.030450e-01	7.866705e-01	1.007405e+00	0
TCGA-JY-A93E-01A-11R-A37I-31	5.007858e-03	2.248484e+00	3.781110e+00	1.575590e+00	4.304607e-01	0	6.855377e-01	9.905504e-01	0
TCGA-JY-A93F-01A-21R-A37I-31	1.038762e+00	0	0	0	0	1.769230e-01	0	2.543956e+00	4.456688e+00
TCGA-KH-A6WC-01A-11R-A336-31	1.961648e+00	1.003208e+00	0	1.994248e-01	1.012989e+00	0	0	2.334951e+00	1.018558e+00
TCGA-L5-A43C-11A-11R-A24K-31	0	2.111179e+00	2.784692e-02	3.188973e-01	1.677235e-01	0	3.159825e+00	2.852447e+00	0
TCGA-L5-A43C-01A-11R-A24K-31	0	2.058463e+00	4.306227e+00	1.427189e+00	1.746277e-01	0	3.255007e-01	1.353601e+00	9.876600e-01
TCGA-L5-A43E-01A-11R-A24K-31	0	4.567354e-01	4.685008e+00	5.938664e-01	4.525843e-01	0	6.756521e-01	1.970374e+00	0
TCGA-L5-A43H-01A-11R-A24K-31	3.864169e-01	1.460853e+00	9.863731e-01	8.978637e-01	2.372064e+00	0	1.132337e-01	7.956809e-01	1.907852e+00
TCGA-L5-A43I-01A-11R-A24K-31	0	4.962177e-01	4.049438e+00	3.643437e-01	4.473957e-01	3.981774e-01	1.031623e+00	1.809353e+00	0
TCGA-L5-A43J-01A-12R-A24K-31	0	1.279153e+00	4.702069e-01	2.891278e-01	8.171524e-01	0	7.799791e-02	1.274635e+00	3.356053e+00
TCGA-L5-A43M-01A-11R-A24K-31	0	1.582222e+00	2.821326e+00	1.047982e+00	5.433187e-01	9.097802e-03	1.939387e+00	1.222548e+00	1.005989e-01
TCGA-L5-A4OE-01A-11R-A260-31	1.142750e+00	6.708232e-01	3.914996e+00	8.362949e-01	3.089692e-01	0	0	1.463917e+00	1.828923e+00
TCGA-L5-A4OF-11A-12R-A260-31	0	1.848173e+00	4.956652e-01	0	5.167194e-01	0	2.946822e+00	1.968821e+00	4.422532e-01
TCGA-L5-A4OF-01A-11R-A260-31	0	1.584488e+00	3.825290e+00	8.828733e-01	6.436191e-02	1.477503e+00	5.880064e-01	1.322217e+00	2.958619e-01
TCGA-L5-A4OG-11A-12R-A260-31	0	2.565443e+00	7.158303e-01	7.797823e-01	7.086022e-01	0	2.876599e+00	1.780689e+00	2.911606e-02
TCGA-L5-A4OG-01A-11R-A260-31	8.372101e-01	7.880821e-01	3.714030e+00	1.058582e+00	2.650448e-01	0	4.958000e-01	1.115092e+00	1.121316e+00
TCGA-L5-A4OH-01A-11R-A260-31	0	5.837441e-01	4.617249e+00	1.305084e-01	3.398035e-01	4.781328e-01	0	2.122648e+00	3.872933e-01
TCGA-L5-A4OI-01A-11R-A36D-31	0	4.280818e-01	4.765729e+00	1.591677e-01	2.685853e-01	0	0	2.179666e+00	0
TCGA-L5-A4OJ-11A-12R-A260-31	6.304721e-01	2.284449e+00	2.535229e-01	4.249189e-01	3.789165e-01	0	2.407295e+00	1.610937e+00	0
TCGA-L5-A4OJ-01A-11R-A260-31	0	4.125926e-01	4.280858e+00	5.701553e-01	2.607058e-01	1.060952e-01	1.049663e+00	2.075087e+00	0
TCGA-L5-A4OM-11A-11R-A260-31	8.237055e-01	2.020863e+00	2.000491e+00	6.605062e-01	6.966465e-01	0	2.074870e+00	1.235250e+00	1.746819e-01
