sampleID	D8.8_GNF2-SPRR1B	D7.4_MILICIC-FAMILIAL-ADENOMATOUS-POLYPOSIS-DN	D7.2_REACTOME-ENDOSOMAL-VACUOLAR-PATHWAY	D13.8_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D13.4_SINGH-NFE2L2-TARGETS	D14.13_WEBER-METHYLATED-ICP-IN-SPERM-DN	D13.11_GNF2-SPINK1	D13.3_MIPS-40S-RIBOSOMAL-SUBUNIT-CYTOPLASMIC	D10.2_REACTOME-BETA-DEFENSINS
TCGA-R6-A6KZ-01A-11R-A31P-31	0	1.723625e+00	3.786107e+00	1.216204e+00	3.075186e-01	1.234519e+00	2.710261e-01	1.265964e+00	1.195445e-01
TCGA-R6-A6L4-01A-11R-A31P-31	1.586366e+00	4.267590e-01	3.251479e+00	0	4.897868e-01	0	5.286122e-03	1.982370e+00	9.000795e-01
TCGA-R6-A6L6-01B-11R-A336-31	1.187896e+00	7.497879e-01	3.416475e+00	6.011769e-01	2.689279e-01	0	0	2.200957e+00	1.586030e+00
TCGA-R6-A6XG-01B-11R-A336-31	0	0	3.265720e+00	0	2.706042e-01	2.702179e-01	9.836638e-01	3.010275e+00	0
TCGA-R6-A6XQ-01B-11R-A336-31	1.349619e+00	1.413689e-01	2.463060e+00	0	0	2.744375e-01	2.745974e-01	1.903025e+00	8.150263e-01
TCGA-R6-A6Y0-01B-11R-A336-31	1.656068e+00	6.446144e-01	2.939414e+00	6.252350e-01	6.471315e-01	0	4.108069e-02	1.851257e+00	1.223574e+00
TCGA-R6-A6Y2-01B-11R-A336-31	2.240968e-03	1.810015e+00	3.072340e+00	6.998474e-01	4.146774e-01	0	1.545446e-01	1.124011e+00	8.382901e-01
TCGA-R6-A8W5-01B-11R-A37I-31	4.474603e-02	1.110182e+00	3.903074e+00	9.747083e-01	3.468880e-01	3.914667e-01	6.865632e-01	9.682812e-01	4.041102e-01
TCGA-R6-A8W8-01B-11R-A37I-31	7.797210e-01	4.380832e-01	4.544526e+00	5.222352e-01	4.890157e-01	0	0	1.801111e+00	5.934269e-01
TCGA-R6-A8WC-01A-11R-A37I-31	0	2.064277e-01	4.616127e+00	0	1.468086e-01	3.096233e-01	0	1.978151e+00	0
TCGA-R6-A8WG-01A-11R-A37I-31	0	1.447394e+00	3.399828e+00	1.108793e+00	0	1.226117e+00	1.378210e-01	1.371964e+00	0
TCGA-RE-A7BO-01A-11R-A336-31	0	3.560374e-01	5.193342e+00	3.489161e-01	1.228048e-01	0	0	2.760121e+00	3.993506e-01
TCGA-S8-A6BV-01A-21R-A31P-31	5.597529e-01	1.509011e+00	3.926391e+00	6.006391e-01	7.014977e-01	0	3.238556e-01	1.668338e+00	9.275412e-01
TCGA-S8-A6BW-01A-11R-A31P-31	1.827069e-01	1.252520e+00	2.066195e-01	3.356055e-02	2.506257e+00	0	0	8.958527e-01	3.295319e+00
TCGA-V5-A7RB-01A-11R-A354-31	1.041945e+00	6.110588e-01	3.937734e+00	3.853414e-01	5.223425e-01	1.319656e-03	0	1.806159e+00	8.252000e-01
TCGA-V5-A7RC-06A-11R-A406-31	1.308686e-01	1.250913e+00	1.971079e-01	4.251799e-01	2.633802e+00	2.323996e-01	1.413912e-01	1.520179e+00	7.437937e-01
TCGA-V5-A7RC-01B-11R-A406-31	2.412644e-01	8.826288e-01	0	6.847081e-02	2.500829e+00	1.305155e-01	0	1.363356e+00	2.794489e+00
TCGA-V5-A7RE-01A-11R-A354-31	0	0	4.231060e+00	2.373861e-01	3.633157e-01	8.705775e-02	7.410055e-01	2.132165e+00	2.810256e-02
TCGA-V5-AASV-01A-11R-A38D-31	4.319164e-01	7.395614e-01	3.645682e-01	9.865722e-01	4.578797e-01	1.051808e-01	0	1.548072e+00	2.759153e+00
TCGA-V5-AASW-01A-11R-A406-31	0	1.277531e-01	5.141213e+00	3.042373e-01	3.638530e-01	0	0	1.830834e+00	0
TCGA-V5-AASX-01A-11R-A38D-31	0	9.464841e-01	4.850377e+00	7.538762e-01	4.766305e-01	0	4.844697e-01	1.462273e+00	0
TCGA-VR-A8EO-01A-11R-A36D-31	0	1.475810e+00	3.832763e-01	7.370237e-01	2.186084e-01	0	1.604673e-01	1.180181e+00	0
TCGA-VR-A8EP-01A-31R-A406-31	1.265407e+00	8.764877e-01	4.913722e-01	2.044158e-01	1.271569e+00	5.341059e-01	0	1.381219e+00	1.278165e+00
TCGA-VR-A8EQ-01A-11R-A36D-31	0	2.675685e-01	3.994598e+00	1.054133e+00	2.001618e-01	0	1.131987e+00	2.410199e+00	3.187633e-01
TCGA-VR-A8ER-01A-11R-A36D-31	3.427083e-01	1.059329e+00	6.416955e-01	4.912745e-01	2.566759e+00	0	0	1.261546e+00	2.157002e+00
TCGA-VR-A8ET-01A-11R-A406-31	1.244786e+00	3.009958e-01	1.391738e+00	1.613703e-01	2.290794e-01	2.397716e-01	7.140068e-02	1.428176e+00	3.608300e+00
TCGA-VR-A8EU-01A-11R-A36D-31	4.903369e-01	7.502613e-01	1.425636e-01	6.389962e-01	8.754461e-01	0	0	1.721859e+00	4.700902e+00
TCGA-VR-A8EW-01A-11R-A36D-31	8.824739e-01	5.720087e-01	2.397480e-01	4.010047e-01	2.164594e+00	7.712088e-02	0	1.522463e+00	2.426812e+00
TCGA-VR-A8EX-01A-11R-A36D-31	1.438530e+00	6.228290e-01	8.830003e-01	1.052114e+00	1.449177e+00	1.424640e-01	4.084217e-02	1.642641e+00	9.659469e-01
TCGA-VR-A8EY-01A-11R-A36D-31	1.277424e-01	1.038180e-01	0	0	1.634103e+00	0	0	2.420599e+00	4.030360e+00
TCGA-VR-A8EZ-01A-11R-A36D-31	0	1.112881e+00	1.206362e-01	6.717436e-01	2.688017e+00	0	0	2.265818e+00	2.182175e+00
TCGA-VR-A8Q7-01A-11R-A37I-31	0	8.709112e-01	1.565887e+00	8.239981e-01	0	5.997994e-01	0	1.361780e+00	1.639814e+00
TCGA-VR-AA4D-01A-11R-A37I-31	0	1.207717e-01	4.255714e+00	0	3.296462e-01	1.502884e-01	0	2.271276e+00	0
TCGA-VR-AA4G-01A-11R-A37I-31	3.524748e-01	1.339100e+00	6.867416e-01	1.036767e+00	1.284432e+00	0	1.961184e-02	8.417209e-01	3.346929e+00
TCGA-VR-AA7B-01A-31R-A406-31	1.157106e-01	1.571292e+00	1.172137e+00	1.358593e-01	7.804896e-01	3.245167e-01	0	4.176247e-01	2.546904e+00
TCGA-VR-AA7D-01A-11R-A406-31	0	7.233187e-01	2.878209e-01	9.860748e-01	2.329290e-01	0	0	1.621328e+00	4.109250e+00
TCGA-VR-AA7I-01A-11R-A406-31	4.464354e-01	1.620038e+00	3.765917e-01	8.912879e-01	9.936069e-01	0	0	1.106118e+00	3.870285e+00
TCGA-X8-AAAR-01A-11R-A406-31	7.332579e-01	1.749179e+00	4.228644e+00	1.251903e+00	3.945624e-01	0	3.268234e-01	1.223701e+00	0
TCGA-XP-A8T6-01A-11R-A36D-31	9.091988e-01	1.656769e+00	5.492223e-01	7.528779e-01	2.341607e+00	4.164878e-02	0	1.507036e+00	1.737335e+00
TCGA-XP-A8T8-01A-11R-A36D-31	6.609750e-01	3.073112e-01	3.948290e-01	4.706803e-01	2.337461e+00	0	0	1.501487e+00	2.223682e+00
TCGA-Z6-A8JD-01A-11R-A36D-31	3.769198e-01	1.401089e+00	6.862711e-01	8.504806e-01	3.901699e-01	1.329167e-01	0	1.196058e+00	3.686986e+00
TCGA-Z6-A8JE-01A-11R-A37I-31	3.571560e-01	1.459747e+00	1.255500e+00	6.495927e-01	1.113947e+00	6.884674e-02	2.130159e-01	4.015489e-01	1.418791e+00
TCGA-Z6-A9VB-01A-21R-A37I-31	7.796169e-01	6.675701e-01	3.599109e-01	5.590573e-01	2.558502e+00	0	0	1.370805e+00	1.744016e+00
TCGA-Z6-AAPN-01A-11R-A406-31	6.952890e-01	7.115632e-01	1.228801e+00	1.188199e+00	2.270599e-01	2.364426e-01	0	1.518026e+00	3.249493e+00
TCGA-ZR-A9CJ-01B-11R-A38D-31	0	1.721335e+00	3.060280e+00	4.038911e-01	0	2.209812e-01	0	1.427290e+00	1.401424e+00
