sampleID	D6.3_FARMER-BREAST-CANCER-CLUSTER-5	D10.9_AUJLA-IL22-AND-IL17A-SIGNALING	D6.5_REACTOME-FGFR4-LIGAND-BINDING-AND-ACTIVATION	D10.6_chryq11	D6.1_MODULE-293
TCGA-31-1956-01A-01R-1568-13	2.926396e+00	8.835304e-02	0	0	5.773424e+00
TCGA-31-1959-01A-01R-1568-13	2.541420e+00	5.759624e-01	1.762251e+00	0	4.319816e+00
TCGA-36-1568-01A-01R-1566-13	1.728003e+00	7.998669e-01	2.945306e-01	7.172311e-01	4.763200e+00
TCGA-36-1569-01A-01R-1566-13	2.622958e+00	0	3.501459e-01	1.240011e+00	3.926137e+00
TCGA-36-1570-01A-01R-1566-13	3.860615e-01	2.114741e-01	2.249930e-01	0	5.075294e+00
TCGA-36-1571-01A-01R-1566-13	3.311109e-01	1.605185e-01	1.803544e+00	6.015726e-01	3.111174e+00
TCGA-36-1574-01A-01R-1566-13	2.039647e+00	1.071437e-01	1.098603e-01	0	5.581423e+00
TCGA-36-1575-01A-01R-1566-13	3.636360e-01	0	2.171403e+00	1.483987e+00	2.922873e+00
TCGA-36-1576-01A-01R-1566-13	2.947012e+00	1.240730e-02	1.405076e+00	0	3.644468e+00
TCGA-36-1577-01A-01R-1566-13	9.908730e-01	8.076719e-01	3.313104e+00	6.786957e-02	2.445963e+00
TCGA-36-1578-01A-01R-1566-13	1.294286e+00	0	0	3.393176e-01	5.984827e+00
TCGA-36-1580-01A-01R-1566-13	2.743121e+00	6.704510e-02	6.555346e-01	9.459415e-01	3.632058e+00
TCGA-36-1581-01A-01R-1566-13	1.366219e+00	6.840086e-01	1.492206e+00	0	6.454826e+00
TCGA-3P-A9WA-01A-11R-A406-31	0	3.961925e-01	5.946474e-01	0	4.980322e+00
TCGA-57-1582-01A-01R-1566-13	1.724327e+00	0	1.065795e+00	0	3.971514e+00
TCGA-57-1583-01A-01R-1566-13	1.027135e+00	0	5.914078e-01	1.487263e+00	4.057504e+00
TCGA-57-1584-01A-01R-1566-13	1.805228e-01	1.214480e+00	3.811762e-01	4.627606e-01	4.954007e+00
TCGA-57-1585-01A-01R-1566-13	2.957385e+00	0	4.976329e-01	0	4.512135e+00
TCGA-57-1993-01A-01R-1568-13	7.385958e-01	5.654034e-01	1.231655e+00	5.311227e-01	4.734404e+00
TCGA-57-1994-01A-01R-1568-13	1.075629e+00	0	8.600171e-01	3.593078e-01	4.787876e+00
TCGA-59-2348-01A-01R-1569-13	1.566568e+00	2.431939e-01	7.662596e-02	8.141810e-01	5.725763e+00
TCGA-59-2350-01A-01R-1569-13	1.193563e+00	3.152906e-01	1.117459e+00	1.706732e+00	4.441074e+00
TCGA-59-2351-01A-01R-1569-13	1.292141e+00	1.111767e-01	4.586255e-01	5.249961e-01	4.831457e+00
TCGA-59-2352-01A-01R-1569-13	1.152526e+00	4.246053e-01	1.980551e+00	1.068943e+00	3.481724e+00
TCGA-59-2354-01A-01R-1569-13	2.415798e+00	1.126887e-01	4.743149e-01	5.518468e-02	4.464268e+00
TCGA-59-2355-01A-01R-1569-13	1.488035e+00	5.627534e-01	2.104442e-01	5.953117e-01	4.324577e+00
TCGA-59-2363-01A-01R-1569-13	1.056526e+00	6.101346e-01	2.429873e+00	3.721238e-01	2.646286e+00
TCGA-59-A5PD-01A-11R-A406-31	1.276327e+00	0	1.923934e+00	0	3.408361e+00
TCGA-5X-AA5U-01A-11R-A406-31	9.062177e-01	0	2.506414e+00	1.031176e+00	2.259362e+00
TCGA-61-1721-01A-01R-1569-13	2.687829e+00	0	1.671879e+00	7.668055e-02	3.601908e+00
TCGA-61-1724-01A-01R-1568-13	1.423521e+00	6.063182e-01	4.219197e-01	5.107980e-01	5.388137e+00
TCGA-61-1725-01A-01R-1567-13	1.920156e+00	2.775788e-01	2.211424e-01	3.101516e-01	4.490900e+00
TCGA-61-1728-01A-01R-1568-13	1.156869e+00	5.343826e-01	8.972983e-01	5.895419e-01	3.348178e+00
TCGA-61-1733-01A-01R-1567-13	2.079228e+00	0	1.220671e+00	1.071137e+00	3.256598e+00
TCGA-61-1736-01B-01R-1568-13	8.138935e-01	1.863674e-01	9.166459e-02	0	5.377248e+00
TCGA-61-1737-01A-01R-1567-13	2.614737e+00	4.936015e-01	1.009581e+00	0	4.885608e+00
TCGA-61-1738-01A-01R-1567-13	1.063090e+00	8.805624e-01	1.274524e+00	0	5.370357e+00
TCGA-61-1740-01A-01R-1567-13	1.676189e+00	5.484483e-01	8.020789e-01	0	6.073329e+00
TCGA-61-1741-01A-02R-1567-13	1.111804e+00	0	1.970816e+00	6.141963e-01	3.806738e+00
TCGA-61-1743-01A-01R-1568-13	6.687157e-01	0	1.273371e+00	3.868328e-01	4.242626e+00
TCGA-61-1900-01A-01R-1567-13	1.182942e+00	3.194428e-01	2.776720e+00	0	2.418119e+00
TCGA-61-1907-01A-01R-1567-13	3.466807e-01	2.760260e-01	3.862334e-01	1.352080e-01	5.978841e+00
TCGA-61-1910-01A-01R-1567-13	9.133262e-01	0	0	7.976349e-01	4.502108e+00
TCGA-61-1914-01A-01R-1567-13	1.419203e+00	7.860049e-01	6.072370e-01	1.815820e-01	4.387269e+00
TCGA-61-1917-01A-01R-1568-13	1.876867e+00	0	9.268449e-01	4.446376e-01	3.531523e+00
TCGA-61-1918-01A-01R-1568-13	1.063260e+00	0	1.024275e-01	6.390151e-01	4.880370e+00
TCGA-61-1919-01A-01R-1568-13	2.713054e+00	0	7.564299e-01	0	4.174215e+00
TCGA-61-1995-01A-01R-1568-13	9.291051e-01	2.383852e-01	9.126656e-01	1.368327e+00	4.661486e+00
TCGA-61-1998-01A-01R-1568-13	1.929842e+00	1.397026e-01	1.042138e+00	5.548334e-02	3.616608e+00
TCGA-61-2000-01A-01R-1568-13	1.728096e+00	0	7.732492e-01	0	5.036586e+00
TCGA-61-2002-01A-01R-1568-13	2.574242e+00	0	1.396329e-02	4.935882e-02	5.114550e+00
TCGA-61-2003-01A-01R-1568-13	2.670588e+00	2.274862e-01	9.956614e-01	4.943891e-01	4.349947e+00
TCGA-61-2008-01A-02R-1568-13	1.576054e+00	2.408804e-01	5.989636e-01	4.515432e-01	4.130742e+00
TCGA-61-2008-02A-01R-1568-13	1.229811e+00	0	3.677568e-01	1.484649e-01	5.153052e+00
TCGA-61-2009-01A-01R-1568-13	2.509956e+00	3.333463e-01	9.329057e-01	0	3.405116e+00
TCGA-61-2012-01A-01R-1568-13	1.727460e+00	6.354794e-01	9.984217e-01	7.142826e-01	4.772711e+00
TCGA-61-2016-01A-01R-1568-13	1.064435e+00	1.098199e+00	8.709680e-01	6.364461e-01	4.633914e+00
TCGA-61-2088-01A-01R-1568-13	1.657243e-01	0	2.307455e+00	1.343007e+00	2.832047e+00
TCGA-61-2092-01A-01R-1568-13	0	9.823936e-01	1.232404e+00	0	5.284431e+00
TCGA-61-2094-01A-01R-1568-13	1.316329e+00	2.259913e-01	0	5.549083e-01	6.402486e+00
TCGA-61-2095-01A-01R-1568-13	1.939354e+00	5.395816e-01	1.249691e+00	6.225183e-01	3.899869e+00
TCGA-61-2097-01A-02R-1568-13	1.258030e+00	1.048185e+00	1.197551e+00	2.500219e-01	4.552725e+00
TCGA-61-2098-01A-01R-1568-13	1.035975e+00	3.894467e-01	3.299248e+00	4.565015e-02	1.693209e+00
TCGA-61-2101-01A-01R-1568-13	2.098985e+00	1.175721e-01	6.048003e-01	7.436626e-01	3.039106e+00
TCGA-61-2102-01A-01R-1568-13	1.974267e+00	0	4.378780e+00	0	2.572186e+00
TCGA-61-2104-01A-01R-1568-13	1.353362e+00	0	0	3.987648e-01	5.480091e+00
TCGA-61-2109-01A-01R-1568-13	7.532203e-01	4.940090e-01	2.193051e-01	1.321810e+00	4.655654e+00
TCGA-61-2110-01A-01R-1568-13	8.019214e-01	5.677258e-01	6.809070e-01	2.479226e+00	3.426131e+00
TCGA-61-2111-01A-01R-1568-13	9.395091e-01	9.638935e-01	2.487398e+00	0	4.078550e+00
TCGA-61-2113-01A-01R-1568-13	2.266533e+00	3.641842e-01	1.532742e+00	0	4.827062e+00
TCGA-OY-A56P-01A-12R-A406-31	7.963391e-01	0	2.615831e+00	1.576885e+00	2.523882e+00
TCGA-OY-A56Q-01A-11R-A406-31	0	0	2.199751e+00	1.985905e+00	1.712164e+00
TCGA-VG-A8LO-01A-11R-A406-31	6.832706e-01	5.055084e-01	4.691593e-01	9.253503e-01	3.928470e+00
TCGA-WR-A838-01A-12R-A406-31	0	0	2.175831e+00	8.974523e-01	3.235916e+00
