sampleID	D6.3_FARMER-BREAST-CANCER-CLUSTER-5	D10.9_AUJLA-IL22-AND-IL17A-SIGNALING	D6.5_REACTOME-FGFR4-LIGAND-BINDING-AND-ACTIVATION	D10.6_chryq11	D6.1_MODULE-293
TCGA-13-A5FT-01A-11R-A406-31	3.756397e-01	7.922873e-01	2.014292e+00	8.248730e-01	3.531800e+00
TCGA-20-1682-01A-01R-1564-13	2.012249e+00	1.024449e+00	1.518524e+00	1.032863e-02	4.933517e+00
TCGA-20-1683-01A-01R-1566-13	1.435352e+00	0	1.762044e+00	5.386476e-01	4.568026e+00
TCGA-20-1684-01A-01R-1566-13	2.291593e-01	0	1.457521e+00	6.382576e-01	3.491887e+00
TCGA-20-1685-01A-01R-1566-13	7.357492e-01	0	6.479674e-01	2.217635e-01	4.539442e+00
TCGA-20-1687-01A-01R-1566-13	1.723177e+00	6.477346e-01	0	8.064406e-01	4.760532e+00
TCGA-23-1023-01R-01R-1564-13	2.339374e+00	7.221380e-01	1.859249e+00	1.184837e-01	3.596417e+00
TCGA-23-1026-01B-01R-1569-13	1.987087e+00	3.083843e-01	0	4.082347e-01	4.992479e+00
TCGA-23-1027-01A-02R-1564-13	2.039841e+00	9.767878e-02	0	2.775969e-01	4.421204e+00
TCGA-23-1029-01B-01R-1567-13	6.533050e-01	4.936904e-01	8.823432e-01	6.098964e-01	4.544307e+00
TCGA-23-1109-01A-01R-1564-13	1.901912e+00	0	7.258204e-01	4.103806e-02	4.309895e+00
TCGA-23-1111-01A-01R-1567-13	1.304789e+00	6.020680e-01	1.007263e+00	1.120984e+00	3.557095e+00
TCGA-23-1114-01B-01R-1566-13	1.432976e+00	0	2.387602e+00	2.927071e-01	2.360083e+00
TCGA-23-1120-01A-02R-1565-13	1.796375e+00	0	1.449850e-02	0	4.972905e+00
TCGA-23-1122-01A-01R-1565-13	1.585725e+00	0	1.311144e+00	3.048246e-01	4.116831e+00
TCGA-23-1123-01A-01R-1565-13	8.119268e-01	0	1.092035e+00	8.152035e-01	4.881017e+00
TCGA-23-1809-01A-01R-1566-13	1.438791e+00	1.456689e-01	2.353918e+00	1.001417e+00	3.591288e+00
TCGA-23-2077-01A-01R-1568-13	1.429123e+00	6.078738e-02	8.145040e-01	7.676582e-01	4.145096e+00
TCGA-23-2078-01A-01R-1568-13	2.449738e+00	0	1.290253e+00	0	3.534182e+00
TCGA-23-2081-01A-01R-1568-13	1.598367e+00	2.183368e-01	4.750452e-01	0	4.482081e+00
TCGA-23-2084-01A-02R-1568-13	1.439620e+00	3.739832e-01	1.968964e-01	6.163581e-02	5.772602e+00
TCGA-24-0975-01A-02R-1565-13	2.949885e+00	3.368971e-01	7.639122e-01	1.818638e-01	3.524318e+00
TCGA-24-1103-01A-01R-1565-13	1.221140e-01	1.032933e+00	6.998643e-01	1.527747e-03	4.161454e+00
TCGA-24-1413-01A-01R-1565-13	4.464805e-01	2.710611e-01	2.241422e-01	1.013548e+00	4.312767e+00
TCGA-24-1416-01A-01R-1565-13	3.559884e-01	7.747849e-01	2.544380e-01	4.274460e-01	4.518264e+00
TCGA-24-1417-01A-01R-1565-13	2.159715e+00	0	0	5.451846e-02	5.718207e+00
TCGA-24-1418-01A-01R-1565-13	2.418478e+00	0	1.156081e+00	5.742904e-01	3.622253e+00
TCGA-24-1419-01A-01R-1565-13	4.185773e-02	2.353058e-01	2.486811e+00	3.022032e-01	4.163139e+00
TCGA-24-1423-01A-01R-1565-13	1.354691e+00	5.082119e-01	6.215855e-01	7.353884e-01	4.014909e+00
TCGA-24-1424-01A-01R-1565-13	1.776266e+00	0	2.069021e+00	4.825957e-01	3.440473e+00
TCGA-24-1425-01A-02R-1566-13	2.794474e+00	0	7.119901e-01	6.852722e-02	4.988371e+00
TCGA-24-1427-01A-01R-1565-13	2.729374e+00	0	9.801471e-01	2.486903e-01	4.047126e+00
TCGA-24-1428-01A-01R-1564-13	1.456340e+00	0	0	0	5.841945e+00
TCGA-24-1430-01A-01R-1566-13	1.237379e+00	0	1.113134e+00	1.327034e+00	2.982278e+00
TCGA-24-1434-01A-01R-1566-13	3.147692e+00	0	7.649418e-01	1.745567e-01	4.402272e+00
TCGA-24-1435-01A-01R-1566-13	2.322126e+00	5.230022e-02	2.820151e-01	0	5.310091e+00
TCGA-24-1436-01A-01R-1566-13	1.769935e+00	7.493022e-02	0	5.913845e-01	5.304872e+00
TCGA-24-1463-01A-01R-1566-13	2.444264e+00	1.078585e-01	7.972982e-01	4.500544e-02	4.424306e+00
TCGA-24-1467-01A-01R-1566-13	1.784898e-01	0	4.526122e-01	1.068063e-01	4.228495e+00
TCGA-24-1469-01A-01R-1566-13	9.412569e-01	0	1.640508e+00	2.395369e-01	4.133263e+00
