sampleID	D5.3_CAR-IGFBP1	D5.4_BIOCARTA-TCRA-PATHWAY	D7.7_NIKOLSKY-BREAST-CANCER-7P15-AMPLICON	D12.4_REACTOME-BETA-DEFENSINS	D13.10_REACTOME-BETA-DEFENSINS	D7.1_MODULE-89	D16.11_BIOCARTA-KREB-PATHWAY	D16.5_REACTOME-BETA-DEFENSINS	D11.8_BIOCARTA-ETC-PATHWAY	D13.9_NIKOLSKY-BREAST-CANCER-19Q13.1-AMPLICON
TCGA-W5-AA38-01A-11R-A41I-07	2.821836e-01	1.201281e+00	0	5.025733e-01	2.547831e+00	4.952856e+00	4.112943e-01	1.888469e-01	1.547451e+00	0
TCGA-W5-AA39-01A-11R-A41I-07	2.122167e+00	8.879342e-01	0	1.043301e+00	3.610825e-01	1.373661e+00	4.887616e+00	1.617887e-01	3.211279e-02	1.668600e-01
TCGA-W6-AA0S-01A-11R-A41I-07	0	2.616594e+00	4.310681e-03	1.296357e+00	0	2.530965e+00	1.062724e-01	2.981267e-01	2.132932e+00	0
TCGA-WD-A7RX-01A-12R-A41I-07	2.946362e+00	2.433792e+00	2.338497e-01	1.677099e-01	3.646667e-01	2.413928e+00	1.517915e-01	4.740543e-01	2.697592e-01	9.616663e-01
TCGA-YR-A95A-01A-12R-A41I-07	2.527802e+00	1.372504e+00	1.385538e-01	8.516415e-01	0	3.713656e+00	0	5.342630e-01	5.354279e-01	2.432566e-01
TCGA-ZD-A8I3-01A-11R-A41I-07	4.990592e-01	9.504319e-01	4.918205e-01	1.496187e+00	1.325856e+00	3.627845e+00	0	9.632655e-01	1.559182e+00	7.430814e-01
TCGA-ZH-A8Y1-01A-11R-A41I-07	3.293999e-02	1.172435e+00	3.197248e-01	9.801886e-01	5.460780e-01	1.466063e+00	2.474710e-01	9.415716e-02	1.262383e+00	1.965391e+00
TCGA-ZH-A8Y2-01A-11R-A41I-07	3.662871e-01	1.563422e+00	2.984608e-01	1.771675e+00	1.905143e+00	3.158911e+00	0	1.493949e+00	9.005788e-01	1.620213e-01
TCGA-ZH-A8Y4-01A-11R-A41I-07	1.470550e+00	1.761531e+00	2.004873e-02	3.985197e-01	1.510736e+00	3.111153e+00	5.790791e-01	1.896234e-02	4.742808e-01	0
TCGA-ZH-A8Y5-01A-11R-A41I-07	0	6.294616e-01	3.278759e-02	1.031330e+00	0	1.761586e+00	2.198330e-01	6.921887e-02	8.294293e-01	1.775851e+00
TCGA-ZH-A8Y6-01A-11R-A41I-07	5.493069e-02	2.683098e-01	3.573428e-01	7.464817e+00	0	6.913056e-04	3.477893e-01	0	5.222580e-02	0
TCGA-ZH-A8Y8-01A-51R-A41I-07	2.136724e+00	2.128763e+00	6.468833e-01	5.059151e-01	1.919149e-01	1.903364e+00	4.685682e-01	2.318543e-01	6.488065e-02	1.232315e+00
TCGA-ZU-A8S4-11A-11R-A41I-07	4.679151e+00	2.290790e+00	0	1.049905e+00	1.205192e-01	7.114357e-01	7.772870e-01	2.684058e-01	1.247959e+00	0
TCGA-ZU-A8S4-01A-11R-A41I-07	6.700050e-01	2.890280e+00	6.118070e-01	6.381763e-01	3.339682e-01	1.700062e+00	9.199697e-01	0	1.343886e+00	3.804442e-02
