sampleID	D12.10_GNF2-TTN	D12.11_RICKMAN-HEAD-AND-NECK-CANCER-D	D11.2_MOSERLE-IFNA-RESPONSE	D7.4_CORNIFIED-ENVELOPE	D12.5_FARMER-BREAST-CANCER-CLUSTER-5	D16.16_WEBER-METHYLATED-ICP-IN-SPERM-UP	D17.14_SINGH-NFE2L2-TARGETS	D14.8_GNF2-SPRR1B	D14.10_RUNNE-GENDER-EFFECT-UP	D10.2_MIPS-40S-RIBOSOMAL-SUBUNIT-CYTOPLASMIC	D9.2_GNF2-CDH3
TCGA-BA-A6DE-01A-22R-A31N-07	2.594064e-01	0	1.457663e+00	9.828106e-01	2.280625e-01	2.775760e-01	0	0	0	1.471347e+00	3.640869e+00
TCGA-BA-A6DG-01A-21R-A30B-07	5.827632e-01	4.128897e-02	1.107949e+00	5.653762e-01	1.534857e+00	0	0	0	0	2.130947e+00	3.967280e+00
TCGA-BA-A6DI-01A-11R-A30B-07	0	1.243456e+00	1.382245e+00	1.119595e+00	2.353171e-01	0	3.715317e-01	5.237702e-01	7.829508e-02	1.752582e+00	3.103687e+00
TCGA-BA-A6DJ-01A-11R-A30B-07	0	0	2.298197e+00	1.135983e+00	2.766045e-01	0	4.567602e-02	2.798044e-01	0	1.395554e+00	4.196956e+00
TCGA-BA-A6DL-01A-21R-A30B-07	2.439670e-02	2.569678e-02	1.445628e+00	1.159708e+00	0	4.505562e-01	3.653353e-01	6.418085e-01	0	1.993937e+00	2.747266e+00
TCGA-BA-A8YP-01A-11R-A39I-07	3.662631e-01	0	9.642182e-01	0	1.564045e+00	6.059262e-02	1.220426e+00	0	0	2.200370e+00	2.326460e+00
TCGA-BB-4217-01A-11R-2081-07	0	3.243059e-01	1.632349e+00	7.485080e-01	9.569077e-01	0	1.549173e-01	7.070688e-01	6.579159e-01	1.946490e+00	2.335984e+00
TCGA-BB-4223-01A-01R-1436-07	8.014175e-03	0	1.523814e+00	0	1.134058e+00	0	2.188115e-01	4.956944e-02	1.907480e+00	1.425029e+00	7.218899e-01
TCGA-BB-4224-01A-01R-1436-07	3.789561e-01	0	1.121352e+00	9.124750e-01	2.889429e-01	0	4.347419e-01	0	3.488485e-01	1.871921e+00	2.952285e+00
TCGA-BB-4225-01A-01R-1436-07	5.624816e-03	0	1.600719e+00	0	1.093376e+00	0	2.581517e-02	0	2.197689e+00	1.669769e+00	1.013643e+00
TCGA-BB-4227-01A-01R-1873-07	0	7.760047e-02	9.937238e-01	7.275040e-01	2.234935e-01	6.516581e-01	3.276857e-01	5.646773e-01	0	2.057702e+00	3.002777e+00
TCGA-BB-4228-01A-01R-1436-07	3.786591e-02	1.124378e-01	1.101049e+00	4.846523e-02	1.159162e+00	0	9.056669e-02	2.411147e-01	2.044240e+00	1.950369e+00	1.059673e+00
TCGA-BB-7861-01A-11R-2232-07	0	9.042168e-03	2.512701e+00	1.012077e-01	1.026005e+00	1.042015e-01	2.951482e-01	9.440145e-02	1.527677e+00	1.065690e+00	1.075821e+00
TCGA-BB-7862-01A-21R-2232-07	0	0	9.609244e-01	2.588828e-01	1.521468e+00	0	1.024410e+00	2.269496e-01	5.642723e-01	1.822350e+00	2.613362e+00
TCGA-BB-7863-01A-11R-2232-07	1.074943e-01	0	1.426624e+00	1.427916e+00	2.843569e-01	2.830528e-01	7.817926e-02	0	0	1.248488e+00	4.322212e+00
TCGA-BB-7864-01A-11R-2232-07	0	5.094911e-01	8.835541e-01	6.728807e-01	3.960113e-01	0	8.349001e-01	1.707719e-01	7.952971e-02	1.800090e+00	2.752159e+00
TCGA-BB-7866-01A-11R-2232-07	0	6.593662e-02	1.786579e+00	2.524579e-01	8.368035e-01	0	0	3.493901e-01	1.686941e+00	1.331254e+00	9.499807e-01
TCGA-BB-7870-01A-11R-2232-07	0	4.125427e-01	1.156638e+00	6.455612e-01	0	1.155650e-01	6.315216e-01	1.627703e-01	2.725542e-01	2.557820e+00	2.318170e+00
TCGA-BB-7871-01A-11R-2232-07	0	4.932620e-02	1.435098e+00	1.629754e-02	1.515303e+00	0	1.080408e+00	0	1.006902e-01	2.250902e+00	2.356700e+00
TCGA-BB-7872-01A-11R-2232-07	2.843001e-01	5.600404e-02	1.845940e+00	6.180622e-01	6.898699e-01	0	9.640898e-02	0	0	8.938155e-01	4.399454e+00
TCGA-BB-8596-01A-11R-2403-07	4.465977e-01	1.010011e+00	1.299028e+00	2.631568e-01	1.486799e+00	2.291435e-01	2.214873e-01	0	6.845871e-02	1.902985e+00	3.064614e+00
TCGA-BB-8601-01A-11R-2403-07	0	0	2.679640e-01	4.362032e-01	7.544611e-01	0	2.034586e+00	3.756849e-02	2.294756e-01	2.512606e+00	2.439020e+00
TCGA-BB-A5HU-01A-11R-A28V-07	0	0	1.071620e+00	4.132871e-01	1.238654e+00	1.088530e+00	0	0	0	1.510687e+00	4.351709e+00
TCGA-BB-A5HY-01A-11R-A28V-07	1.538886e-01	0	1.183712e+00	0	6.169828e-01	8.620641e-01	2.936945e-01	0	0	2.086993e+00	3.595668e+00
TCGA-BB-A5HZ-01A-21R-A28V-07	3.662751e-02	0	1.164731e+00	1.145723e+00	6.268360e-01	1.242957e-02	0	0	0	1.881071e+00	3.713035e+00
TCGA-BB-A6UM-01A-12R-A34R-07	2.004301e-02	1.444787e-01	2.235025e+00	7.754793e-01	0	0	5.204103e-02	6.801558e-01	8.012209e-01	2.018853e+00	1.265216e+00
TCGA-BB-A6UO-01A-12R-A34R-07	7.869596e-03	0	1.655455e+00	8.563675e-01	6.673582e-01	0	5.217701e-02	7.956013e-03	0	2.097739e+00	4.194497e+00
TCGA-C9-A47Z-01A-11R-A24H-07	4.578866e-01	0	1.493764e+00	1.412304e+00	2.950293e-01	3.919099e-02	2.171393e-01	0	4.526640e-02	9.926560e-01	4.357051e+00
TCGA-C9-A480-01A-12R-A24H-07	5.674437e-01	0	1.740483e+00	1.318149e+00	2.454721e-01	0	6.469519e-02	0	0	1.341883e+00	3.824653e+00
TCGA-CN-4722-01A-01R-1436-07	0	5.539925e-01	1.056185e+00	1.380920e+00	1.216833e+00	2.106208e-01	2.713505e-01	4.324508e-01	0	2.166829e+00	2.929322e+00
TCGA-CN-4723-01A-01R-1436-07	1.841077e-02	3.030449e-01	1.597952e+00	3.753405e-01	1.158909e+00	7.674258e-01	5.469691e-01	0	5.855956e-02	1.571437e+00	3.240154e+00
TCGA-CN-4725-01A-01R-1436-07	7.601088e-01	0	9.003671e-01	9.799121e-01	5.339704e-01	0	2.608284e-01	0	0	1.313264e+00	4.300252e+00
TCGA-CN-4726-01A-01R-1436-07	2.163220e-01	0	1.063686e+00	1.251625e+00	1.059864e+00	0	1.858616e-01	9.494439e-02	0	1.863984e+00	4.025961e+00
TCGA-CN-4727-01A-01R-1436-07	0	0	8.088494e-01	1.336764e-01	5.488012e-01	0	0	0	0	1.805359e+00	3.095834e+00
TCGA-CN-4728-01A-01R-1436-07	5.002590e-01	1.578851e-04	1.599954e+00	3.209309e-01	1.957764e+00	0	5.888732e-01	1.892173e-01	2.489961e-01	1.927242e+00	2.622577e+00
TCGA-CN-4729-01A-01R-1436-07	0	1.004003e-01	1.185688e+00	1.170714e+00	1.049405e+00	2.754555e-01	1.546125e-01	7.052423e-01	1.620947e-01	1.731847e+00	3.155649e+00
TCGA-CN-4730-01A-01R-1436-07	1.412870e-02	0	8.743806e-01	8.373691e-01	3.348517e-01	1.668973e-01	2.522012e-01	2.622155e-02	0	1.869807e+00	3.655170e+00
TCGA-CN-4731-01A-01R-1436-07	0	2.863598e-01	1.281819e+00	6.126585e-01	6.851995e-01	1.613767e-01	5.203443e-03	3.710251e-01	0	1.994351e+00	3.078984e+00
TCGA-CN-4733-01A-02R-1873-07	5.786571e-01	1.063630e-01	2.382808e+00	4.097808e-01	1.336573e+00	0	0	7.785652e-02	0	1.546118e+00	3.148463e+00
TCGA-CN-4734-01A-01R-1436-07	0	0	2.260916e+00	1.025711e+00	7.013653e-01	0	9.453800e-02	1.544786e-01	0	1.113088e+00	4.082569e+00
TCGA-CN-4735-01A-01R-1436-07	8.257317e-02	1.101754e-01	1.480485e+00	0	1.735222e+00	8.431277e-01	4.098076e-01	0	1.357586e+00	1.547823e+00	1.730926e+00
TCGA-CN-4736-01A-01R-1436-07	8.626754e-01	0	2.153441e+00	6.561638e-01	1.176554e+00	4.649118e-01	5.392423e-02	0	0	1.541826e+00	3.480388e+00
TCGA-CN-4737-01A-01R-1436-07	7.386649e-01	0	9.244636e-01	8.958026e-01	1.364077e+00	5.270268e-01	0	0	0	1.619312e+00	3.616826e+00
TCGA-CN-4738-01A-02R-1514-07	0	1.103653e+00	1.774889e+00	8.664848e-01	5.459385e-01	2.330260e-01	1.202398e-01	5.201742e-01	0	1.542205e+00	2.957788e+00
TCGA-CN-4739-01A-02R-1514-07	1.026760e-01	3.219568e-01	1.486399e+00	8.069882e-01	6.164953e-01	6.193664e-02	3.270350e-02	7.513606e-01	3.724923e-01	1.728682e+00	1.898976e+00
TCGA-CN-4740-01A-01R-1436-07	6.664280e-01	0	1.590398e+00	8.556688e-01	1.706035e+00	6.076776e-01	1.740506e-01	4.558567e-01	0	2.121348e+00	2.651824e+00
TCGA-CN-4741-01A-01R-1436-07	1.430746e-01	1.644408e-01	1.418664e+00	9.892251e-01	7.881394e-01	2.608123e-02	3.613991e-01	5.937974e-01	5.696966e-01	1.480008e+00	2.237412e+00
TCGA-CN-4742-01A-02R-1514-07	3.361936e-01	0	1.417256e+00	1.006415e+00	1.333699e+00	7.414339e-01	0	0	0	1.402173e+00	4.197945e+00
TCGA-CN-5355-01A-01R-1436-07	5.389175e-01	0	1.031701e+00	8.696656e-01	1.268576e+00	0	1.209747e-01	2.493796e-01	1.208062e-01	1.616829e+00	3.573622e+00
TCGA-CN-5356-01A-01R-1436-07	0	1.361075e-01	1.204176e+00	6.506077e-01	1.036764e+00	3.734468e-01	9.988104e-03	4.303607e-01	0	1.584723e+00	3.255973e+00
TCGA-CN-5358-01A-01R-1514-07	5.718837e-01	1.364315e-01	1.861959e+00	1.036329e+00	1.658938e+00	2.032177e-02	0	5.078138e-01	2.955565e-02	1.674822e+00	2.856934e+00
TCGA-CN-5359-01A-01R-1436-07	2.534717e-01	0	1.776048e+00	6.858470e-01	1.653948e+00	2.583454e-01	7.376401e-01	6.337865e-02	2.214219e-02	1.377355e+00	3.202539e+00
TCGA-CN-5360-01A-01R-1436-07	5.952025e-01	1.024193e+00	1.780906e+00	6.144271e-01	1.202906e+00	0	8.321972e-01	2.331877e-01	4.804239e-02	1.712353e+00	2.074880e+00
TCGA-CN-5361-01A-01R-1436-07	7.742845e-02	0	1.370920e+00	4.036867e-02	1.448405e+00	4.834532e-01	4.265442e-02	0	0	1.611689e+00	3.367084e+00
TCGA-CN-5363-01A-01R-1436-07	5.383843e-01	0	1.985657e+00	0	9.740530e-01	0	0	0	0	1.356011e+00	3.571379e+00
TCGA-CN-5364-01A-01R-1436-07	5.241633e-01	0	1.596873e+00	6.048108e-01	6.694561e-01	2.278250e-02	4.403289e-01	3.739361e-01	2.071497e-01	1.807151e+00	2.661735e+00
TCGA-CN-5365-01A-01R-1436-07	6.543846e-03	0	1.887148e+00	9.623497e-01	2.986464e-01	4.507629e-01	1.425358e-01	0	0	1.559420e+00	4.116499e+00
TCGA-CN-5366-01A-01R-1436-07	3.995357e-01	7.031253e-03	1.645368e+00	5.103411e-01	9.451543e-01	0	2.237116e-01	0	0	1.427605e+00	4.034583e+00
TCGA-CN-5367-01A-01R-1436-07	4.841830e-01	8.610408e-02	1.601642e+00	4.859558e-01	8.194144e-01	4.800631e-01	2.552086e-01	0	0	1.482967e+00	3.675902e+00
TCGA-CN-5369-01A-01R-1436-07	0	3.674441e-01	2.328664e+00	1.102289e+00	8.531951e-01	5.844920e-01	1.604686e-02	6.470433e-01	0	1.558606e+00	3.287092e+00
TCGA-CN-5370-01A-01R-2016-07	6.411312e-01	7.814009e-02	2.086114e+00	6.991010e-01	1.310004e+00	4.385534e-01	3.803645e-02	1.434823e-01	0	1.497314e+00	3.486906e+00
TCGA-CN-5373-01A-01R-1436-07	3.750239e-01	0	1.949013e+00	1.336707e+00	1.205159e+00	4.193658e-01	4.711906e-03	2.312648e-02	0	9.837642e-01	3.668832e+00
TCGA-CN-5374-01A-01R-1436-07	3.951959e-01	7.835728e-03	1.855796e+00	5.475850e-01	5.887816e-01	3.110452e-01	2.037750e-01	5.265638e-01	9.277642e-01	2.089112e+00	1.249589e+00
