sampleID	D8.4_MIPS-UTX-MLL2-3-COMPLEX	D7.6_WEST-ADRENOCORTICAL-TUMOR-MARKERS-DN	D11.9_RUNNE-GENDER-EFFECT-UP	D9.3_MATHEW-FANCONI-ANEMIA-GENES	D11.8_REACTOME-BETA-DEFENSINS	D7.4_GAUTSCHI-SRC-SIGNALING	D11.11_NEUROPEPTIDE-HORMONE-ACTIVITY	D9.4_REACTOME-BETA-DEFENSINS	D9.1_MODULE-42
TCGA-QR-A705-01A-11R-A35K-07	1.078885e+00	9.895620e-02	8.109595e-01	4.039397e+00	3.095720e-01	2.355595e+00	0	1.463361e+00	1.599832e-01
TCGA-QR-A706-01A-11R-A35K-07	2.056561e+00	2.775344e-01	5.507372e-01	5.773620e-01	5.932214e-01	3.822892e+00	0	2.179187e+00	8.776094e-02
TCGA-QR-A707-01A-11R-A35K-07	1.519586e+00	1.167226e-01	3.107184e-01	2.059106e+00	3.030292e-02	1.558929e-01	1.101775e-01	1.347480e+00	4.118560e+00
TCGA-QR-A708-01A-11R-A35K-07	5.051751e-01	2.976726e-01	1.022577e-01	3.033609e+00	8.500781e-01	9.763075e-01	1.154307e+00	1.866774e+00	1.088879e+00
TCGA-QR-A70A-01A-11R-A35K-07	5.870840e-01	2.401741e-01	6.923701e-01	2.831148e+00	2.604094e-01	2.399587e+00	0	2.832757e+00	4.141302e-01
TCGA-QR-A70C-01A-21R-A35K-07	1.171634e+00	2.324418e-01	7.414772e-01	3.899177e-01	3.570593e+00	1.071164e+00	4.602605e-01	1.506536e+00	5.705772e-01
TCGA-QR-A70D-01A-11R-A35K-07	2.107860e+00	1.359996e-01	5.610701e-01	3.935633e+00	2.656911e-01	1.894076e+00	0	4.109132e-02	1.063425e+00
TCGA-QR-A70E-01A-11R-A35K-07	1.708636e+00	4.304220e-02	3.483597e-01	2.974837e+00	2.386117e-01	1.152124e+00	0	1.622342e+00	1.782428e+00
TCGA-QR-A70G-01B-11R-A35K-07	1.804644e+00	2.103206e+00	7.874928e-01	8.733128e-02	1.658228e+00	5.909518e-01	7.195046e-01	1.730582e+00	1.444891e+00
TCGA-QR-A70H-01A-12R-A35K-07	1.616274e+00	2.595250e-02	1.247342e-01	9.862336e-01	3.251100e+00	0	6.008782e-01	1.397100e+00	1.033791e+00
TCGA-QR-A70I-01A-11R-A35K-07	2.574173e+00	0	1.414384e+00	2.854243e+00	1.845163e-01	2.945105e+00	0	9.827704e-01	7.629926e-01
TCGA-QR-A70J-01A-11R-A35K-07	1.889750e+00	3.214263e-01	1.142494e+00	2.856568e-01	3.599908e-01	4.726398e+00	0	9.062835e-01	1.154595e+00
TCGA-QR-A70K-01A-12R-A35K-07	1.561047e+00	3.031078e-01	1.184456e+00	1.014234e+00	0	7.666379e-01	0	8.375826e-01	4.558996e+00
TCGA-QR-A70M-01A-11R-A35K-07	1.100251e+00	4.147161e-01	7.437526e-01	1.016228e+00	0	8.003806e-01	4.032136e-01	9.882881e-01	4.410064e+00
TCGA-QR-A70N-01A-12R-A35K-07	1.652928e+00	1.190046e-01	4.958467e-01	6.552009e-01	1.922248e-01	4.638029e+00	0	2.162299e+00	2.092280e-01
TCGA-QR-A70O-01A-11R-A35K-07	7.695767e-01	4.326231e-01	4.744381e-01	9.494104e-01	4.842291e-01	1.053183e+00	3.105475e-01	7.373878e-01	4.190605e+00
TCGA-QR-A70P-01A-11R-A35K-07	1.489115e+00	0	3.178546e-01	5.076519e+00	3.838040e-01	1.503607e+00	0	0	6.514432e-01
TCGA-QR-A70Q-01A-13R-A35K-07	1.111522e+00	1.785362e-01	1.110157e+00	4.179810e+00	3.135615e-01	2.587388e+00	0	1.149547e+00	2.695141e-02
TCGA-QR-A70R-01A-11R-A35K-07	1.089752e+00	3.748698e-01	7.356506e-01	4.783370e-01	1.564855e+00	1.000091e+00	0	2.412891e+00	1.617624e+00
TCGA-QR-A70T-01A-11R-A35K-07	9.916037e-01	0	6.806149e-01	3.852839e+00	2.816797e-01	1.622018e+00	0	1.782088e+00	1.306138e+00
TCGA-QR-A70U-01A-11R-A35K-07	1.500000e+00	2.902869e-01	9.289111e-01	1.444181e+00	3.293015e-01	7.209008e-01	7.720468e-02	6.676333e-01	4.284610e+00
TCGA-QR-A70V-01A-11R-A35K-07	9.837996e-01	1.373392e-01	2.503829e-01	3.028293e+00	0	0	0	7.107557e-01	4.357182e+00
TCGA-QR-A70W-01A-12R-A35K-07	8.425777e-01	3.046196e-01	6.220992e-01	1.536615e+00	0	5.466178e-01	3.008355e-02	7.441941e-01	4.963573e+00
