sampleID	D7.3_REACTOME-GLUCURONIDATION	D13.10_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D13.8_REACTOME-BETA-DEFENSINS	D11.10_RUNNE-GENDER-EFFECT-UP	D12.7_chr11q11	D9.1_MIPS-CF-IIAM-COMPLEX
TCGA-A6-6654-01A-21R-1839-07	3.329520e-01	2.294829e-01	1.821325e-01	1.140116e-02	2.770215e-02	3.300119e+00
TCGA-A6-6780-01A-11R-1839-07	1.192946e+00	0	0	1.086269e-01	0	2.120857e+00
TCGA-A6-6781-01A-22R-1928-07	0	1.096618e-01	3.709344e-01	1.038748e-01	8.469162e-01	2.114710e-01
TCGA-A6-6782-01A-11R-1839-07	7.003636e-01	2.046334e-01	0	9.570850e-02	0	4.245198e+00
TCGA-A6-A565-01A-31R-A28H-07	2.210920e+00	1.237649e-01	3.262359e-01	0	6.875579e-01	9.670913e-01
TCGA-A6-A566-01A-11R-A28H-07	7.329525e-01	6.371567e-02	0	1.271614e-02	0	2.342414e+00
TCGA-A6-A567-01A-31R-A28H-07	2.517659e-01	2.965729e-01	2.955080e-01	6.689402e-02	2.594330e-01	4.765875e+00
TCGA-A6-A56B-01A-31R-A28H-07	0	2.046682e-01	0	7.051375e-02	0	5.150620e+00
TCGA-A6-A5ZU-01A-11R-A28H-07	0	8.901640e-02	0	9.037310e-02	0	4.184478e+00
TCGA-AA-3489-11A-01R-1839-07	3.169940e+00	6.876929e-01	0	1.107592e-01	4.164479e-02	2.888708e-01
TCGA-AA-3489-01A-21R-1839-07	1.905449e-01	1.862931e-01	0	9.606708e-02	0	3.690682e+00
TCGA-AA-3492-01A-01R-1410-07	1.068321e+00	8.563879e-02	1.169489e-01	3.033032e-02	2.617088e-01	1.812022e+00
TCGA-AA-3495-01A-01R-1410-07	1.758403e+00	4.851480e-02	1.013011e-01	1.015316e-01	2.452725e-01	3.615920e+00
TCGA-AA-3496-11A-01R-1839-07	3.237239e+00	7.801726e-01	0	5.950469e-03	0	1.091003e+00
TCGA-AA-3496-01A-21R-1839-07	4.961192e-01	6.341455e-02	0	5.704671e-03	2.359648e-01	4.039482e+00
TCGA-AA-3502-01A-01R-1410-07	2.770313e-01	5.658621e-02	0	1.273457e-01	1.753118e+00	1.899340e+00
TCGA-AA-3506-01A-01R-1410-07	1.506439e+00	1.242041e-01	7.212820e-02	1.162510e-01	4.636996e-01	2.929648e+00
TCGA-AA-3509-01A-01R-1410-07	1.035009e+00	1.132761e-01	2.882547e-01	1.049350e-02	3.779532e-01	4.041228e+00
TCGA-AA-3511-11A-01R-1839-07	3.484781e+00	2.862251e-01	0	9.410096e-02	0	1.109480e+00
TCGA-AA-3511-01A-21R-1839-07	1.329259e+00	1.255403e-01	1.495491e-01	1.049574e-01	2.809386e-01	3.479925e+00
TCGA-AA-3514-11A-01R-A32Z-07	4.269982e+00	2.586345e-01	0	0	0	6.338295e-01
TCGA-AA-3516-11A-01R-A32Z-07	4.563225e+00	4.555902e-01	0	0	0	6.236100e-01
TCGA-AA-3517-11A-01R-A32Z-07	3.947436e+00	2.978965e-01	0	9.436073e-02	0	1.022661e+00
TCGA-AA-3518-11A-01R-1672-07	3.953483e+00	4.622357e-01	0	0	0	1.258610e+00
TCGA-AA-3520-11A-01R-A32Z-07	4.104205e+00	2.979870e-01	0	5.651405e-03	0	1.138068e+00
TCGA-AA-3522-11A-01R-A32Z-07	3.911543e+00	2.578298e-01	0	8.430608e-02	0	1.235742e+00
TCGA-AA-3525-11A-01R-A32Z-07	4.021899e+00	1.521753e-01	0	9.493640e-02	0	4.978988e-01
TCGA-AA-3526-01A-02R-A32Z-07	7.746171e-01	3.781001e-02	2.400037e-02	1.196179e-01	4.353758e-01	3.487186e+00
TCGA-AA-3527-11A-01R-A32Z-07	3.993816e+00	4.245949e-01	0	0	0	9.109270e-01
TCGA-AA-3531-11A-01R-A32Z-07	4.519031e+00	3.604218e-01	0	3.938124e-03	0	7.774792e-01
TCGA-AA-3534-11A-01R-A32Z-07	3.763882e+00	2.855919e-01	0	1.606632e-02	0	1.177665e+00
TCGA-AA-3655-11A-01R-1723-07	3.542865e+00	5.681605e-01	0	1.190513e-01	0	1.049929e+00
TCGA-AA-3655-01A-02R-1723-07	7.663851e-01	0	1.996923e-01	9.844397e-02	3.776541e-01	2.816002e+00
TCGA-AA-3660-11A-01R-1723-07	3.920237e+00	3.277837e-01	0	2.543168e-02	0	9.851354e-01
TCGA-AA-3660-01A-01R-1723-07	1.221984e+00	1.201180e-01	1.810826e-01	3.818832e-02	4.258587e-01	3.676819e+00
TCGA-AA-3662-11A-01R-1723-07	3.337223e+00	5.130648e-01	0	2.131734e-02	4.387004e-02	1.209737e+00
TCGA-AA-3662-01A-01R-1723-07	1.060487e+00	1.104648e-01	3.425527e-01	2.421709e-02	2.249287e-01	3.719777e+00
TCGA-AA-3663-11A-01R-1723-07	3.385886e+00	6.171012e-01	0	8.426311e-02	0	1.312644e+00
TCGA-AA-3663-01A-01R-1723-07	4.941530e-01	3.184555e-02	2.270402e-01	1.191027e-01	1.109981e+00	1.278474e+00
TCGA-AA-3675-01A-02R-0905-07	3.961691e-01	8.309335e-02	1.806654e-01	1.113432e-01	5.622300e-01	3.600643e+00
TCGA-AA-3685-01A-02R-A32Z-07	1.456959e+00	1.329301e-01	6.328587e-03	1.355297e-01	2.552829e-01	3.416644e+00
TCGA-AA-3697-11A-01R-1723-07	3.347517e+00	4.354699e-01	1.328787e-01	8.710356e-02	7.676021e-02	4.424027e-01
TCGA-AA-3697-01A-01R-1723-07	1.446374e+00	1.403929e-02	2.043722e-01	9.063276e-02	1.826145e-01	3.834246e+00
TCGA-AA-3712-11A-01R-1723-07	3.844597e+00	2.765634e-01	0	9.531999e-02	0	1.061318e+00
TCGA-AA-3712-01A-21R-1723-07	7.164188e-01	0	0	9.064684e-02	4.082844e-01	4.085566e+00
TCGA-AA-3713-11A-01R-1723-07	3.717549e+00	4.647200e-01	0	1.240164e-01	0	9.490384e-01
TCGA-AA-3713-01A-21R-1723-07	1.791443e+00	1.532457e-02	2.361654e-01	5.918915e-02	7.369670e-01	8.972920e-01
TCGA-AA-A01P-01A-21R-A083-07	0	2.500154e-01	1.127214e+00	4.679644e-03	0	6.859580e-01
TCGA-AA-A01X-01A-21R-A083-07	3.657088e-01	3.548281e-01	3.281229e-01	1.365685e-02	2.889172e-01	4.517210e+00
TCGA-AA-A01Z-01A-11R-A083-07	6.819817e-01	9.715408e-03	3.811477e-01	9.033365e-02	3.174469e-01	4.014393e+00
TCGA-AA-A02K-01A-03R-A32Y-07	1.109718e+00	1.065966e-02	1.646395e-01	1.291844e-01	0	4.295924e+00
TCGA-AA-A02Y-01A-43R-A32Y-07	1.425833e+00	0	3.431877e-01	5.354913e-02	1.178105e+00	2.666366e+00
TCGA-AD-5900-01A-11R-1653-07	4.964158e-02	2.960871e-01	1.097552e+00	9.133790e-02	1.716416e-01	6.828198e-01
TCGA-AD-6548-01A-11R-1839-07	1.266911e+00	8.167035e-02	2.539779e-01	0	5.741821e-02	3.212149e+00
TCGA-AD-6888-01A-11R-1928-07	1.326992e+00	2.841445e-02	6.983734e-01	8.561643e-02	6.363959e-02	4.461513e+00
TCGA-AD-6889-01A-11R-1928-07	9.143725e-02	6.653919e-03	6.113846e-01	1.057412e-01	8.797996e-01	1.437770e+00
TCGA-AD-6890-01A-11R-1928-07	9.439380e-01	0	0	1.100093e-01	1.479776e-02	3.837529e+00
TCGA-AD-6895-01A-11R-1928-07	1.269421e-02	1.683492e-01	1.464761e+00	8.291151e-02	7.562904e-02	7.453183e-01
TCGA-AD-6899-01A-11R-1928-07	9.274279e-01	1.236105e-01	9.808598e-02	8.833068e-02	2.918533e-01	3.021200e+00
