sampleID	D7.3_REACTOME-GLUCURONIDATION	D13.10_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D13.8_REACTOME-BETA-DEFENSINS	D11.10_RUNNE-GENDER-EFFECT-UP	D12.7_chr11q11	D9.1_MIPS-CF-IIAM-COMPLEX
TCGA-CM-6679-01A-11R-1839-07	5.539457e-01	2.362145e-01	0	7.493860e-02	0	4.962256e+00
TCGA-CM-6680-01A-11R-1839-07	5.380152e-01	1.283381e-01	0	1.188502e-02	1.182058e+00	2.542217e+00
TCGA-D5-5537-01A-21R-1928-07	5.174951e-01	7.399737e-02	0	9.591024e-02	7.000409e-02	4.572200e+00
TCGA-D5-5538-01A-01R-1653-07	4.878407e-01	1.062010e-01	2.375138e-01	9.418563e-03	0	3.400922e+00
TCGA-D5-5539-01A-01R-1653-07	9.121976e-01	1.315297e-01	1.663171e-01	8.796195e-02	1.096756e+00	2.183285e+00
TCGA-D5-5540-01A-01R-1653-07	0	1.634387e-01	0	1.319960e-01	0	5.618308e+00
TCGA-D5-5541-01A-01R-1653-07	3.263640e-01	1.633064e-01	0	9.420633e-02	0	4.921602e+00
TCGA-D5-6529-01A-11R-1774-07	5.754776e-01	2.483452e-02	3.353623e-01	9.061158e-02	0	3.338256e+00
TCGA-D5-6530-01A-11R-1723-07	6.570197e-01	0	1.235937e-01	1.029941e-01	1.249409e+00	1.002977e+00
TCGA-D5-6531-01A-11R-1723-07	0	1.180513e-01	1.211540e-01	6.826935e-02	5.869111e-02	3.136749e+00
TCGA-D5-6532-01A-11R-1723-07	3.327485e-01	4.143952e-02	0	7.323008e-02	0	5.382847e+00
TCGA-D5-6533-01A-11R-1723-07	6.210124e-01	5.063754e-02	0	0	0	5.241718e+00
TCGA-D5-6534-01A-21R-1928-07	1.165017e+00	2.683882e-01	4.995218e-01	1.045270e-02	0	1.610361e+00
TCGA-D5-6535-01A-11R-1723-07	1.003640e+00	5.150307e-05	8.555503e-01	0	5.255690e-02	3.020989e+00
TCGA-D5-6536-01A-11R-1723-07	0	1.242547e-01	0	1.190427e-01	1.309462e+00	2.640536e+00
TCGA-D5-6537-01A-11R-1723-07	2.852929e-01	0	5.527637e-01	1.003872e-01	7.945223e-03	4.623297e+00
TCGA-D5-6538-01A-11R-1723-07	0	2.605596e-01	0	0	3.188221e-01	5.016529e+00
TCGA-D5-6539-01A-11R-1723-07	2.595430e+00	7.595170e-02	1.925397e-01	0	4.672559e-01	1.857243e+00
TCGA-D5-6540-01A-11R-1723-07	0	1.288691e-02	1.227994e+00	7.987635e-02	5.350686e-01	4.223702e-01
TCGA-D5-6541-01A-11R-1723-07	4.605439e-01	7.952799e-02	2.452347e-01	1.085561e-01	0	3.217638e+00
TCGA-D5-6898-01A-11R-1928-07	6.612518e-01	2.676019e-01	0	0	0	4.533117e+00
TCGA-D5-6920-01A-11R-1928-07	2.198628e+00	0	1.504122e-01	0	5.864827e-01	2.377092e+00
TCGA-D5-6922-01A-11R-1928-07	7.652927e-01	2.895492e-01	0	6.627333e-02	0	4.220572e+00
TCGA-D5-6923-01A-11R-A32Z-07	6.934725e-02	4.910806e-02	4.497888e-02	6.228628e-02	0	4.671899e+00
TCGA-D5-6924-01A-11R-1928-07	2.268778e-01	1.511220e-01	0	7.158576e-02	0	4.726508e+00
TCGA-D5-6926-01A-11R-1928-07	9.328036e-02	1.454945e-01	0	7.626030e-02	0	4.492472e+00
TCGA-D5-6927-01A-21R-1928-07	4.143400e-01	4.299196e-02	4.027224e-01	9.590896e-02	2.888967e-01	1.726207e+00
TCGA-D5-6928-01A-11R-1928-07	7.898019e-01	1.055292e-01	3.967106e-01	9.780371e-02	1.598065e-01	6.361860e-01
TCGA-D5-6929-01A-31R-1928-07	4.748098e-01	6.379263e-02	0	3.101424e-02	0	4.919926e+00
TCGA-D5-6930-01A-11R-1928-07	2.291335e-01	1.408289e-01	2.421227e-01	1.104980e-01	1.082660e+00	6.061390e-01
TCGA-D5-6931-01A-11R-1928-07	1.173832e+00	0	4.581537e-01	8.352111e-02	4.090832e-01	2.085376e+00
TCGA-D5-6932-01A-11R-1928-07	1.520015e-02	1.684382e-01	0	1.107526e-01	2.227197e-01	4.346443e+00
TCGA-D5-7000-01A-11R-A32Z-07	6.850524e-01	1.080404e-01	5.698913e-01	0	3.708804e-01	2.231431e+00
TCGA-DM-A0X9-01A-11R-A155-07	4.864092e-01	4.908461e-02	0	0	6.573554e-01	4.052452e+00
TCGA-DM-A0XD-01A-12R-A155-07	2.321266e-01	9.648208e-03	1.102339e+00	1.217337e-01	0	3.241737e+00
TCGA-DM-A0XF-01A-11R-A155-07	3.335900e-01	1.136932e-01	2.985283e-01	1.344463e-02	0	4.792621e+00
TCGA-DM-A1D0-01A-11R-A155-07	6.763510e-01	7.635592e-02	5.457111e-01	2.924936e-03	0	5.306912e+00
TCGA-DM-A1D4-01A-21R-A155-07	8.240555e-01	0	0	8.704192e-02	7.346118e-01	4.027602e+00
TCGA-DM-A1D6-01A-21R-A155-07	0	6.346837e-02	8.940583e-02	3.967250e-02	1.696618e+00	2.716344e+00
TCGA-DM-A1D7-01A-11R-A155-07	9.903692e-01	1.122354e-01	3.559710e-01	7.754529e-02	2.887323e-01	3.660474e+00
TCGA-DM-A1D8-01A-11R-A155-07	0	1.797616e-01	2.340793e-01	1.124620e-02	2.601762e-01	4.269391e+00
TCGA-DM-A1D9-01A-11R-A155-07	0	1.241900e-01	2.645284e-01	1.958664e-03	5.266040e-01	4.294152e+00
TCGA-DM-A1DA-01A-11R-A155-07	0	4.327160e-02	3.186160e-01	2.081054e-02	1.888662e-01	3.186449e+00
TCGA-DM-A1DB-01A-11R-A155-07	5.781030e-01	6.048803e-02	0	7.200455e-02	0	5.502625e+00
TCGA-DM-A1HA-01A-11R-A155-07	0	8.468406e-02	8.373813e-01	1.290591e-01	0	3.454782e+00
TCGA-DM-A1HB-01A-21R-A180-07	9.014264e-02	3.834967e-02	1.470305e+00	9.756325e-02	5.799911e-01	5.653628e-01
TCGA-DM-A280-01A-12R-A16W-07	8.713338e-01	8.385458e-02	9.388997e-01	1.651692e-02	4.132028e-01	2.255216e+00
TCGA-DM-A282-01A-12R-A16W-07	4.207584e-01	1.853983e-01	0	2.337430e-02	1.330907e-01	5.309549e+00
TCGA-DM-A285-01A-11R-A16W-07	6.703156e-01	1.729009e-01	4.948953e-01	7.397186e-03	1.636901e-01	3.528649e+00
TCGA-DM-A288-01A-11R-A16W-07	3.500964e-01	5.483067e-02	6.121590e-01	8.527513e-02	2.095355e-01	3.523793e+00
TCGA-DM-A28A-01A-21R-A32Y-07	0	3.960745e-02	0	1.059908e-01	4.823557e-02	4.541850e+00
TCGA-DM-A28C-01A-11R-A32Y-07	7.795667e-02	3.661042e-02	0	9.611295e-02	3.102381e-01	5.022363e+00
TCGA-DM-A28E-01A-11R-A32Y-07	2.759479e-01	9.061221e-03	0	0	3.553067e-01	5.607466e+00
TCGA-DM-A28F-01A-11R-A32Y-07	9.241179e-01	0	3.206922e-01	5.499917e-02	0	4.658745e+00
TCGA-DM-A28G-01A-11R-A16W-07	6.498511e-01	1.217215e-01	2.227517e-01	1.008510e-01	5.919503e-01	4.022649e+00
TCGA-DM-A28H-01A-11R-A16W-07	8.852553e-01	8.104629e-02	0	6.034277e-02	0	4.924599e+00
TCGA-DM-A28K-01A-21R-A32Y-07	0	1.326884e-02	2.443993e-01	1.210104e-01	2.062471e+00	1.271783e+00
TCGA-DM-A28M-01A-12R-A16W-07	5.992683e-01	1.449401e-02	4.216372e-01	8.403577e-02	7.483350e-01	3.285338e+00
TCGA-F4-6459-01A-11R-1774-07	1.010426e+00	3.962863e-01	0	0	0	4.372564e+00
TCGA-F4-6460-01A-11R-1774-07	7.584448e-01	4.353602e-01	0	1.469882e-02	3.690630e-01	3.890528e+00
TCGA-F4-6461-01A-11R-1774-07	5.046370e-01	2.510313e-01	1.466139e-01	6.542163e-03	1.016878e+00	1.858137e+00
TCGA-F4-6463-01A-11R-1723-07	6.651309e-02	2.344889e-01	6.655104e-03	8.833241e-02	2.043994e-01	4.082762e+00
TCGA-F4-6569-01A-11R-1774-07	1.185416e-01	1.959519e-01	0	1.088215e-01	0	2.606756e+00
TCGA-F4-6570-01A-11R-1774-07	2.365645e-01	8.966349e-02	7.550276e-01	1.867251e-03	0	8.079882e-01
TCGA-F4-6703-01A-11R-1839-07	0	1.553532e-01	9.405491e-01	8.806085e-02	0	1.143565e+00
TCGA-F4-6704-11A-01R-1839-07	2.921859e+00	5.937600e-01	0	7.887007e-02	9.139019e-02	1.174915e+00
TCGA-F4-6704-01A-11R-1839-07	0	4.156164e-01	0	1.044731e-01	7.649268e-01	1.624537e+00
TCGA-F4-6805-01A-11R-1839-07	9.122526e-01	2.972043e-01	4.104637e-01	0	3.570956e-01	2.569193e+00
TCGA-F4-6806-01A-11R-1839-07	7.969055e-01	1.416636e-01	3.201466e-01	9.427712e-03	8.793458e-01	3.208484e+00
TCGA-F4-6807-01A-11R-1839-07	1.795150e-01	3.378621e-01	2.334010e-01	0	2.863764e-01	3.234361e+00
TCGA-F4-6808-01A-11R-1839-07	8.472533e-01	1.185589e-01	7.026531e-02	8.438813e-03	3.714532e-01	4.791558e+00
TCGA-F4-6809-01A-11R-1839-07	7.443664e-01	4.709638e-01	3.594215e-01	1.695183e-02	3.354057e-02	3.439159e+00
TCGA-F4-6854-01A-11R-1928-07	8.208621e-01	2.606800e-01	0	0	2.511983e-01	4.329428e+00
TCGA-F4-6855-01A-11R-1928-07	0	1.638508e-01	0	1.533021e-02	5.677128e-01	3.523088e+00
TCGA-F4-6856-01A-11R-1928-07	3.847495e-01	9.972884e-02	2.292166e-01	1.013324e-01	1.295758e+00	9.493185e-01
TCGA-G4-6293-01A-11R-1723-07	1.477918e+00	0	4.871000e-01	0	1.718565e-01	3.425022e+00
TCGA-G4-6294-01A-11R-1774-07	2.822187e-01	7.871939e-02	1.787330e-02	5.892704e-02	1.547423e-01	5.332978e+00
TCGA-G4-6295-01A-11R-1723-07	2.329657e-01	2.267997e-02	0	0	1.296002e-01	4.017634e+00
TCGA-G4-6297-01A-11R-1723-07	9.402974e-01	1.133114e-01	3.473815e-01	0	1.156538e-01	3.481186e+00
TCGA-G4-6298-01A-11R-1723-07	0	1.802952e-01	2.256599e-01	1.263241e-01	0	5.226510e+00
TCGA-G4-6299-01A-11R-1774-07	0	1.486050e-01	8.127951e-01	8.637070e-02	0	1.986861e+00
TCGA-G4-6302-01A-11R-1723-07	3.856182e-01	5.936056e-01	6.631404e-01	0	1.626796e-01	1.142906e+00
TCGA-G4-6303-01A-11R-1774-07	5.888884e-01	2.281139e-01	5.734246e-02	0	0	4.839653e+00
TCGA-G4-6304-01A-11R-1928-07	2.501068e-01	0	3.408998e-01	2.119559e-02	0	3.514880e+00
TCGA-G4-6306-01A-11R-1774-07	1.984521e+00	0	4.676847e-01	1.083696e-01	9.457881e-02	3.512080e+00
TCGA-G4-6307-01A-11R-1723-07	7.581854e-01	1.657963e-01	1.205990e-01	1.686431e-02	0	5.659148e+00
TCGA-G4-6309-01A-21R-1839-07	1.035853e+00	2.946624e-02	7.667846e-01	3.338167e-04	5.100868e-01	1.707552e+00
TCGA-G4-6310-01A-11R-1723-07	9.229129e-02	6.992722e-01	0	7.969539e-02	0	5.255357e+00
TCGA-G4-6311-01A-11R-1723-07	1.228281e+00	9.444942e-03	2.035965e-01	7.438471e-02	0	3.679297e+00
TCGA-G4-6314-01A-11R-1723-07	0	3.841328e-01	0	0	0	4.482066e+00
TCGA-G4-6315-01A-11R-1723-07	1.542467e+00	3.808307e-02	1.500649e-02	6.436321e-02	4.925356e-01	4.078720e+00
TCGA-G4-6317-01A-11R-1723-07	3.257359e-01	1.443720e-01	4.011290e-02	3.471097e-02	0	6.103281e+00
TCGA-G4-6317-02A-11R-2066-07	7.110923e-01	1.015305e-01	1.399512e-01	8.438277e-03	0	5.447434e+00
TCGA-G4-6320-01A-11R-1723-07	4.044823e-01	5.542927e-02	2.731879e-01	1.281872e-01	1.211881e+00	2.498450e+00
TCGA-G4-6321-01A-11R-1723-07	3.313901e+00	6.520320e-02	1.032141e+00	0	3.639389e-01	0
TCGA-G4-6322-01A-11R-1723-07	4.019761e-01	7.396966e-02	0	1.006730e-01	1.500479e+00	2.123552e+00
TCGA-G4-6323-01A-11R-1723-07	1.162533e+00	9.671667e-02	3.997299e-01	9.884998e-02	8.674367e-01	2.682619e+00
TCGA-G4-6586-01A-11R-1774-07	9.319670e-01	0	9.823495e-01	5.445701e-03	1.251167e-01	1.265742e+00
TCGA-G4-6588-01A-11R-1774-07	3.281417e-02	0	8.760816e-01	0	7.510855e-01	7.879491e-01
TCGA-G4-6625-01A-21R-1774-07	1.518127e+00	1.683583e-01	0	0	1.344422e-01	3.277700e+00
TCGA-G4-6626-01A-11R-1774-07	4.455470e-01	0	2.465950e-02	4.314173e-02	2.018872e-01	4.873376e+00
TCGA-G4-6627-01A-11R-1774-07	1.837736e+00	3.176531e-01	3.337690e-01	8.806360e-02	3.254205e-01	2.437071e+00
TCGA-G4-6628-01A-11R-1839-07	7.413852e-01	1.316135e-01	4.754494e-01	6.935696e-02	1.038796e-01	6.225891e-01
TCGA-NH-A50T-01A-11R-A28H-07	4.828558e-01	0	2.375915e-01	0	0	5.372886e+00
TCGA-NH-A50U-01A-33R-A37K-07	4.740254e-01	9.115416e-02	4.784156e-01	1.102953e-01	0	3.681088e+00
TCGA-NH-A50V-01A-11R-A28H-07	2.230860e-02	9.053628e-02	4.725443e-01	8.454770e-02	1.757291e-01	3.153731e+00
TCGA-NH-A5IV-01A-42R-A37K-07	2.778434e-01	9.315641e-03	1.104197e-01	8.435512e-03	4.442160e-01	1.824149e+00
TCGA-NH-A6GA-01A-11R-A37K-07	5.324771e-01	1.449929e-01	6.541747e-01	8.027021e-02	0	3.181165e+00
TCGA-NH-A6GB-01A-11R-A37K-07	7.066274e-01	0	8.244538e-01	0	1.004331e-01	3.577981e+00
TCGA-NH-A6GC-01A-12R-A41B-07	0	2.021343e-01	3.249582e-03	1.438376e-02	1.095376e+00	2.773878e+00
TCGA-NH-A8F7-06A-31R-A41B-07	1.036600e+00	5.248356e-02	0	0	0	5.606693e+00
TCGA-NH-A8F7-01A-11R-A41B-07	4.363436e-01	2.322550e-01	0	0	0	6.216143e+00
TCGA-NH-A8F8-01A-72R-A41B-07	1.733708e-02	2.610213e-01	1.578825e-01	7.783482e-02	0	4.859449e+00
TCGA-QG-A5YV-01A-11R-A28H-07	5.569842e-01	2.846840e-02	2.062751e-01	2.888493e-03	4.929603e-01	4.406916e+00
TCGA-QG-A5YW-01A-11R-A28H-07	1.308768e+00	2.659515e-02	4.529418e-01	1.367644e-02	2.893709e-01	2.895278e+00
TCGA-QG-A5YX-01A-11R-A28H-07	2.158309e+00	0	3.447279e-01	0	2.313025e-01	3.035929e+00
TCGA-QG-A5Z1-01A-11R-A28H-07	6.038234e-01	3.048795e-01	2.193531e-02	4.947321e-02	0	4.757620e+00
TCGA-QG-A5Z2-01A-11R-A28H-07	1.283454e+00	0	3.397642e-01	8.380732e-02	9.412808e-01	1.476685e+00
TCGA-QL-A97D-01A-12R-A41B-07	9.491051e-01	1.795421e-02	3.406260e-01	0	2.481476e-01	3.737239e+00
TCGA-RU-A8FL-01A-11R-A37K-07	3.321329e-01	0	8.056030e-04	5.311143e-02	0	5.976737e+00
TCGA-SS-A7HO-01A-21R-A37K-07	0	2.417447e-02	0	0	0	5.915565e+00
TCGA-T9-A92H-01A-11R-A37K-07	1.194090e+00	0	3.775470e-01	4.357411e-02	0	4.566535e+00
TCGA-WS-AB45-01A-11R-A41B-07	0	2.202931e-01	0	0	2.513896e-01	8.350719e-01
