sampleID	D6.6_GNF2-SPRR1B	D8.5_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D8.2_MODULE-103	D7.2_RUNNE-GENDER-EFFECT-UP	D6.2_NIKOLSKY-BREAST-CANCER-7P15-AMPLICON
TCGA-D3-A2JG-06A-11R-A18T-07	2.527869e-02	6.407110e-01	2.193364e+00	2.882131e+00	1.309710e+00
TCGA-D3-A2JH-06A-11R-A18T-07	0	2.108240e+00	1.005395e+00	1.852705e+00	1.416885e+00
TCGA-D3-A2JK-06A-11R-A18S-07	4.693485e-01	8.778388e-01	4.542198e+00	3.887921e-01	1.477979e+00
TCGA-D3-A2JL-06A-11R-A18S-07	6.232840e-02	1.825095e+00	2.760670e+00	2.443684e+00	0
TCGA-D3-A2JN-06A-11R-A18S-07	2.933225e-01	1.216357e+00	1.204871e+00	1.930764e+00	5.243534e+00
TCGA-D3-A2JO-06A-11R-A18S-07	0	1.676733e+00	2.168879e+00	3.131054e+00	1.297337e+00
TCGA-D3-A2JP-06A-11R-A18S-07	3.403059e-01	1.585737e+00	1.085742e+00	1.483093e+00	2.789604e+00
TCGA-D3-A3BZ-06A-12R-A18S-07	3.099409e-01	1.996698e+00	2.659622e+00	2.225983e+00	1.795074e+00
TCGA-D3-A3C1-06A-12R-A18S-07	1.120810e-01	9.702311e-01	2.625743e+00	1.955222e+00	3.214809e+00
TCGA-D3-A3C3-06A-12R-A18S-07	0	1.327747e+00	1.490427e+00	2.029595e+00	2.162991e+00
TCGA-D3-A3C6-06A-12R-A18U-07	0	6.889245e-01	7.794992e-01	1.419895e+00	3.592786e+00
TCGA-D3-A3C7-06A-11R-A18U-07	1.407225e-01	1.215365e+00	1.371234e+00	2.139377e+00	5.061157e+00
TCGA-D3-A3C8-06A-12R-A18S-07	5.725341e-01	2.231150e+00	1.486571e+00	3.542645e+00	1.193082e+00
TCGA-D3-A3CB-06A-11R-A18S-07	4.283182e-02	2.406262e+00	1.318844e+00	2.300130e+00	1.749743e+00
TCGA-D3-A3CC-06A-11R-A18S-07	6.413741e-01	1.015447e+00	1.608882e+00	2.481360e+00	1.274090e+00
TCGA-D3-A3CE-06A-11R-A18S-07	1.473625e-01	1.809862e+00	1.114458e-01	1.673399e+00	2.993715e+00
TCGA-D3-A3CF-06A-11R-A18T-07	1.265675e-01	2.061979e+00	2.330515e+00	2.757833e+00	8.879870e-01
TCGA-D3-A3ML-06A-11R-A21D-07	0	6.840594e-03	1.788387e+00	3.603135e+00	3.667998e-01
TCGA-D3-A3MO-06A-11R-A21D-07	1.724558e-02	1.169053e-01	6.947167e-01	1.766555e+00	5.277198e+00
TCGA-D3-A3MR-06A-11R-A21D-07	4.011433e-02	2.268480e+00	1.483621e+00	1.281995e+00	2.300722e+00
TCGA-D3-A3MU-06A-11R-A21D-07	1.263248e-01	1.449326e+00	2.366186e+00	2.106012e+00	1.703644e+00
