sampleID	D7.5_VALK-AML-CLUSTER-5	D8.3_ROSS-AML-WITH-PML-RARA-FUSION	D8.1_NIKOLSKY-BREAST-CANCER-7P15-AMPLICON	D8.4_VALK-AML-CLUSTER-10	D9.7_SCHAEFFER-PROSTATE-DEVELOPMENT-AND-CANCER-BOX6-UP	D8.2_TCGA-GLIOBLASTOMA-MUTATED	D9.9_RUNNE-GENDER-EFFECT-UP
TCGA-AB-2849-03A-01T-0734-13	6.633281e-01	2.765754e-04	1.270298e+00	1.802266e+00	1.674066e+00	3.458026e+00	5.565656e-01
TCGA-AB-2851-03A-01T-0736-13	2.685428e+00	5.031865e-01	3.568059e+00	1.295727e+00	0	1.025111e+00	1.794318e-03
TCGA-AB-2853-03A-01T-0734-13	1.052710e+00	0	5.402234e+00	0	0	2.556783e+00	5.648440e-01
TCGA-AB-2854-03A-01T-0734-13	2.015613e+00	4.701384e-01	1.222681e+00	1.397469e+00	1.798695e+00	1.501058e+00	2.746360e-05
TCGA-AB-2855-03A-01T-0736-13	1.063810e+00	2.338454e-01	1.984829e+00	6.289806e-01	0	3.406490e+00	5.796360e-01
TCGA-AB-2856-03A-01T-0736-13	1.992974e+00	1.058177e+00	2.378177e+00	1.166992e+00	0	6.900145e-01	4.908116e-01
TCGA-AB-2857-03A-01T-0736-13	1.242049e+00	1.206236e+00	8.204939e-01	2.093295e+00	2.253887e+00	1.220935e+00	5.850954e-01
TCGA-AB-2858-03A-01T-0736-13	9.071341e-01	2.319477e+00	0	7.991482e-01	3.990572e-01	4.050174e+00	0
TCGA-AB-2859-03A-01T-0736-13	1.246263e+00	4.113794e-01	3.504588e+00	1.746651e+00	5.183978e-01	1.356757e+00	5.311157e-01
TCGA-AB-2860-03A-01T-0736-13	1.742377e+00	9.973089e-01	1.368572e+00	1.860378e+00	1.499921e+00	1.547797e+00	6.251887e-02
TCGA-AB-2861-03A-01T-0736-13	1.987881e+00	1.872828e-01	3.217010e+00	1.028556e-03	4.302762e-01	3.842650e-01	5.845857e-01
TCGA-AB-2862-03A-01T-0736-13	3.900714e-01	5.900339e+00	2.272297e-01	6.288624e-01	9.317907e-01	8.777068e-01	0
TCGA-AB-2863-03A-01T-0734-13	9.386359e-01	7.319422e-01	2.077338e+00	7.503477e-01	8.389599e-01	3.351175e+00	5.756906e-01
TCGA-AB-2865-03A-01T-0736-13	2.129999e+00	8.661007e-01	0	3.352854e+00	9.181792e-02	2.566744e+00	5.236434e-01
TCGA-AB-2866-03A-01T-0736-13	2.430567e+00	3.878803e-01	2.488364e+00	8.652342e-01	0	1.247379e+00	4.802789e-01
TCGA-AB-2867-03A-01T-0734-13	1.656147e+00	7.173724e-01	1.284514e+00	4.113386e-01	7.932024e-01	4.016083e+00	0
TCGA-AB-2868-03A-01T-0736-13	1.263504e+00	1.398425e+00	1.046312e+00	2.209027e+00	1.706973e+00	1.279828e+00	5.661284e-01
TCGA-AB-2869-03A-01T-0735-13	6.777648e-01	1.164176e+00	4.562310e+00	1.295437e+00	6.533703e-01	1.113485e+00	0
TCGA-AB-2870-03A-01T-0735-13	2.150601e+00	1.900580e+00	0	2.377970e+00	0	2.885480e+00	4.957194e-01
TCGA-AB-2871-03A-01T-0735-13	6.892472e-01	7.805093e-01	3.170519e+00	1.864722e+00	7.970348e-01	1.166781e+00	5.284044e-01
TCGA-AB-2872-03A-01T-0735-13	6.332353e-01	4.523037e+00	5.790985e-01	0	1.406787e+00	9.931795e-01	5.719066e-01
TCGA-AB-2873-03A-01T-0735-13	2.870619e+00	3.355634e-01	2.732924e+00	5.602718e-01	1.529237e+00	7.633113e-01	0
TCGA-AB-2874-03A-01T-0735-13	1.165379e+00	2.556289e+00	7.240731e-01	1.757465e-01	0	3.755513e+00	5.929408e-01
TCGA-AB-2875-03A-01T-0735-13	1.126679e+00	1.792400e+00	0	1.069246e+00	0	4.229433e+00	3.232500e-01
TCGA-AB-2877-03A-01T-0735-13	3.004349e-01	2.316257e+00	5.001102e+00	1.951406e-01	5.136502e-01	7.265426e-01	0
TCGA-AB-2879-03A-01T-0735-13	2.657361e-01	2.362280e+00	5.556815e+00	7.503756e-01	1.018793e-01	6.589412e-01	0
TCGA-AB-2880-03A-01T-0735-13	1.658431e+00	1.086885e+00	6.515323e-02	5.819819e-02	0	4.683756e+00	5.032044e-01
TCGA-AB-2881-03A-01T-0735-13	1.950120e+00	1.974753e+00	6.111540e-02	2.127376e+00	0	3.339763e+00	0
TCGA-AB-2882-03A-01T-0740-13	1.565881e+00	1.712616e+00	6.682712e-01	2.536332e+00	1.523565e+00	1.700759e+00	0
TCGA-AB-2884-03A-01T-0735-13	2.286339e+00	4.585587e-01	3.899764e+00	8.033457e-01	2.543487e-01	1.156895e+00	0
TCGA-AB-2885-03A-01T-0735-13	8.403243e-01	7.202340e-01	9.952580e-01	3.912183e+00	4.980702e-01	1.859186e+00	6.000522e-01
TCGA-AB-2886-03A-01T-0735-13	7.181763e-01	1.863820e+00	0	7.253352e-01	0	4.799743e+00	2.692227e-01
TCGA-AB-2887-03A-01T-0735-13	8.277244e-01	7.037102e-01	7.195415e-01	3.357119e+00	1.011138e+00	2.337271e+00	1.021597e-02
TCGA-AB-2888-03B-01T-0748-13	2.847314e+00	1.314834e+00	2.918166e-01	1.025673e+00	1.013844e-01	2.996185e+00	4.642849e-01
TCGA-AB-2889-03A-01T-0735-13	1.933749e+00	2.138356e+00	0	1.747931e+00	0	3.291718e+00	5.071641e-01
TCGA-AB-2890-03A-01T-0735-13	1.885513e+00	5.816362e-02	0	3.275463e+00	3.589666e-01	2.992100e+00	4.865784e-01
TCGA-AB-2891-03A-01T-0735-13	1.724512e+00	3.928912e-01	4.906157e-01	1.397161e+00	2.937046e-01	3.096734e+00	5.818714e-01
TCGA-AB-2895-03A-01T-0735-13	4.593697e-01	1.059649e+00	5.102429e+00	1.627559e+00	1.982854e-02	1.220718e+00	1.425093e-02
TCGA-AB-2896-03B-01T-0751-13	1.263521e+00	8.061485e-01	4.505042e+00	1.309106e+00	0	1.587345e+00	0
TCGA-AB-2897-03A-01T-0735-13	5.631222e-01	5.923841e+00	6.487478e-01	0	1.157820e+00	7.492513e-01	0
TCGA-AB-2898-03A-01T-0735-13	1.318018e+00	1.996715e+00	1.446412e+00	1.964397e+00	1.465712e+00	1.202707e+00	0
TCGA-AB-2899-03A-01T-0736-13	2.015170e+00	3.443842e-01	3.608024e-01	2.763149e+00	1.152717e+00	1.997629e+00	1.050247e-03
TCGA-AB-2900-03A-01T-0735-13	2.055176e+00	6.750824e-01	3.848082e+00	3.079718e-01	5.742436e-02	9.597288e-01	5.862616e-01
TCGA-AB-2901-03A-01T-0735-13	1.119851e+00	1.680933e+00	1.585401e+00	1.808530e+00	2.476979e-01	2.610731e+00	6.320029e-01
TCGA-AB-2903-03A-01T-0734-13	4.610826e-01	1.049781e+00	5.688670e+00	3.560423e-01	1.903265e-01	1.817263e+00	0
TCGA-AB-2904-03A-01T-0734-13	6.630233e-01	6.907554e-01	1.409800e+00	2.887269e+00	9.526114e-01	1.989576e+00	5.602998e-01
