sampleID	D9.9_PHOTOTRANSDUCTION	D9.7_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D8.5_ACTIN-FILAMENT-BASED-MOVEMENT	D11.2_GNF2-GLTSCR2	D8.3_GCM-MAX	D9.6_chr6p	D9.2_REACTOME-BETA-DEFENSINS
TCGA-VD-A8KB-01A-11R-A405-07	0	0	1.609992e+00	2.332353e+00	1.285507e+00	2.202629e+00	4.580968e-01
TCGA-VD-A8KD-01A-11R-A405-07	0	1.321875e+00	3.536495e-01	2.185023e+00	2.206828e+00	0	3.356413e+00
TCGA-VD-A8KE-01A-11R-A405-07	1.669538e-04	3.150834e-01	1.761387e+00	2.526884e+00	2.344678e+00	1.117301e-02	3.341092e-01
TCGA-VD-A8KF-01A-11R-A405-07	0	4.380779e-01	1.875839e-01	2.745156e+00	3.003028e+00	0	3.073819e+00
TCGA-VD-A8KG-01A-11R-A405-07	0	6.584976e-01	1.994248e+00	0	5.243999e-01	1.428121e+00	9.620150e-01
TCGA-VD-A8KH-01A-11R-A405-07	2.977698e-01	8.948121e-03	2.792056e+00	3.071194e+00	2.773938e+00	0	1.803717e+00
TCGA-VD-A8KI-01A-11R-A405-07	0	5.148156e-01	7.786956e-01	5.943887e-01	2.814128e-01	4.842998e-02	4.450778e+00
TCGA-VD-A8KJ-01A-11R-A405-07	2.120529e-01	1.339263e-01	1.469351e+00	2.296261e+00	1.930913e+00	1.150852e+00	1.597098e+00
TCGA-VD-A8KK-01A-11R-A405-07	0	5.475641e-01	3.746877e-01	3.013321e+00	1.391346e+00	0	3.179457e+00
TCGA-VD-A8KL-01A-11R-A405-07	0	0	3.237759e-01	7.015995e-01	1.068874e+00	4.561799e-01	2.855509e+00
TCGA-VD-A8KM-01A-11R-A405-07	0	1.821329e+00	0	4.692811e-01	7.800260e-01	6.894375e-01	4.008152e+00
TCGA-VD-A8KN-01A-11R-A405-07	0	9.885431e-01	3.729172e-01	6.092107e-01	1.533884e+00	5.936404e-01	3.272593e+00
TCGA-VD-A8KO-01A-11R-A405-07	0	0	2.441956e+00	2.006285e+00	3.461608e+00	8.444815e-02	6.281853e-01
TCGA-VD-AA8M-01A-11R-A405-07	8.097198e-02	3.688165e-01	1.757749e+00	3.172151e+00	2.091370e+00	0	1.946505e-01
TCGA-VD-AA8N-01A-11R-A405-07	2.364533e-01	7.596141e-01	0	2.264551e+00	6.191758e-01	0	4.262007e+00
TCGA-VD-AA8O-01A-11R-A405-07	0	9.364796e-01	0	2.184362e+00	9.343991e-01	1.924899e-01	3.547102e+00
TCGA-VD-AA8P-01A-11R-A405-07	2.234854e-01	0	9.117239e-02	2.555602e+00	1.920924e+00	4.438883e-01	2.809382e+00
TCGA-VD-AA8Q-01A-11R-A405-07	3.906118e-01	4.533621e-01	2.279500e-01	5.347771e+00	1.602758e+00	6.086984e-01	0
TCGA-VD-AA8R-01A-11R-A405-07	6.251354e-02	3.541374e-02	9.446435e-01	5.359274e+00	3.726833e+00	5.260739e-02	3.134743e-02
TCGA-VD-AA8S-01B-11R-A405-07	0	2.551237e-01	1.413282e+00	1.383401e+00	6.428055e-01	1.291304e+00	2.878882e-01
TCGA-VD-AA8T-01A-11R-A405-07	0	1.447450e-01	5.294252e-01	2.655724e+00	3.299422e+00	2.289834e-01	2.095781e+00
TCGA-WC-A87T-01A-11R-A405-07	0	0	1.272932e+00	4.831337e+00	3.659941e+00	3.002222e-01	0
TCGA-WC-A87U-01A-11R-A405-07	2.556992e-02	2.712890e-01	8.871605e-01	4.821050e+00	2.951710e+00	6.227250e-01	6.090068e-02
TCGA-WC-A87W-01A-11R-A405-07	1.792737e-01	1.286878e-01	4.128262e-01	2.985152e+00	2.770804e+00	1.908219e+00	0
TCGA-WC-A87Y-01A-11R-A405-07	6.623943e-01	7.145716e-01	4.124586e-01	2.427238e+00	1.695629e+00	0	3.187770e+00
TCGA-WC-A880-01A-11R-A405-07	0	2.279382e-01	2.522616e+00	1.351436e+00	2.200225e+00	2.050351e-01	4.449641e-01
TCGA-WC-A881-01A-12R-A405-07	3.631510e-02	4.765034e-01	9.329259e-02	2.469406e+00	1.476065e+00	2.411879e+00	1.186807e+00
TCGA-WC-A882-01A-11R-A405-07	1.098331e-01	4.969056e-01	9.615128e-01	3.664612e+00	1.016181e+00	7.884445e-01	6.614086e-01
TCGA-WC-A883-01A-12R-A405-07	5.005841e-01	1.567542e-01	5.686580e-01	1.317272e+00	1.532129e+00	5.096412e-01	3.728715e+00
TCGA-WC-A884-01A-11R-A405-07	5.724402e-01	6.483531e-01	1.629962e+00	1.364441e+00	9.961286e-01	8.160849e-01	7.546070e-01
TCGA-WC-A885-01A-11R-A405-07	0	1.179094e-02	2.605313e+00	2.666855e+00	1.098277e+00	1.076708e+00	4.462183e-01
TCGA-WC-A888-01A-11R-A405-07	8.848576e-02	1.460404e+00	3.910400e-01	2.573401e+00	1.397447e+00	9.789813e-02	3.162799e+00
TCGA-WC-A88A-01A-11R-A405-07	0	3.596646e-01	0	1.459969e+00	1.192866e+00	6.359905e-01	4.091742e+00
TCGA-WC-AA9A-01A-11R-A405-07	0	0	7.073864e-01	3.030064e+00	2.651057e+00	2.445473e-01	3.537939e+00
TCGA-WC-AA9E-01A-11R-A405-07	0	6.403315e-01	4.929664e-01	3.025555e-01	1.088211e+00	3.277100e+00	1.307050e+00
TCGA-YZ-A980-01A-11R-A405-07	1.016817e+00	1.495733e-01	1.137476e-01	2.915485e+00	1.493010e+00	0	2.401800e+00
TCGA-YZ-A982-01A-11R-A405-07	4.134230e-01	1.978984e-01	0	8.056988e-01	6.992077e-01	2.156184e+00	6.926665e-01
TCGA-YZ-A983-01A-11R-A405-07	0	2.740041e-01	2.671885e+00	1.929275e+00	2.959720e+00	0	5.978719e-01
TCGA-YZ-A984-01A-11R-A405-07	1.256629e-01	0	0	1.169462e+00	1.214702e+00	6.248016e-01	2.028829e+00
TCGA-YZ-A985-01A-11R-A405-07	0	0	9.743850e-01	1.623101e+00	1.739091e+00	0	2.412543e+00
