sampleID	D5.3_RICKMAN-HEAD-AND-NECK-CANCER-D	D8.8_HAEGERSTRAND-RESPONSE-TO-IMATINIB	D5.4_GNF2-SPRR1B	D11.4_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D10.6_GNF2-GLTSCR2
TCGA-MU-A5YI-01A-11R-A32P-07	6.420777e-01	1.350614e+00	2.081930e+00	1.199037e+00	1.104529e+00
TCGA-MU-A8JM-01A-11R-A36F-07	2.148462e-02	4.458574e-01	2.841474e+00	1.317238e+00	2.974914e-01
TCGA-MY-A5BD-01A-11R-A26T-07	2.861384e+00	5.014348e-01	7.494672e-01	9.337720e-01	1.289909e+00
TCGA-MY-A5BE-01A-21R-A26T-07	8.028041e-01	7.220639e-01	1.027815e+00	2.285489e+00	6.693608e-01
TCGA-MY-A5BF-11A-11R-A26T-07	3.315898e+00	1.846784e+00	3.583203e-01	9.200005e-01	1.290310e+00
TCGA-MY-A5BF-01A-11R-A26T-07	0	0	2.125250e+00	1.681319e+00	4.304483e-01
TCGA-MY-A913-01A-11R-A37O-07	1.117114e+00	1.892708e-02	9.006821e-01	1.473305e+00	3.376865e-01
TCGA-PN-A8MA-01A-11R-A36F-07	2.489795e+00	7.096792e-01	0	1.122889e+00	4.578605e-01
TCGA-Q1-A5R1-01A-11R-A28H-07	5.032665e+00	4.305230e-01	1.815274e-01	9.092339e-01	9.411964e-01
TCGA-Q1-A5R2-01A-11R-A28H-07	8.997551e-01	7.491548e-01	2.433087e+00	1.545567e+00	2.006607e+00
TCGA-Q1-A5R3-01A-11R-A28H-07	2.469429e+00	5.356198e-01	1.513216e+00	1.141159e+00	2.805828e+00
TCGA-Q1-A6DT-01A-11R-A32P-07	0	0	1.351246e+00	9.022220e-01	1.056759e+00
TCGA-Q1-A6DV-01A-11R-A32P-07	3.816008e+00	2.875893e-01	8.066306e-02	9.053100e-01	5.617084e-01
TCGA-Q1-A6DW-01A-11R-A32P-07	4.191672e-01	2.466948e-01	2.538050e+00	1.135832e+00	3.930539e-01
TCGA-Q1-A73O-01A-11R-A32P-07	8.420586e-01	1.086938e-01	1.773931e+00	1.530484e+00	0
TCGA-Q1-A73P-01A-11R-A32P-07	5.185587e+00	3.890132e-01	3.696055e-01	1.152519e+00	3.683454e-01
TCGA-Q1-A73Q-01A-21R-A32P-07	1.209236e-01	4.944160e-01	2.135480e+00	1.036824e+00	5.097217e-01
TCGA-Q1-A73R-01A-11R-A33Z-07	2.732356e+00	4.405828e-01	0	8.261249e-01	1.950525e-01
TCGA-Q1-A73S-01A-11R-A33Z-07	1.400983e+00	3.121235e-01	1.196144e+00	4.632498e-01	1.999392e+00
TCGA-R2-A69V-01A-11R-A32P-07	1.421031e+00	5.889606e-01	1.537921e+00	1.977191e+00	1.116960e+00
TCGA-RA-A741-01A-11R-A33Z-07	2.298652e+00	6.026975e-01	1.431924e+00	1.501516e+00	1.414349e+00
TCGA-UC-A7PD-01A-11R-A352-07	5.322430e-01	6.473953e-02	1.698062e+00	1.138158e+00	9.778597e-01
TCGA-UC-A7PF-01A-11R-A352-07	5.443311e-01	7.608402e-01	2.397521e+00	1.736818e+00	4.835407e-01
TCGA-UC-A7PG-06A-11R-A42S-07	6.539956e-01	4.244760e-01	2.585024e+00	1.381288e+00	1.409165e+00
TCGA-UC-A7PG-01A-11R-A42S-07	2.060593e-02	4.970966e-01	3.344795e+00	9.861514e-01	8.246982e-01
TCGA-UC-A7PI-01A-11R-A42S-07	5.238198e+00	2.009397e-01	2.174858e-01	8.249837e-01	6.482858e-01
TCGA-VS-A8EB-01A-11R-A36F-07	8.049063e-03	0	5.600575e-01	1.164692e+00	8.453492e-01
TCGA-VS-A8EC-01A-11R-A36F-07	1.823214e-01	1.823922e-01	1.578963e+00	4.037110e-01	1.212774e+00
TCGA-VS-A8EG-01A-11R-A36F-07	1.655691e+00	2.630840e-01	2.779624e+00	1.033901e+00	6.238803e-01
TCGA-VS-A8EH-01A-11R-A36F-07	4.313184e-01	2.946310e-01	2.579505e+00	7.052168e-01	1.205521e+00
TCGA-VS-A8EI-01A-11R-A37O-07	7.783279e-01	5.899643e-01	2.013575e+00	1.358473e+00	8.691255e-01
TCGA-VS-A8EJ-01A-11R-A37O-07	2.829163e+00	5.411752e-01	0	1.192718e+00	1.650639e+00
TCGA-VS-A8EK-01A-12R-A37O-07	5.534999e-01	2.298845e-02	2.384560e+00	1.147520e+00	7.850930e-01
TCGA-VS-A8EL-01A-11R-A37O-07	1.735129e-01	3.335543e-01	2.213419e+00	1.798563e+00	6.031798e-01
TCGA-VS-A8Q8-01A-11R-A37O-07	1.395997e+00	2.481727e-01	2.717046e+00	1.621640e+00	6.312662e-01
TCGA-VS-A8Q9-01A-12R-A37O-07	7.062622e-01	0	6.345076e-01	1.049830e+00	1.088485e+00
TCGA-VS-A8QA-01A-11R-A37O-07	3.661740e+00	0	3.053242e-01	1.144020e+00	7.965123e-01
TCGA-VS-A8QC-01A-11R-A37O-07	1.271510e-01	5.347265e-01	2.266745e+00	1.049023e+00	1.332981e+00
TCGA-VS-A8QF-01A-21R-A37O-07	9.023128e-01	2.838083e-01	2.357686e+00	1.288400e+00	1.322191e+00
TCGA-VS-A8QH-01A-11R-A37O-07	3.932699e+00	1.292746e-01	1.383530e-01	5.299208e-01	8.402350e-01
TCGA-VS-A8QM-01A-11R-A37O-07	1.453350e+00	1.106097e+00	2.834899e+00	1.368910e+00	7.170983e-01
TCGA-VS-A94W-01A-12R-A37O-07	1.322350e+00	5.173361e-01	1.622142e+00	1.774441e+00	6.045974e-01
TCGA-VS-A94X-01A-11R-A38B-07	9.821263e-01	0	1.066532e+00	1.239333e+00	4.418047e-01
TCGA-VS-A94Y-01A-11R-A38B-07	1.225539e+00	8.563814e-02	9.526945e-01	1.000675e+00	6.379542e-01
TCGA-VS-A94Z-01A-11R-A38B-07	1.256194e+00	4.162932e-01	1.764731e+00	1.749589e+00	6.265440e-02
TCGA-VS-A950-01A-11R-A42T-07	3.781354e-01	6.386732e-02	1.783525e+00	9.046911e-01	9.257825e-01
TCGA-VS-A952-01A-11R-A38B-07	5.182194e+00	1.002877e-02	0	8.405412e-01	3.210225e-01
TCGA-VS-A953-01A-11R-A38B-07	0	0	1.122025e+00	1.197839e+00	8.389337e-01
TCGA-VS-A954-01A-11R-A38B-07	0	4.158777e-01	1.865449e+00	1.028601e+00	1.866653e+00
TCGA-VS-A957-01A-11R-A42T-07	1.883519e+00	0	1.976523e+00	9.437398e-01	7.997400e-01
TCGA-VS-A958-01A-11R-A42T-07	1.215183e+00	0	1.694657e+00	2.013065e+00	3.415405e-01
TCGA-VS-A959-01A-11R-A42T-07	2.796071e+00	5.078517e-01	1.604180e+00	1.291507e+00	9.221038e-01
TCGA-VS-A9U5-01A-11R-A42T-07	2.174324e+00	3.201776e-01	1.602817e+00	1.317553e+00	3.923774e-01
TCGA-VS-A9U6-01A-11R-A42T-07	1.662911e+00	4.617910e-01	1.662652e+00	1.205606e+00	6.483758e-01
TCGA-VS-A9U7-01A-11R-A42T-07	1.140574e+00	4.213893e-01	2.353923e+00	1.714244e+00	1.056440e+00
TCGA-VS-A9UB-01A-22R-A42T-07	1.466002e+00	0	9.426535e-02	1.758428e+00	0
TCGA-VS-A9UC-01A-11R-A42T-07	1.948841e+00	2.746709e-01	1.999672e+00	1.515890e+00	3.638930e-01
TCGA-VS-A9UD-01A-11R-A42T-07	1.172329e+00	2.271169e-02	5.500056e-01	2.030310e+00	1.131685e+00
TCGA-VS-A9UH-01A-11R-A42T-07	1.115184e-01	4.156271e-01	1.215281e+00	1.968440e+00	4.980415e-01
TCGA-VS-A9UI-01A-11R-A42T-07	4.810509e-01	0	2.552325e+00	1.606794e+00	7.652644e-01
TCGA-VS-A9UJ-01A-11R-A42T-07	2.710064e+00	3.959854e-01	1.007295e-01	3.322452e-01	3.983395e-01
TCGA-VS-A9UL-01A-11R-A42T-07	2.044465e+00	4.439782e-01	1.453569e-01	4.855870e-01	5.188906e-01
TCGA-VS-A9UM-01A-11R-A42T-07	6.772731e-01	6.261408e-01	2.903494e+00	1.408767e+00	6.235721e-01
TCGA-VS-A9UO-01A-11R-A42T-07	5.616240e+00	0	0	7.863239e-01	6.527003e-01
TCGA-VS-A9UP-01A-11R-A42T-07	2.665304e+00	6.963870e-01	4.262567e-01	4.642153e-01	1.002488e+00
TCGA-VS-A9UQ-01A-21R-A42T-07	4.778583e+00	7.132621e-01	3.420959e-01	7.239611e-01	7.878729e-01
TCGA-VS-A9UR-01A-11R-A42T-07	3.391723e+00	2.098399e-01	6.738722e-01	9.629408e-01	5.277997e-01
TCGA-VS-A9UT-01A-11R-A42T-07	1.379930e+00	9.817078e-01	7.226269e-02	1.701814e+00	0
TCGA-VS-A9UU-01A-11R-A42T-07	0	1.172010e-01	2.687461e+00	1.047160e+00	8.625581e-01
TCGA-VS-A9UV-01A-11R-A42T-07	3.620717e-01	9.624030e-02	2.432155e+00	1.144156e+00	9.351822e-01
TCGA-VS-A9UY-01A-11R-A42T-07	2.061675e-01	0	2.455590e+00	1.622029e+00	0
TCGA-VS-A9UZ-01A-11R-A42T-07	4.529995e+00	5.074093e-01	0	1.169976e+00	4.252405e-01
TCGA-VS-A9V0-01A-11R-A42T-07	3.524701e+00	2.681731e-01	0	5.710441e-01	4.252660e-01
TCGA-VS-A9V1-01A-11R-A42T-07	4.838919e+00	0	0	7.882620e-01	5.670472e-01
TCGA-VS-A9V2-01A-11R-A42T-07	1.464406e+00	3.650164e-01	2.271977e+00	1.593976e+00	6.447957e-01
TCGA-VS-A9V3-01A-11R-A42T-07	1.411492e+00	1.996819e-01	2.370675e+00	1.458289e+00	6.105540e-01
TCGA-VS-A9V4-01A-12R-A42T-07	3.148061e+00	8.998992e-02	0	4.838480e-01	5.939312e-01
TCGA-VS-A9V5-01A-11R-A42T-07	4.829201e+00	4.141550e-01	1.742027e-01	7.492725e-01	5.747030e-01
TCGA-VS-AA62-01A-11R-A42T-07	1.504589e+00	8.914256e-02	8.805355e-01	1.739100e+00	0
TCGA-WL-A834-01A-11R-A352-07	7.136058e-01	5.039964e-01	2.083500e+00	6.452359e-01	1.276666e+00
TCGA-XS-A8TJ-01A-11R-A36F-07	1.547090e+00	6.519491e-01	2.838940e+00	1.350331e+00	5.939487e-01
TCGA-ZJ-A8QO-01A-11R-A37O-07	1.266909e-01	6.975877e-01	7.898523e-01	1.797043e+00	0
TCGA-ZJ-A8QQ-01A-11R-A37O-07	5.002171e-01	0	1.324836e+00	1.302256e+00	8.053054e-01
TCGA-ZJ-A8QR-01A-11R-A37O-07	1.250843e+00	6.674203e-02	2.246603e+00	1.203461e+00	6.936136e-01
TCGA-ZJ-AAX4-01A-11R-A42T-07	5.733787e-01	4.831072e-01	2.691084e+00	1.414177e+00	1.053682e+00
TCGA-ZJ-AAX8-01A-11R-A42T-07	6.180883e-01	8.711889e-01	2.831057e+00	1.467485e+00	3.054699e-01
TCGA-ZJ-AAXA-01A-11R-A42T-07	1.678907e-01	4.584542e-01	2.449838e+00	6.910180e-01	1.839253e+00
TCGA-ZJ-AAXB-01A-11R-A42T-07	1.829498e+00	5.171067e-01	2.292422e-01	6.265813e-01	1.614420e+00
TCGA-ZJ-AAXD-01A-21R-A42T-07	6.022912e-01	8.828270e-01	2.346489e+00	8.408399e-01	8.765862e-01
TCGA-ZJ-AAXF-01A-31R-A42T-07	8.751604e-01	1.011849e+00	2.931239e+00	1.420612e+00	8.839160e-01
TCGA-ZJ-AAXI-01A-11R-A42T-07	1.349374e+00	1.471013e-01	2.378327e+00	1.038876e+00	1.575937e+00
TCGA-ZJ-AAXJ-01A-11R-A42T-07	1.020845e+00	3.599660e-01	2.527474e+00	1.091031e+00	7.387974e-01
TCGA-ZJ-AAXN-01A-11R-A42T-07	9.548866e-01	9.224403e-03	1.004768e+00	1.285919e+00	2.461998e-01
TCGA-ZJ-AAXT-01A-11R-A42T-07	2.435775e-01	1.341196e-01	1.961769e+00	1.316789e+00	5.341712e-01
TCGA-ZJ-AAXU-01A-11R-A42T-07	6.897995e-01	4.252433e-01	2.206941e+00	1.557653e+00	9.294694e-01
TCGA-ZJ-AB0H-01A-11R-A42T-07	1.013853e+00	5.845721e-01	2.554406e+00	1.661191e+00	4.283034e-01
TCGA-ZJ-AB0I-01A-11R-A42T-07	1.050402e-01	0	2.098482e+00	1.149422e+00	8.464260e-01
TCGA-ZX-AA5X-01A-11R-A42T-07	9.745054e-01	1.038639e+00	2.567184e+00	1.364440e+00	7.349311e-01
