sampleID	D9.9_LE-SKI-TARGETS-DN	D6.1_LIANG-SILENCED-BY-METHYLATION-DN	D7.3_PATTERN-RECOGNITION-RECEPTOR-ACTIVITY	D10.5_GNF2-SERPINB5	D9.4_ZHOU-PANCREATIC-ENDOCRINE-PROGENITOR	D7.2_PHOTOTRANSDUCTION
TCGA-X7-A8M1-01A-11R-A42C-07	3.916599e-01	2.581146e+00	7.028817e-01	7.141220e-03	1.021910e+00	3.125770e+00
TCGA-X7-A8M3-01A-11R-A42C-07	1.213928e-01	6.663486e-01	2.323111e+00	3.829824e+00	2.686611e+00	2.283169e-01
TCGA-X7-A8M4-01A-11R-A42C-07	3.880736e-01	3.926809e+00	5.399975e-01	0	1.133291e+00	2.766741e+00
TCGA-X7-A8M5-01A-11R-A42C-07	0	1.627370e+00	2.539082e+00	7.424725e-02	1.924720e+00	3.359158e+00
TCGA-X7-A8M6-01A-11R-A42C-07	0	3.645647e+00	2.550208e+00	1.475463e+00	1.730129e+00	5.056759e-01
TCGA-X7-A8M7-01A-11R-A42C-07	0	3.756006e+00	1.834155e+00	1.934025e+00	1.296202e+00	2.391684e-01
TCGA-X7-A8M8-01A-11R-A42C-07	2.468076e-01	3.840920e+00	8.896223e-01	0	1.139854e+00	2.549507e+00
TCGA-XH-A853-01A-11R-A42C-07	3.672677e-01	3.599298e+00	6.766089e-01	0	1.049079e+00	2.768154e+00
TCGA-XM-A8R8-01A-11R-A42C-07	9.305837e-02	1.471505e+00	4.666411e+00	0	3.737956e+00	0
TCGA-XM-A8R9-01A-31R-A42C-07	0	2.563938e+00	1.940472e+00	3.479825e-01	1.225370e+00	1.970547e+00
TCGA-XM-A8RB-01A-11R-A42C-07	0	3.772892e+00	1.848722e+00	7.240712e-01	1.376560e+00	2.688715e-01
TCGA-XM-A8RC-01A-11R-A42C-07	2.067375e-01	3.043388e+00	1.477401e+00	1.154205e+00	7.621746e-01	3.033890e-01
TCGA-XM-A8RD-01A-11R-A42C-07	0	2.964050e+00	1.581789e+00	2.655159e+00	1.329765e+00	0
TCGA-XM-A8RE-01A-11R-A42C-07	2.176867e-01	3.831414e+00	1.445423e+00	0	1.597178e+00	2.424261e+00
TCGA-XM-A8RF-01A-11R-A42C-07	0	1.562178e+00	1.555333e+00	3.488215e-01	1.598943e+00	3.306608e+00
TCGA-XM-A8RG-01A-11R-A42C-07	0	4.940462e-01	1.682498e+00	2.888177e-01	1.648528e+00	2.930381e+00
TCGA-XM-A8RH-01A-11R-A42C-07	2.313672e-01	3.753780e+00	8.736147e-01	0	1.421719e+00	2.479140e+00
TCGA-XM-A8RI-01A-12R-A42C-07	1.703195e-01	2.173765e+00	1.723379e+00	1.995942e+00	7.595481e-01	1.372068e-01
TCGA-XM-A8RL-01A-11R-A42C-07	0	4.305816e+00	1.618065e+00	0	1.106017e+00	0
TCGA-XM-AAZ1-01A-11R-A42C-07	0	3.267479e+00	1.618878e+00	2.482950e+00	1.505220e+00	0
TCGA-XM-AAZ2-01A-11R-A42C-07	2.404757e-01	1.580639e+00	9.014017e-01	2.531674e-01	1.054283e+00	3.491951e+00
TCGA-XM-AAZ3-01A-11R-A42C-07	0	8.091810e-01	1.353120e+00	3.557590e-01	1.416406e+00	3.547054e+00
TCGA-XU-A92O-01A-11R-A42C-07	0	2.264895e+00	1.106129e+00	3.455929e-01	1.048532e+00	3.537306e+00
TCGA-XU-A92Q-01A-11R-A42C-07	1.668534e-01	9.479462e-01	1.873101e+00	7.044393e-02	2.212533e+00	3.480045e+00
TCGA-XU-A92T-01A-11R-A42C-07	1.018507e-01	4.200203e-01	1.712956e+00	5.556746e-01	2.452252e+00	3.493081e+00
TCGA-XU-A92U-01A-11R-A42C-07	4.684119e-01	3.625984e+00	6.359453e-01	0	1.100438e+00	2.594015e+00
TCGA-XU-A92V-01A-11R-A42C-07	4.079164e-01	2.417871e+00	5.916728e-01	2.183073e-02	1.113904e+00	3.541035e+00
TCGA-XU-A92W-01A-11R-A42C-07	5.394595e-02	3.544838e+00	9.341254e-01	2.321176e+00	1.293613e+00	4.557222e-01
TCGA-XU-A92X-01A-11R-A42C-07	5.547893e-02	2.649179e+00	1.721678e+00	2.736574e+00	1.003496e+00	6.461107e-01
TCGA-XU-A92Y-01A-11R-A42C-07	1.627275e-02	2.875666e+00	1.750696e+00	1.432251e+00	1.185767e+00	7.967169e-02
TCGA-XU-A92Z-01A-11R-A42C-07	2.993104e-01	4.533177e-01	3.174562e+00	1.020457e+00	3.360751e+00	5.539937e-01
TCGA-XU-A930-01A-11R-A42C-07	0	2.196681e+00	1.719869e+00	2.609294e+00	1.054880e+00	0
TCGA-XU-A931-01A-11R-A42C-07	0	1.066531e+00	1.965003e+00	3.607555e+00	1.777353e+00	0
TCGA-XU-A932-01A-11R-A42C-07	0	3.311086e+00	1.975943e+00	1.982725e+00	1.582219e+00	0
TCGA-XU-A933-01A-11R-A42C-07	6.427731e-02	0	5.657169e+00	5.250080e-01	5.946583e+00	2.513141e-01
TCGA-XU-A936-01A-11R-A42C-07	0	8.094259e-01	5.163452e+00	0	4.813871e+00	4.864637e-01
TCGA-XU-AAXV-01A-11R-A42C-07	0	3.071928e+00	1.309064e+00	2.638671e+00	9.865102e-01	0
TCGA-XU-AAXW-01A-11R-A42C-07	1.094511e-01	3.223409e+00	1.747551e+00	1.670170e+00	1.203747e+00	3.520868e-03
TCGA-XU-AAXX-01A-11R-A42C-07	0	3.535075e+00	1.068210e+00	2.409936e+00	7.614488e-01	2.889017e-02
TCGA-XU-AAXY-01A-11R-A42C-07	0	3.647538e+00	1.931498e+00	1.784752e+00	1.162583e+00	2.755186e-01
TCGA-XU-AAXZ-01A-11R-A466-07	0	2.501444e+00	4.365385e+00	2.947248e-01	2.978552e+00	1.323566e+00
TCGA-XU-AAY0-01A-11R-A42C-07	3.884948e-01	3.564373e+00	1.176604e+00	0	1.896890e+00	3.505936e+00
TCGA-XU-AAY1-01A-11R-A42C-07	3.208535e-01	3.811173e+00	1.244842e+00	0	1.875870e+00	3.025136e+00
TCGA-YT-A95D-01A-11R-A42C-07	5.164502e-01	1.509722e+00	1.562397e+00	0	1.894710e+00	2.802313e+00
TCGA-YT-A95E-01A-11R-A42C-07	2.268061e-01	3.739505e+00	6.059817e-01	1.238176e-01	1.060140e+00	2.817232e+00
TCGA-YT-A95F-01A-11R-A42C-07	5.460157e-01	3.077115e+00	1.886044e-01	7.415231e-02	1.061744e+00	2.886782e+00
TCGA-YT-A95G-01A-11R-A42S-07	5.451208e-02	3.005381e+00	1.137269e+00	2.720901e+00	8.940278e-01	0
TCGA-YT-A95H-01A-11R-A42S-07	2.895426e-01	3.823774e+00	5.099069e-01	0	1.035670e+00	2.747919e+00
TCGA-ZB-A961-01A-11R-A42S-07	0	1.958021e+00	1.482424e+00	2.188078e+00	4.892702e-01	7.104681e-02
TCGA-ZB-A962-01A-11R-A42S-07	1.071973e-01	5.910531e-01	1.999164e+00	2.605189e-01	2.507691e+00	2.663661e+00
TCGA-ZB-A963-01A-11R-A42S-07	2.013660e-01	2.563069e+00	1.686199e+00	4.775100e-01	1.412548e+00	1.732148e+00
TCGA-ZB-A964-01A-11R-A42S-07	8.885880e-02	1.262283e-01	1.634124e+00	6.681448e-01	2.279096e+00	3.322684e+00
TCGA-ZB-A965-01A-11R-A42S-07	5.588758e-02	4.631979e-01	1.683377e+00	5.806949e-01	2.208090e+00	3.704756e+00
TCGA-ZB-A966-01A-11R-A42S-07	0	4.991914e-01	6.043159e+00	0	6.049082e+00	0
TCGA-ZB-A969-01A-11R-A42S-07	7.316916e-02	4.083445e-01	2.170543e+00	8.036383e-01	2.371216e+00	2.923581e+00
TCGA-ZB-A96A-01A-11R-A42S-07	8.063761e-02	3.324781e+00	1.360215e+00	3.776730e-01	1.935878e+00	2.925168e+00
TCGA-ZB-A96B-01A-11R-A42S-07	2.537383e-01	3.722231e+00	1.070986e+00	0	1.178646e+00	2.541417e+00
TCGA-ZB-A96C-01A-11R-A42S-07	5.413435e-01	1.683651e+00	7.908241e-01	0	1.192622e+00	3.402417e+00
TCGA-ZB-A96D-01A-11R-A42S-07	4.103434e-01	3.172481e+00	8.503892e-01	0	1.329303e+00	2.743632e+00
TCGA-ZB-A96E-01A-11R-A42S-07	1.098518e-02	2.410961e+00	1.096674e+00	6.721105e-01	1.257400e+00	2.739636e+00
TCGA-ZB-A96F-01A-11R-A42S-07	0	2.720824e+00	1.236320e+00	2.892272e+00	7.863767e-01	0
TCGA-ZB-A96G-01A-11R-A42S-07	5.094930e-02	3.792017e+00	1.058644e+00	4.336379e-01	1.006159e+00	2.216474e+00
TCGA-ZB-A96H-01A-11R-A42S-07	1.191493e-01	6.093704e-01	1.867019e+00	6.053899e-01	2.033622e+00	3.184447e+00
TCGA-ZB-A96I-01A-11R-A42S-07	6.054913e-03	1.371020e+00	2.330619e+00	2.197110e+00	1.686081e+00	4.305533e-01
TCGA-ZB-A96K-01A-11R-A42S-07	6.121046e-01	2.803072e+00	8.480237e-01	0	1.168493e+00	2.532880e+00
TCGA-ZB-A96L-01A-11R-A42S-07	3.233476e-02	1.108528e+00	1.753511e+00	4.389177e-01	2.284351e+00	2.898654e+00
TCGA-ZB-A96M-01A-11R-A42S-07	5.472903e-01	2.605008e+00	1.001863e+00	2.168661e-01	1.574478e+00	2.738869e+00
TCGA-ZB-A96O-01A-11R-A42S-07	0	4.052384e+00	1.759052e+00	1.598458e+00	1.309568e+00	1.171632e-01
TCGA-ZB-A96P-01A-11R-A42S-07	0	4.170034e+00	8.756125e-01	4.602355e-01	5.402201e-01	0
TCGA-ZB-A96Q-01A-11R-A42S-07	4.658491e-01	2.775494e+00	8.327627e-01	2.002566e-01	1.416026e+00	2.371002e+00
TCGA-ZB-A96R-01A-11R-A42S-07	0	3.721831e+00	1.615306e+00	1.499130e+00	9.283873e-01	0
TCGA-ZB-A96V-01A-11R-A42S-07	2.527797e-02	4.720952e-01	5.757524e+00	0	5.706213e+00	0
TCGA-ZC-AAA7-01A-11R-A42S-07	4.366515e-02	4.840767e-01	6.237806e+00	1.565068e-01	5.795130e+00	1.872608e-01
TCGA-ZC-AAAA-01A-11R-A42S-07	0	3.177497e+00	1.263243e+00	1.966817e+00	5.234339e-01	0
TCGA-ZC-AAAF-01A-11R-A42S-07	1.956833e-01	3.557684e+00	7.736914e-01	1.197633e-01	1.530426e+00	3.408521e+00
TCGA-ZC-AAAH-01A-11R-A42S-07	2.763114e-02	3.810323e+00	2.092757e+00	1.712790e+00	1.419931e+00	2.742536e-01
TCGA-ZL-A9V6-01A-11R-A42S-07	2.533910e-02	9.009368e-01	1.999453e+00	3.331068e-01	1.664139e+00	2.467254e+00
TCGA-ZT-A8OM-01A-11R-A42S-07	9.365191e-02	3.474275e+00	2.303783e+00	2.923076e-01	2.406196e+00	3.320704e+00
