sampleID	D16.12_ZHOU-PANCREATIC-ENDOCRINE-PROGENITOR	D14.11_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D15.13_GNF2-SERPINI2	D14.4_ANASTASSIOU-CANCER-MESENCHYMAL-TRANSITION-SIGNATURE	D8.4_MODULE-106	D16.1_MIPS-UTX-MLL2-3-COMPLEX	D14.7_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D15.5_REACTOME-BETA-DEFENSINS	D9.8_GNF2-SERPINB5	D16.15_chr11q11
TCGA-FB-AAPZ-01A	2.298119e-01	2.767185e-01	2.400750e-02	8.651903e-01	1.064581e+00	2.751841e+00	6.364304e-01	7.629490e-01	7.955062e-01	8.438833e-02
TCGA-XD-AAUH-01A	6.663276e-01	8.675199e-01	0	1.003239e+00	5.506085e-01	2.907317e+00	1.025222e+00	0	2.048550e-01	2.196001e-01
TCGA-3A-A9IX-01A	2.218524e-01	5.483679e-01	3.530643e-01	9.676276e-01	6.760792e-01	2.511819e+00	8.877320e-01	6.018287e-01	3.179507e-01	3.637179e-02
TCGA-2J-AABK-01A	5.085998e-01	1.849939e-01	9.571466e-03	3.558126e-01	1.505820e+00	2.378771e+00	6.928609e-01	8.414159e-01	2.865574e-01	9.233462e-03
TCGA-2J-AAB6-01A	5.282433e-01	0	0	1.386663e+00	0	2.431542e+00	2.631228e-01	0	1.717416e+00	7.981160e-02
TCGA-FB-AAQ0-01A	0	0	0	9.895319e-01	2.852956e+00	2.316541e+00	4.724706e-01	0	2.664873e-01	1.599324e-01
TCGA-XD-AAUI-01A	3.851827e-01	4.757941e-01	7.699014e-02	1.054008e+00	1.082520e+00	2.429421e+00	6.385647e-01	4.780060e-01	6.720310e-01	0
TCGA-2J-AAB8-01A	0	2.925442e-01	0	1.395774e+00	2.028709e+00	2.337553e+00	7.767301e-01	0	1.725238e-01	6.440999e-02
TCGA-3A-A9IZ-01A	0	0	0	1.067441e+00	1.264749e+00	2.773028e+00	4.219871e-01	9.444109e-01	4.200244e-01	0
TCGA-2J-AABO-01A	3.723386e-01	6.579001e-02	3.466591e-01	1.210797e+00	8.500589e-01	2.157021e+00	8.535407e-01	3.685805e-02	8.204467e-01	0
