sampleID	D7.5_DELASERNA-TARGETS-OF-MYOD-AND-SMARCA4	D10.6_BIOCARTA-CTL-PATHWAY	D5.1_MIPS-40S-RIBOSOMAL-SUBUNIT-CYTOPLASMIC	D9.7_NEUROTRANSMITTER-SECRETION	D11.10_AIGNER-ZEB1-TARGETS	D9.6_BIOCARTA-EXTRINSIC-PATHWAY	D13.11_JI-CARCINOGENESIS-BY-KRAS-AND-STK11-UP	D10.2_PID-VEGF-VEGFR-PATHWAY	D14.1_CELLULAR-RESPIRATION
TCGA-N9-A4PZ-01A-22R-A28V-07	5.327374e-02	6.677307e-01	5.861701e+00	1.218844e+00	9.599095e-01	3.448563e-01	1.095542e+00	1.467079e+00	1.662529e+00
TCGA-N9-A4Q1-01A-11R-A28V-07	2.517215e+00	9.587389e-01	5.963447e+00	7.730303e-01	8.373525e-03	3.905918e-01	0	8.071778e-01	1.830509e+00
TCGA-N9-A4Q3-01A-11R-A28V-07	3.172166e-01	9.859430e-01	6.075365e+00	8.558418e-01	2.775410e-01	1.043598e+00	1.829897e-01	4.788066e-01	1.951917e+00
TCGA-N9-A4Q4-01A-11R-A28V-07	2.450252e+00	7.670868e-01	5.923509e+00	1.933852e-01	0	1.071101e+00	5.275344e-01	7.151470e-01	2.004433e+00
TCGA-N9-A4Q7-01A-11R-A28V-07	2.618388e-02	2.988006e+00	7.396432e+00	0	0	0	0	2.143455e-01	2.165793e+00
TCGA-N9-A4Q8-01A-31R-A28V-07	0	6.395738e-01	6.421440e+00	1.140648e-01	1.750408e+00	0	6.338983e-02	6.757225e-01	3.191709e+00
TCGA-NA-A4QV-01A-11R-A28V-07	1.222018e-01	5.795031e-01	5.457633e+00	1.163567e+00	5.149204e-01	1.435111e+00	8.923613e-01	2.389252e+00	9.585245e-01
TCGA-NA-A4QW-01A-11R-A28V-07	2.940528e+00	8.615855e-01	5.474469e+00	3.199747e-01	0	0	0	1.162754e+00	1.733666e+00
TCGA-NA-A4QX-01A-11R-A28V-07	2.486876e+00	1.202453e+00	5.585183e+00	5.360364e-01	1.975757e-01	1.262302e-01	5.888732e-02	1.249149e+00	1.361232e+00
TCGA-NA-A4QY-01A-11R-A28V-07	1.879136e-01	6.475496e-01	6.075639e+00	0	0	1.916304e+00	0	2.518546e+00	2.183995e+00
TCGA-NA-A4R0-01A-11R-A28V-07	1.193005e-01	1.969793e+00	5.760865e+00	7.000810e-01	8.367684e-01	5.338427e-01	1.590755e-01	2.231033e+00	1.016033e+00
TCGA-NA-A4R1-01A-11R-A28V-07	0	0	6.553456e+00	1.700391e-02	3.314482e-01	1.918853e-02	1.241179e-01	1.858865e+00	1.601732e-01
TCGA-NA-A5I1-01A-21R-A28V-07	6.852918e-01	6.248945e-01	5.429750e+00	5.643868e-01	1.258772e-02	1.812596e+00	1.041916e+00	1.910747e+00	1.550577e+00
TCGA-ND-A4W6-01A-11R-A28V-07	1.632149e+00	2.073979e+00	6.068731e+00	6.957790e-01	4.065732e-01	8.084828e-01	1.063727e-01	9.784738e-01	1.355453e+00
TCGA-ND-A4WA-01A-12R-A28V-07	1.548110e-01	4.354463e-01	5.893844e+00	1.155427e-01	0	1.612571e+00	0	1.324914e+00	1.401187e+00
TCGA-ND-A4WC-01A-21R-A28V-07	0	2.377254e+00	6.416270e+00	0	5.748767e-01	0	5.387212e-02	4.704593e-01	2.378026e+00
TCGA-ND-A4WF-01A-11R-A28V-07	1.646588e+00	7.368618e-01	6.036871e+00	1.809191e+00	1.455247e-01	0	0	9.524164e-01	1.684523e+00
TCGA-NF-A4WU-01A-11R-A28V-07	1.232385e-01	6.956465e-01	6.013778e+00	7.680106e-01	4.282089e-01	4.249883e-01	2.071633e-01	0	1.998800e+00
TCGA-NF-A4WX-01A-11R-A28V-07	1.831896e-01	5.699306e-02	5.802965e+00	2.696137e-02	0	2.404556e+00	0	2.288280e+00	1.724485e+00
TCGA-NF-A4X2-01A-11R-A28V-07	0	6.101467e-01	6.738407e+00	9.744591e-01	4.237194e-01	0	0	2.729961e+00	1.971100e+00
TCGA-NF-A5CP-01A-12R-A28V-07	1.789010e-01	1.431826e+00	5.696751e+00	4.305770e-01	1.628611e+00	4.500525e-02	5.513039e-01	2.855381e+00	1.363212e+00
TCGA-NG-A4VU-01A-11R-A28V-07	2.960926e+00	7.133525e-01	5.843789e+00	0	3.135908e-01	0	0	1.277813e+00	2.382908e+00
TCGA-NG-A4VW-01A-11R-A28V-07	0	0	5.990299e+00	0	2.185621e+00	0	0	2.356641e+00	2.407625e+00
TCGA-QM-A5NM-01A-11R-A28V-07	0	0	6.702349e+00	3.733034e-01	2.453995e+00	5.973175e-01	2.132763e-01	1.544183e+00	1.796534e+00
TCGA-QN-A5NN-01A-11R-A28V-07	8.782346e-02	8.573854e-01	6.248621e+00	1.216116e+00	1.233156e+00	1.229928e-01	9.064391e-01	2.463266e+00	1.921568e+00
