sampleID	D20.18_BRCA-Her2+	D29.14_Nonspecific	D28.6_UCEC	D29.25_Nonspecific	D28.23_TGCT	D28.16_Nonspecific	D29.10_PRAD	D29.22_SKCM	D28.19_LIHC	D29.27_LUAD	D28.11_BRCA-Chr8qAmp	D29.26_STAD+ESCA(Digestive)	D29.13_GBM+LGG	D27.13_BRCA-Luminal	D29.24_BLCA	D29.9_PCPG	D14.8_KIRC+KIRP(Pan-Kidney)	D21.5_COAD+STAD+ESCA(Pan-GI)	D27.24_BRCA-Basal	D21.12_THCA	D16.12_Pan-Squamous	D28.15_ACC	D29.18_NA	D29.1_NA	D20.2_NA
KIRP_B3C1CAEA_4175_4066_B9D1_6CC8097BDB40_X021_S10_L042_B1_T1_P047	0	1.223639e+00	0	0	5.339001e-01	8.615023e-01	0	0	0	0	0	0	0	0	0	1.774955e-01	5.621461e+00	0	0	4.230755e-01	0	0	8.792669e-01	3.157252e+00	2.979486e+00
KIRP_B3C1CAEA_4175_4066_B9D1_6CC8097BDB40_X021_S10_L043_B1_T2_P049	0	1.221561e+00	0	0	5.293706e-01	8.556967e-01	0	0	0	0	0	0	0	0	0	1.815330e-01	5.683539e+00	0	0	2.707871e-01	0	0	8.773316e-01	3.618661e+00	3.233197e+00
KIRP_B66E832D_DDE1_44C7_BCA0_AF649AAF50D7_X019_S08_L062_B1_T1_P039	0	8.188433e-01	9.555631e-01	0	5.590457e-02	2.872584e-01	1.163427e-01	0	0	0	5.127453e-01	0	0	0	0	8.528554e-01	4.005124e+00	0	1.087239e+00	0	0	1.868140e+00	0	2.855684e+00	3.203270e+00
KIRP_B66E832D_DDE1_44C7_BCA0_AF649AAF50D7_X019_S08_L063_B1_T2_P038	0	8.336566e-01	9.596953e-01	0	1.114738e-01	2.977493e-01	5.702109e-02	0	0	0	5.089034e-01	0	0	0	0	8.483536e-01	3.866300e+00	0	1.064922e+00	0	0	1.855698e+00	0	2.558287e+00	3.326930e+00
KIRP_BEB0AB9C_2DFA_49E1_BD4B_5A65BED95B83_X012_S12_L047_B1_T1_P027	1.362673e-01	2.005057e-01	0	0	5.010062e-01	2.452660e+00	1.208945e-01	0	3.839005e-01	0	4.975444e-01	0	0	0	6.426349e-02	5.022757e-01	5.500776e+00	0	0	9.296937e-01	3.502609e-01	4.975406e-01	0	0	3.454475e+00
KIRP_BEB0AB9C_2DFA_49E1_BD4B_5A65BED95B83_X012_S12_L048_B1_T2_P028	7.302760e-02	3.300308e-01	0	0	6.075573e-01	2.384626e+00	0	7.490625e-02	3.780894e-01	0	4.850309e-01	0	0	0	0	8.105984e-01	5.277023e+00	0	0	8.137674e-01	2.981503e-01	3.568740e-01	0	1.127786e+00	4.215256e+00
KIRP_DB49B30A_EECF_4F76_8E0B_3B0F612996F4_X006_S10_L050_B1_T1_P013	0	6.109886e-01	4.198573e-01	0	0	1.068907e+00	0	1.165388e-01	0	0	0	0	1.284463e-01	0	0	1.144027e+00	6.581012e+00	0	0	0	1.906160e-02	0	1.535788e+00	1.492145e-02	5.323187e+00
KIRP_DB49B30A_EECF_4F76_8E0B_3B0F612996F4_X006_S10_L051_B1_T2_P012	0	5.807182e-01	4.072925e-01	1.038719e-02	0	1.088752e+00	0	1.787774e-01	0	0	0	0	3.967013e-02	0	0	1.090068e+00	6.572629e+00	0	0	2.302255e-02	0	0	1.487595e+00	0	5.377482e+00
KIRP_DB8EEE5B_654A_4078_861D_67364F7F3881_X011_S10_L019_B1_T1_P026	0	4.184185e-01	4.411322e-02	6.361981e-01	4.064330e-01	9.872690e-01	0	0	0	0	0	0	0	0	7.119101e-02	1.331437e+00	3.427199e+00	0	0	0	6.499771e-01	1.663752e+00	9.048399e-01	0	8.166616e+00
KIRP_DB8EEE5B_654A_4078_861D_67364F7F3881_X011_S10_L020_B1_T2_P030	0	4.559819e-01	9.512458e-02	6.919644e-01	3.441297e-01	9.701630e-01	0	0	0	0	0	0	1.632041e-02	0	8.705466e-02	1.492143e+00	3.488581e+00	0	0	0	5.962326e-01	1.666062e+00	9.098035e-01	0	8.295704e+00
