sampleID	D13.3_CAR-HPX	D15.6_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D16.14_GNF2-TTN	D12.9_GNF2-SERPINI2	D25.2_SCHLOSSER-MYC-AND-SERUM-RESPONSE-SYNERGY	D17.2_REACTOME-OLFACTORY-SIGNALING-PATHWAY	D11.5_JIANG-CORE-DUPLICON-GENES	D16.2_FINETTI-BREAST-CANCER-KINOME-RED	D13.11_NAKAMURA-LUNG-CANCER-DIFFERENTIATION-MARKERS	D15.7_FARMER-BREAST-CANCER-CLUSTER-5	D18.12_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D20.17_XENOBIOTIC-METABOLIC-PROCESS	D22.17_GNF2-TM4SF2	D20.11_GNF2-CDH3	D16.10_JIANG-CORE-DUPLICON-GENES	D22.4_REACTOME-OLFACTORY-SIGNALING-PATHWAY
Pancreas_64501	3.892291e-02	1.637536e-01	7.021006e-02	1.121281e-01	1.541940e-01	1.807344e-01	1.286349e-01	3.028583e-01	6.250958e-02	2.902729e-01	6.581955e-03	1.214981e-01	1.892592e-01	8.370070e-02	1.989866e-01	1.941737e-01
Pancreas_72614	1.049815e-01	4.067902e-02	3.059490e-02	5.733409e-01	2.607476e-01	2.265499e-01	2.151431e-01	2.033145e-01	8.363061e-02	0	7.975024e-02	1.852193e-02	6.779608e-02	1.091536e-02	2.068238e-01	3.038648e-01
Pancreas_72616	9.623812e-02	8.141059e-02	2.244763e-02	3.178482e-01	1.898340e-01	1.505468e-01	3.095691e-01	1.882821e-01	7.033125e-02	1.044266e-01	7.328953e-02	1.208499e-02	1.253642e-01	3.791074e-02	6.240678e-02	2.186135e-01
Pancreas_64502	6.349801e-02	1.565728e-01	4.856986e-02	3.297156e-01	1.809834e-01	1.420818e-01	1.106793e-01	2.903703e-01	3.127054e-02	2.202738e-01	0	6.341009e-02	1.178995e-01	8.211919e-02	1.450740e-01	1.699744e-01
Pancreas_64503	4.765265e-02	1.117984e-01	7.346925e-02	2.352914e-01	1.729327e-01	1.622712e-01	1.185141e-01	3.428832e-01	3.389362e-02	2.516022e-01	0	1.262635e-01	9.897675e-02	1.401384e-01	1.326243e-01	1.626430e-01
Pancreas_64504	4.113979e-02	1.761319e-01	2.927102e-02	3.777749e-01	1.832238e-01	9.321864e-02	2.127413e-01	1.926560e-01	3.165220e-02	1.333398e-01	7.504452e-02	4.501953e-02	2.009333e-01	1.500694e-02	2.200504e-01	1.510175e-01
Pancreas_64505	9.013874e-02	6.430786e-02	4.409520e-02	5.091322e-01	2.325437e-01	1.879476e-01	1.400809e-01	2.739719e-01	1.104566e-01	2.612224e-02	6.354505e-02	9.776802e-02	9.455255e-02	5.540210e-03	1.669037e-01	1.959184e-01
Pancreas_64507	6.256829e-02	9.154655e-02	4.632575e-02	3.922449e-01	1.820612e-01	1.661657e-01	1.801430e-01	2.553210e-01	6.887296e-02	2.311682e-01	0	3.550838e-02	7.290452e-02	8.117471e-02	2.255687e-01	1.901536e-01
Pancreas_64508	8.222863e-02	8.335376e-02	6.753930e-02	5.091867e-01	2.036014e-01	2.607586e-01	1.010250e-01	2.722909e-01	9.730286e-02	1.090763e-01	4.161430e-02	7.001988e-02	6.833865e-02	1.532826e-02	1.680587e-01	2.686721e-01
Pancreas_64509	6.397113e-02	1.168725e-01	5.512386e-02	3.206622e-01	1.744545e-01	1.913068e-01	1.771186e-01	2.855363e-01	2.486949e-02	2.745688e-01	0	2.654307e-02	5.559945e-02	1.439294e-01	1.822547e-01	1.981503e-01
Pancreas_64510	6.530421e-02	1.155351e-01	5.642354e-02	2.023218e-01	1.495151e-01	1.547560e-01	1.679368e-01	2.947454e-01	1.710654e-02	2.709611e-01	0	8.169881e-02	8.227383e-02	1.318573e-01	1.850320e-01	1.643801e-01
Pancreas_46647	5.139837e-02	1.569477e-01	6.017340e-02	1.156659e-02	1.901948e-01	4.402587e-01	6.570702e-02	3.288953e-01	5.752011e-02	1.754592e-01	1.535865e-01	3.544933e-02	0	1.677290e-01	8.935245e-02	3.349360e-01
Pancreas_48569	6.877687e-02	6.265829e-02	1.330397e-02	1.383780e-01	2.334297e-01	4.397260e-01	2.309317e-01	1.880422e-01	0	2.607190e-01	0	1.089995e-01	6.604664e-02	1.083607e-01	1.136418e-01	2.668663e-01
Pancreas_64498	6.001124e-02	1.085858e-01	6.737250e-02	1.607187e-01	1.400519e-01	2.010313e-01	3.381522e-01	2.890194e-01	3.550009e-02	3.218251e-01	0	0	2.662515e-02	1.774426e-01	2.465341e-01	2.328374e-01
Pancreas_64499	7.090828e-02	2.411202e-01	3.836906e-02	2.450927e-01	1.711207e-01	1.011753e-01	1.465967e-01	2.159457e-01	6.926595e-02	2.059190e-01	6.580307e-02	3.186031e-02	1.833745e-01	0	1.968688e-01	1.548730e-01
Pancreas_64490	4.226880e-02	4.431129e-01	9.575875e-02	3.496698e-02	1.759375e-01	1.891864e-01	1.722663e-01	3.307566e-01	5.713990e-02	1.501564e-01	1.146562e-01	3.955175e-02	0	8.187712e-02	2.325945e-01	1.886966e-01
