geneID	D13.3_CAR-HPX	D15.6_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D16.14_GNF2-TTN	D12.9_GNF2-SERPINI2	D25.2_SCHLOSSER-MYC-AND-SERUM-RESPONSE-SYNERGY	D17.2_REACTOME-OLFACTORY-SIGNALING-PATHWAY	D11.5_JIANG-CORE-DUPLICON-GENES	D16.2_FINETTI-BREAST-CANCER-KINOME-RED	D13.11_NAKAMURA-LUNG-CANCER-DIFFERENTIATION-MARKERS	D15.7_FARMER-BREAST-CANCER-CLUSTER-5	D18.12_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D20.17_XENOBIOTIC-METABOLIC-PROCESS	D22.17_GNF2-TM4SF2	D20.11_GNF2-CDH3	D16.10_JIANG-CORE-DUPLICON-GENES	D22.4_REACTOME-OLFACTORY-SIGNALING-PATHWAY
A1BG	2.130769e+00	1.061628e+00	3.839986e-01	4.427652e-01	9.973255e-01	1.141182e+00	1.152894e+00	4.960724e-01	6.948586e-01	1.036224e+00	5.524165e-01	0	1.467756e+00	0	8.718788e-01	1.499649e+00
A1CF	2.651652e+00	2.399972e-01	3.991448e-01	1.396726e+00	6.811048e-01	9.258811e-01	3.920067e-01	3.589210e-01	1.865189e-01	0	2.040867e-01	2.835788e+00	2.989057e+00	1.450708e-01	6.324278e-01	1.103919e+00
A2BP1	2.839889e-01	0	3.510454e+00	5.030962e-01	0	8.239846e-01	8.455029e-01	2.025854e-01	0	0	6.443548e-01	4.935951e-01	7.185879e-01	2.703547e-01	6.027768e-01	1.702669e+00
A2LD1	1.258076e+00	8.460556e-01	7.447259e-01	1.884657e+00	0	5.952121e-01	2.188551e-01	2.088302e+00	7.376275e-01	8.946512e-01	1.172231e+00	1.561425e+00	6.222064e-01	1.162489e+00	6.209337e-01	5.941194e-01
A2M	1.875626e+00	2.255620e+00	1.978838e+00	1.455102e+00	1.280778e+00	1.281662e+00	1.637108e+00	0	2.093439e+00	2.745406e+00	2.185733e+00	2.280289e+00	1.309676e+00	7.364882e-01	1.771041e+00	1.217614e+00
A2ML1	1.092089e+00	7.435466e-01	8.535389e-01	1.383861e+00	2.982682e+00	9.566006e-01	1.846536e+00	8.746362e-01	6.142210e-01	6.596490e-01	5.833342e-01	0	8.245917e-01	7.224709e-01	1.340676e+00	8.757713e-01
A3GALT2	1.840519e-01	1.332314e-01	2.240561e-01	0	0	1.521941e+00	7.498117e-02	2.305890e-01	1.976719e-01	4.911553e-01	1.182360e-01	1.666047e-01	2.132899e-01	3.937831e-01	1.494417e-01	1.761639e-01
A4GALT	7.247387e-01	1.247706e+00	1.378437e+00	0	1.084631e+00	5.841743e-01	2.039125e+00	1.907026e-01	9.553068e-01	1.409387e+00	1.189405e+00	0	7.602794e-01	2.178768e+00	3.003736e-01	5.514163e-01
A4GNT	8.017787e-01	1.454908e-01	4.572788e-01	1.358376e+00	0	1.069265e+00	0	1.973440e-01	6.014373e-01	4.449855e-02	0	2.750264e+00	1.359419e+00	0	2.321015e-01	0
AAAS	7.811329e-01	7.321859e-01	7.626628e-01	1.009011e+00	1.927703e+00	1.299407e+00	1.054689e+00	1.244326e+00	7.026048e-01	4.330423e-01	4.570952e-01	3.653170e-01	1.137264e+00	5.680004e-01	9.988195e-01	9.729506e-01
AACS	8.254949e-01	6.246443e-01	9.670904e-01	1.052375e+00	9.257381e-01	1.191719e+00	8.746674e-01	1.637015e+00	8.644586e-01	4.743543e-01	6.270706e-01	1.074219e+00	1.830318e+00	8.840342e-01	1.011224e+00	9.050233e-01
AADAC	2.813078e+00	0	1.081899e-01	2.416502e+00	0	2.572347e-01	0	9.833351e-01	1.129119e+00	5.026928e-01	9.808770e-01	5.289610e+00	0	1.404926e+00	2.198748e-01	3.270773e-01
AADACL1	8.095686e-01	8.335382e-01	8.105786e-01	8.519534e-01	4.885392e-01	1.130566e+00	1.046705e+00	2.595287e+00	9.918126e-01	5.827266e-01	8.836973e-03	3.713581e-01	1.002007e+00	6.747942e-01	7.353455e-01	5.138118e-01
AADACL2	2.949654e-01	2.456552e-01	1.484218e-01	0	0	5.346190e-01	0	7.228770e-01	6.163569e-01	0	1.089052e+00	0	0	3.568943e-01	0	1.335380e+00
AADAT	1.598133e+00	0	3.827347e-01	7.529252e-01	0	5.205842e-01	2.811409e-01	2.032128e+00	9.334607e-01	5.554607e-01	1.261923e+00	2.188257e-01	1.069198e+00	0	1.791498e+00	4.362734e-01
AAK1	4.639860e-01	3.755656e-01	3.938625e-01	2.761902e-01	1.397833e+00	1.079972e+00	4.214044e-01	4.991059e-01	2.520882e-01	1.304622e-01	1.280129e-01	1.695416e-01	2.954626e-01	3.972586e-01	0	0
AAMP	9.928982e-01	1.110432e+00	1.260811e+00	1.050062e+00	1.588613e+00	9.792112e-01	8.246045e-01	1.790046e+00	1.015397e+00	7.608304e-01	1.024579e+00	1.182566e+00	1.380361e+00	1.371937e+00	6.346603e-01	1.037018e+00
AANAT	5.875894e-01	5.442367e-01	6.280367e-01	9.189035e-01	1.495537e+00	2.466748e+00	7.478152e-01	6.927961e-01	4.334738e-01	5.259206e-01	2.820841e-01	2.032551e-01	6.305505e-01	4.119483e-01	3.578163e-01	9.945851e-01
AARS	9.959256e-01	8.800629e-01	1.205130e+00	1.000170e+00	1.732094e+00	6.193282e-01	7.003064e-01	1.781918e+00	8.529313e-01	4.795602e-01	6.611774e-01	4.540639e-01	1.163657e+00	8.981010e-01	7.081456e-01	8.176763e-01
AARS2	9.906309e-01	6.649313e-01	7.599918e-01	8.045575e-01	2.677886e-01	1.357250e+00	1.263140e+00	1.765213e+00	6.935401e-01	5.633005e-01	6.370166e-01	2.266874e-01	8.032470e-01	1.304452e-01	1.819886e+00	1.617157e+00
AARSD1	7.343341e-01	4.747290e-01	2.174043e+00	6.916053e-01	1.025976e+00	7.273184e-01	8.571205e-01	1.427079e+00	5.311639e-01	2.798860e-01	1.083526e+00	5.211789e-01	7.247391e-01	5.583038e-01	4.390478e-01	9.208227e-01
AASDH	9.109097e-01	7.829378e-01	6.747426e-01	6.264870e-01	6.355670e-01	0	7.364074e-01	1.439963e+00	6.625014e-01	1.827875e-01	3.527964e-01	5.312874e-02	1.224897e+00	4.179734e-01	5.152742e-01	0
AASDHPPT	1.199754e+00	8.574067e-01	1.307871e+00	1.185055e+00	1.029183e+00	7.033575e-01	6.919855e-01	2.483416e+00	9.395913e-01	4.517070e-01	9.361719e-01	1.934669e-01	1.213212e+00	6.596268e-01	7.310418e-01	7.176400e-01
AASS	1.603469e+00	4.759072e-01	8.359106e-01	1.024645e+00	0	0	4.800804e-01	1.828053e+00	1.217628e+00	1.499863e+00	1.869289e+00	0	3.105606e-01	0	1.863599e+00	0
AATF	9.193387e-01	9.180391e-01	1.356012e+00	9.169543e-01	1.577291e+00	1.125509e+00	1.090710e+00	1.903488e+00	9.042392e-01	6.369964e-01	8.399510e-01	5.117423e-01	9.679221e-01	1.062447e+00	9.484306e-01	1.255802e+00
AATK	5.688296e-01	4.077267e-01	3.506855e-01	1.236306e+00	1.567535e+00	1.374485e+00	1.541376e+00	3.779236e-01	9.749252e-01	5.453849e-01	8.828875e-01	1.451740e+00	6.237697e-01	3.277933e-01	1.735272e+00	1.288657e+00
ABAT	2.334336e+00	6.775696e-01	2.844850e-01	1.722186e+00	4.428011e-01	1.004008e+00	5.188754e-01	6.226368e-01	8.361740e-01	3.014168e-01	1.033894e+00	1.585694e+00	2.222509e+00	1.250721e-01	1.218144e+00	1.284423e+00
ABCA1	1.508392e+00	1.385025e+00	9.052159e-01	3.714495e-01	6.835830e-01	1.131378e-01	2.387446e-01	6.061938e-01	9.555610e-01	1.142787e+00	1.003871e+00	1.302455e-01	4.179183e-01	8.413830e-01	1.253443e-01	1.415142e-01
ABCA10	2.073912e-01	0	4.091684e-01	6.766389e-01	0	0	0	1.842660e+00	2.615814e-01	0	9.795476e-01	0	1.407017e+00	0	1.716560e+00	0
ABCA11P	3.263819e-01	2.396242e-01	7.942528e-01	8.905032e-01	0	0	4.423814e-01	2.232576e+00	5.497793e-01	8.891916e-02	1.365479e+00	0	1.479503e+00	1.713935e-01	1.855385e+00	0
ABCA12	3.560210e-01	0	7.816129e-01	1.433137e-01	0	2.424054e-01	1.106129e-01	4.973076e-01	1.440609e-01	3.426232e-01	2.019622e-01	2.667850e-01	1.867165e-01	2.126733e+00	0	0
ABCA13	6.962076e-01	0	1.169182e-02	9.436826e-01	0	8.294752e-02	0	8.556794e-01	1.563464e+00	6.961946e-01	0	3.046430e-01	0	8.515286e-01	2.537518e-01	0
ABCA17P	5.589444e-01	2.038525e-01	1.900829e+00	9.092453e-01	0	9.171732e-01	9.282871e-01	5.227195e-01	4.168978e-01	5.602739e-01	5.880840e-01	0	1.308093e+00	0	1.718089e+00	0
ABCA2	5.317965e-01	5.543971e-01	5.235277e-01	2.957029e-01	1.911824e+00	5.968025e-01	7.620540e-01	6.765107e-01	3.982051e-01	5.747118e-01	3.964644e-01	3.770571e-01	1.219222e+00	6.892216e-01	6.904936e-01	0
ABCA3	4.819647e-01	7.235754e-01	9.835251e-01	8.065957e-01	1.099613e+00	1.023522e+00	1.309033e+00	1.205437e+00	2.034540e+00	2.402331e-01	8.387050e-01	6.765768e-01	1.984599e+00	0	1.414773e+00	7.247925e-01
ABCA4	8.397347e-01	7.600025e-01	8.685879e-01	1.544262e-01	0	0	4.763953e-01	6.439836e-01	5.119564e-01	0	6.568479e-01	2.348194e-01	2.627219e-01	9.566685e-01	5.891908e-01	0
ABCA5	1.950410e+00	8.988905e-01	2.102764e+00	2.084354e+00	2.880948e-01	3.072760e-01	1.000434e+00	5.865365e-01	9.069183e-01	0	1.056153e+00	9.258942e-01	1.641651e+00	7.947408e-01	2.212580e+00	5.477289e-01
ABCA6	1.877631e+00	1.942419e+00	1.539978e+00	7.455270e-01	0	0	7.968317e-01	0	1.957985e+00	2.057430e+00	2.879905e+00	8.095220e-01	1.457459e+00	6.867131e-01	1.802846e+00	0
ABCA7	4.764133e-01	1.376260e+00	4.065886e-01	6.771498e-01	2.275252e+00	5.787514e-01	1.919647e+00	0	8.117763e-01	3.960506e-01	0	3.673714e-01	6.609865e-01	1.611007e+00	2.538018e+00	8.056835e-02
ABCA8	1.361361e+00	1.794924e+00	1.859164e+00	2.220257e-01	0	0	0	0	1.947716e+00	9.965435e-01	4.358815e+00	2.438416e-01	9.097615e-01	2.151663e-01	2.097412e-01	0
ABCA9	1.529020e+00	1.101718e+00	1.523708e+00	6.518185e-02	0	0	0	0	1.126575e+00	6.747504e-01	2.567662e+00	3.718591e-01	9.322777e-01	0	1.990680e-01	0
ABCB1	1.618920e+00	1.364780e+00	6.219553e-01	3.220643e-01	0	5.138327e-01	0	6.686827e-01	8.674802e-01	2.055160e-02	1.412101e+00	9.091617e-01	2.264677e+00	0	0	5.199318e-01
ABCB10	9.122912e-01	7.030675e-01	8.493126e-01	7.872346e-01	1.088638e-01	2.439643e-01	1.993811e-01	2.018427e+00	7.090202e-01	0	7.953641e-01	3.264122e-01	5.520857e-01	3.274152e-01	4.029938e-01	6.431649e-01
ABCB11	1.765743e+00	4.561133e-01	6.031588e-01	7.923073e-02	0	1.496141e+00	0	3.049676e-02	0	1.634957e-02	0	9.469845e-03	2.640647e-01	6.345774e-01	0	0
ABCB4	2.707502e+00	1.149457e+00	3.914142e-01	0	0	0	5.052131e-01	2.020994e-02	0	4.664838e-01	0	0	4.958537e-01	2.753413e-01	2.961075e-01	0
ABCB5	2.502535e-01	4.064075e-01	2.618713e-01	3.327888e-01	7.537930e-01	0	4.324272e-01	3.332159e-01	5.848546e-02	3.888907e-02	6.125973e-01	1.213137e-01	4.061370e-02	3.313823e-01	0	2.416759e-01
ABCB6	1.202069e+00	5.485124e-01	1.509753e+00	6.915872e-01	1.257928e+00	1.314592e+00	1.418244e+00	1.462279e+00	7.673026e-01	4.563406e-01	8.113088e-01	5.716294e-01	1.361800e+00	2.449136e-01	1.309292e+00	1.181567e+00
ABCB7	1.149033e+00	8.050738e-01	1.375063e+00	9.453851e-01	7.977017e-01	1.053356e+00	1.249464e+00	1.968786e+00	8.106595e-01	5.982458e-01	1.004069e+00	3.355408e-01	1.078441e+00	7.500419e-01	1.205247e+00	9.628355e-01
ABCB8	7.799819e-01	5.081113e-01	6.186221e-01	2.880059e-01	1.233089e+00	0	3.502736e-01	1.183187e+00	4.207475e-01	1.125354e-01	1.584250e-02	3.047932e-01	7.440933e-01	3.501309e-01	5.635154e-02	0
ABCB9	4.213957e-01	3.369111e-01	7.513868e-01	5.421775e-01	8.589171e-01	5.000219e-01	6.821879e-01	6.485546e-01	1.677340e-01	0	0	0	6.794817e-01	1.045449e+00	3.601241e-01	0
ABCC1	1.956898e-01	6.549349e-01	7.111604e-01	2.528718e-01	6.123089e-01	0	5.155071e-01	1.941892e+00	5.129298e-01	7.347340e-01	1.902729e-01	2.360649e-01	3.585716e-01	5.889058e-01	5.819105e-01	0
ABCC10	5.076684e-01	4.296072e-01	5.558277e-01	1.427651e+00	1.773893e+00	1.805017e+00	7.804938e-01	8.928901e-01	5.616656e-01	6.785667e-01	3.285683e-01	6.159295e-01	6.428812e-01	4.046876e-01	1.186959e+00	4.927604e-01
ABCC11	1.928973e+00	6.426707e-02	4.728363e-01	3.318932e-01	0	6.549583e-02	1.334025e-01	6.867164e-01	1.671583e-01	2.449094e-03	5.679280e-02	4.756203e-01	3.150128e-01	2.667389e-01	5.867044e-01	3.771657e-01
ABCC12	6.842445e-01	0	3.371128e+00	3.409469e-01	0	1.376635e-01	0	0	0	0	4.892868e-02	3.719345e-01	7.347489e-02	3.044059e-02	0	0
ABCC13	2.803164e-01	2.672310e-01	3.337890e-01	2.830853e-01	0	3.425455e-01	0	7.198949e-01	6.741060e-01	0	4.117635e-01	7.793772e-01	3.439957e-01	5.612231e-01	0	8.890352e-01
ABCC2	2.004209e+00	3.382288e-01	5.375298e-01	7.809684e-01	0	1.200817e+00	1.095515e+00	1.051689e+00	3.670952e-01	0	7.286149e-01	9.106015e-01	0	0	1.491931e+00	1.101619e+00
ABCC3	1.631416e+00	9.926431e-01	2.410371e-01	1.990656e+00	4.500233e-02	1.151541e+00	1.225535e+00	7.568319e-01	9.262959e-01	6.160879e-01	0	2.724544e+00	9.219531e-01	2.123225e+00	2.190274e+00	1.017272e+00
ABCC4	2.216391e-01	2.065142e-01	4.561627e-01	7.190176e-02	0	0	0	1.996754e+00	6.255503e-01	9.344325e-02	3.782187e-01	0	6.819331e-01	0	0	0
ABCC5	6.072549e-01	4.826090e-01	1.336348e+00	5.534987e-01	0	9.276807e-01	9.537755e-01	1.474390e+00	6.775069e-01	7.714746e-01	5.211628e-01	8.868468e-01	1.440132e+00	4.050112e-01	1.733089e+00	1.160104e+00
ABCC6	1.575774e+00	2.901156e-01	4.613628e-01	1.450146e+00	6.440722e-01	1.465422e+00	5.319484e-01	6.859282e-01	1.022522e+00	4.138044e-02	3.442751e-01	1.260002e+00	5.558217e-01	0	7.851139e-01	1.659395e+00
ABCC8	7.688082e-01	5.111368e-01	9.439134e-01	1.931770e+00	4.098213e-01	1.279615e+00	4.818492e-01	0	1.503676e+00	8.956659e-01	4.829747e-01	1.037469e+00	7.751275e+00	4.047347e-01	1.013710e+00	6.486114e-01
ABCC9	1.382850e+00	9.416420e-01	1.772859e+00	1.093617e-01	0	0	0	2.876911e-01	8.180747e-01	1.691253e+00	2.753593e+00	0	1.277858e+00	0	2.057913e-01	0
ABCD1	8.080456e-01	5.720956e-01	9.521188e-01	1.056351e+00	1.978014e+00	7.132144e-01	9.543084e-01	9.099348e-01	5.060483e-01	4.560728e-01	1.867029e-01	3.803167e-01	3.181404e-01	3.655108e-01	7.442129e-01	1.389339e+00
ABCD2	3.120002e-02	1.125040e+00	2.588442e-02	6.813670e-02	7.007117e-01	0	1.678507e-01	4.486692e-01	2.107035e-01	2.025399e-01	3.295935e-01	0	6.867151e-02	1.421344e-01	0	0
ABCD3	1.188537e+00	2.655567e-01	9.011939e-01	8.582126e-01	0	2.607046e-01	0	2.285061e+00	7.321108e-01	0	7.580800e-01	9.987046e-01	1.021372e+00	4.248081e-01	0	0
ABCD4	1.178769e+00	9.378696e-01	1.006633e+00	1.127786e+00	0	1.056356e+00	1.228145e+00	1.957282e+00	1.020329e+00	4.520956e-01	1.002263e+00	6.481582e-01	9.099956e-01	8.714688e-01	2.394510e+00	1.371862e+00
ABCE1	7.868450e-01	6.255891e-01	1.256497e+00	1.038486e+00	5.656530e-01	6.951894e-01	3.869838e-01	2.594153e+00	6.537418e-01	2.920016e-01	1.075872e+00	2.992994e-01	7.872680e-01	6.374491e-01	4.036116e-01	9.074703e-01
ABCF1	9.077731e-01	9.294845e-01	1.389030e+00	9.419853e-01	1.566906e+00	1.381621e+00	1.163168e+00	1.796500e+00	8.895808e-01	8.682157e-01	9.116497e-01	3.393576e-01	1.051985e+00	6.469799e-01	1.071840e+00	1.338902e+00
ABCF2	6.087637e-01	6.187653e-01	1.435798e+00	5.981545e-01	8.583971e-01	8.593348e-01	6.138891e-01	1.933608e+00	6.754887e-01	4.658355e-01	8.171266e-01	1.166886e-01	8.397622e-01	5.499540e-01	4.982014e-01	7.993391e-01
ABCF3	1.082435e+00	8.903092e-01	1.072750e+00	1.081724e+00	1.946986e+00	1.014021e+00	1.217158e+00	1.559659e+00	8.743332e-01	5.835102e-01	6.276642e-01	3.674595e-01	9.782794e-01	5.574833e-01	1.173888e+00	1.136260e+00
ABCG1	9.363416e-01	1.719044e+00	1.411726e+00	8.005884e-01	6.743637e-01	1.110926e+00	1.280818e+00	1.273131e-01	1.376421e+00	1.385807e+00	7.120912e-01	1.638290e+00	1.078318e+00	1.682502e+00	9.501013e-01	9.153847e-01
ABCG2	1.011125e+00	1.076611e+00	4.866875e-01	4.129205e-01	1.428814e-01	1.389116e+00	3.658595e-01	1.653950e+00	1.056695e+00	1.781828e-01	1.393656e+00	7.881857e-01	7.275189e-01	7.687300e-02	3.960122e-01	1.696910e+00
ABCG4	6.454947e-01	4.631904e-01	8.424840e-01	9.177741e-02	0	1.636672e-01	7.252767e-01	9.935556e-01	3.846504e-01	1.052147e+00	1.304455e+00	0	2.816676e-01	0	1.198973e+00	6.084268e-01
ABCG5	2.460786e+00	3.834745e-01	2.361164e-01	6.953399e-01	0	1.334067e+00	1.738880e-01	7.520812e-01	3.802254e-01	4.461616e-02	9.165730e-01	2.920102e+00	0	0	9.551293e-01	1.242801e+00
ABCG8	6.894309e-01	1.870861e-01	2.448428e-01	9.007325e-02	3.523239e-01	0	8.196850e-02	1.225861e-01	9.883898e-02	0	2.425338e-02	4.812348e-01	1.809573e-01	0	0	0
ABHD1	8.964083e-01	2.837179e-01	9.741705e-01	4.822730e-01	0	2.046449e+00	4.842358e-01	4.540990e-01	2.532868e-01	1.927044e-01	5.688977e-01	0	3.158188e-01	0	7.524528e-01	1.052081e+00
ABHD10	9.960151e-01	6.474076e-01	8.262674e-01	7.349570e-01	9.432619e-01	2.437699e-01	5.100042e-01	1.990351e+00	6.455806e-01	0	4.726314e-01	2.874140e-01	1.277559e+00	5.925037e-01	1.672557e-01	3.070626e-01
ABHD11	6.425514e-01	3.064947e-01	5.653535e-01	1.215628e+00	1.425512e+00	1.143064e+00	1.111061e+00	1.722725e+00	6.976533e-01	6.339253e-01	3.904995e-01	1.537235e+00	8.334546e-01	1.445309e+00	1.031379e+00	8.317200e-01
ABHD12	8.641721e-01	3.933399e-01	7.107231e-01	1.337152e+00	1.344583e+00	6.964190e-01	7.304925e-01	1.903965e+00	9.979181e-01	2.536441e-01	9.635546e-01	1.009517e+00	1.210631e+00	1.312661e+00	6.860224e-01	6.910651e-01
ABHD12B	1.107705e-01	1.463065e-01	1.503958e-01	1.199672e-01	0	0	1.543488e-01	4.976589e-01	5.469840e-01	0	3.811715e-02	0	3.944526e-01	5.620545e-01	4.256959e-01	0
ABHD13	8.945482e-01	8.011194e-01	9.804506e-01	6.070245e-01	0	0	0	1.903911e+00	8.289272e-01	9.252796e-02	7.866616e-01	3.896040e-01	9.380834e-01	3.883956e-01	0	0
ABHD14A	9.970294e-01	1.043292e+00	9.724293e-01	9.019655e-01	2.484305e+00	1.001180e+00	9.761743e-01	1.209778e+00	9.252462e-01	3.258571e-01	8.208025e-01	4.579912e-01	1.931952e+00	3.342247e-01	2.676792e-01	7.925635e-01
ABHD14B	9.093039e-01	9.101730e-01	4.149426e-01	7.637079e-01	1.307748e+00	1.239776e+00	7.256959e-01	9.434110e-01	6.706591e-01	4.494722e-01	4.928924e-01	8.024879e-01	8.340455e-01	2.956025e-01	6.181400e-01	8.361239e-01
ABHD2	1.076079e+00	5.920824e-01	1.053935e+00	8.266535e-01	1.188264e+00	2.525262e-01	5.658718e-01	7.775889e-01	6.684441e-01	6.972415e-01	7.171924e-02	2.049996e+00	8.364785e-01	1.149233e+00	2.577133e-01	3.731391e-01
ABHD3	1.136197e+00	1.338304e+00	1.055333e+00	1.117838e+00	0	2.990741e-01	0	2.077769e+00	1.210041e+00	0	5.193112e-01	2.137281e+00	1.087633e+00	1.821255e+00	6.969989e-01	0
ABHD4	1.120910e+00	7.145193e-01	1.083781e+00	9.636149e-01	2.065037e+00	1.338584e+00	1.242872e+00	8.615944e-01	8.058864e-01	6.078606e-01	6.373785e-01	6.108272e-01	6.987583e-01	7.462168e-01	7.001006e-01	1.599000e+00
ABHD5	1.175272e+00	9.060502e-01	1.703235e+00	8.826456e-01	7.583684e-01	8.675131e-01	5.485171e-01	2.051147e+00	1.431149e+00	9.360864e-01	1.225025e+00	4.810646e-01	8.123805e-01	7.335471e-01	4.681465e-01	8.368343e-01
ABHD6	1.754628e+00	1.314406e+00	1.060908e+00	3.894865e-01	5.016023e-01	1.016624e+00	5.642305e-01	1.474152e+00	1.268413e+00	1.838722e-01	1.174578e+00	1.041557e+00	1.216662e+00	0	7.443243e-01	6.017748e-01
ABHD7	7.020005e-02	0	3.264067e-01	0	0	1.370861e+00	0	1.902090e+00	2.115841e-01	1.283189e+00	4.835534e-01	1.220945e+00	4.735645e-01	2.211862e+00	4.570516e-02	0
ABHD8	1.065922e+00	9.032027e-01	1.136234e+00	6.172329e-01	2.277005e+00	3.834790e-01	1.012200e+00	7.974139e-01	6.956921e-01	3.189090e-01	2.012328e-02	0	1.093635e+00	4.198313e-01	2.090094e-01	3.400298e-01
ABHD9	8.609082e-01	8.029075e-01	7.937378e-01	9.115360e-01	2.656701e+00	2.254580e+00	1.372339e+00	7.516994e-01	8.453068e-01	1.077185e+00	6.634088e-01	4.176291e-01	1.185793e+00	6.945464e-01	9.436022e-01	1.728808e+00
ABI1	9.826807e-01	1.070276e+00	1.270609e+00	1.153053e+00	0	1.071600e+00	8.913656e-01	1.921355e+00	1.009431e+00	8.132778e-01	9.756932e-01	1.141191e+00	9.509704e-01	1.310334e+00	1.227779e+00	1.350723e+00
ABI2	8.220851e-01	6.531315e-01	8.945587e-01	6.592472e-01	6.662739e-01	8.621622e-01	1.103773e+00	1.954813e+00	9.166535e-01	1.078134e+00	1.011921e+00	1.228308e-01	1.320793e+00	8.291409e-01	1.295936e+00	9.086397e-01
ABI3	9.013850e-01	1.901031e+00	8.144962e-01	5.136648e-01	7.962408e-01	1.348909e+00	1.182666e+00	4.413434e-01	1.239439e+00	1.269664e+00	6.677065e-01	1.762061e-01	9.738186e-01	0	4.694393e-01	1.042995e+00
ABI3BP	2.560264e-01	1.432898e+00	7.214379e-01	3.854854e-01	0	4.954919e-01	2.824893e-01	3.717002e-01	1.403897e+00	7.250176e-01	2.239196e+00	1.324629e-01	2.242645e-01	4.931835e-01	6.775325e-02	4.050644e-01
ABL1	4.194304e-01	4.146079e-01	4.807852e-01	2.292343e-01	2.080941e+00	3.644267e-01	1.083545e+00	8.324543e-01	3.020646e-01	5.193889e-01	4.229383e-01	1.082108e-01	2.504135e-01	1.076386e-01	1.189636e-01	5.261763e-01
ABL2	4.091220e-01	7.278887e-01	7.914453e-01	3.074695e-01	7.816939e-01	3.776154e-01	1.320533e+00	1.510507e+00	6.035396e-01	1.674880e+00	1.447506e+00	0	5.092241e-01	1.161415e+00	8.835137e-01	9.408413e-01
ABLIM1	1.183898e+00	1.319693e+00	1.954207e+00	1.262314e+00	7.124027e-01	1.450603e+00	1.293494e+00	1.510504e+00	1.284011e+00	4.883009e-01	1.206472e+00	1.277762e+00	1.582511e+00	1.387541e+00	1.382325e+00	1.532781e+00
ABLIM2	9.653080e-01	1.003996e+00	3.135903e+00	1.289457e+00	0	1.402263e+00	1.470071e+00	0	1.014145e+00	1.360194e+00	1.248257e+00	1.928717e+00	1.672465e+00	9.967572e-01	1.590398e+00	1.324151e+00
ABLIM3	1.713053e+00	8.671983e-01	1.483615e+00	2.220413e-01	9.759135e-01	6.943335e-01	1.285919e+00	4.657989e-01	7.387409e-01	9.275185e-01	1.028314e+00	1.800176e-01	2.385293e-01	1.690343e+00	9.344877e-01	7.452272e-01
ABO	1.648519e-01	1.462595e-01	3.247549e-01	9.804886e-02	0	1.694857e+00	0	2.793310e-01	3.092379e-01	4.607764e-01	3.297241e-01	5.369364e-01	1.686412e-01	5.155480e-01	3.197483e-01	5.427139e-01
ABP1	2.395542e-01	4.567099e-01	1.857388e-01	2.312863e-01	2.961801e-01	1.077282e+00	5.123550e-01	2.954706e-01	2.168569e-01	8.687251e-01	1.379812e-01	4.491806e+00	7.018292e-01	1.379658e+00	6.874543e-01	4.272678e-01
ABR	9.125680e-01	1.200762e+00	1.181198e+00	9.983573e-01	1.156296e+00	1.352371e+00	1.722324e+00	1.552889e+00	1.281169e+00	1.218893e+00	1.110195e+00	1.093834e+00	1.440595e+00	1.063498e+00	1.768814e+00	1.351312e+00
ABRA	1.203839e-01	3.170196e-01	4.684831e+00	0	0	0	2.487697e-01	0	1.324057e-01	0	2.454844e+00	2.806307e-01	0	2.524009e-01	0	0
ABT1	8.094179e-01	8.551393e-01	7.211307e-01	8.390659e-01	0	4.228951e-01	4.246588e-01	1.966971e+00	8.248333e-01	4.067331e-01	9.023509e-01	6.492070e-01	6.103420e-01	6.592440e-01	4.960059e-01	4.854144e-01
ABTB1	8.304130e-01	1.123177e+00	1.089456e+00	8.379072e-01	1.393866e+00	1.207877e+00	1.231256e+00	5.082991e-01	9.374758e-01	8.841507e-01	6.867074e-01	8.967263e-01	8.066759e-01	9.949415e-01	1.363111e+00	1.164832e+00
ABTB2	1.244367e+00	6.829396e-01	1.577676e+00	8.447662e-01	4.601850e-01	1.494633e+00	1.099980e+00	9.329661e-01	4.786158e-01	4.446960e-01	5.657212e-01	1.352734e+00	5.857279e-01	1.675287e+00	1.095720e+00	1.500888e+00
ACAA1	1.655756e+00	1.101195e+00	1.135781e+00	1.344028e+00	1.136933e+00	8.742586e-01	8.066888e-01	1.686268e+00	1.142177e+00	5.456570e-01	9.104744e-01	1.150112e+00	1.127702e+00	8.870124e-01	1.063422e+00	1.026643e+00
ACAA2	2.025173e+00	9.518581e-01	1.876666e+00	1.323550e+00	2.868328e-01	8.091946e-01	5.423644e-01	2.035675e+00	1.097344e+00	5.114822e-01	1.237349e+00	1.072388e+00	1.460681e+00	4.610874e-01	6.921671e-01	9.882846e-01
ACACA	5.884211e-01	0	6.888150e-01	4.823954e-01	1.441527e-01	0	1.514237e-01	1.692987e+00	4.307990e-01	0	2.500006e-01	2.814258e-01	8.060826e-01	5.608782e-01	2.210471e-01	0
ACACB	1.540937e+00	7.073550e-01	2.480558e+00	6.740937e-01	0	5.580943e-02	3.229831e-01	7.329255e-02	6.156745e-01	4.039419e-01	1.420698e+00	9.319795e-01	9.933967e-01	0	1.073684e+00	3.575228e-01
