geneID	D13.3_CAR-HPX	D15.6_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D16.14_GNF2-TTN	D12.9_GNF2-SERPINI2	D25.2_SCHLOSSER-MYC-AND-SERUM-RESPONSE-SYNERGY	D17.2_REACTOME-OLFACTORY-SIGNALING-PATHWAY	D11.5_JIANG-CORE-DUPLICON-GENES	D16.2_FINETTI-BREAST-CANCER-KINOME-RED	D13.11_NAKAMURA-LUNG-CANCER-DIFFERENTIATION-MARKERS	D15.7_FARMER-BREAST-CANCER-CLUSTER-5	D18.12_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D20.17_XENOBIOTIC-METABOLIC-PROCESS	D22.17_GNF2-TM4SF2	D20.11_GNF2-CDH3	D16.10_JIANG-CORE-DUPLICON-GENES	D22.4_REACTOME-OLFACTORY-SIGNALING-PATHWAY
LOC654780	2.871293e-01	2.399427e-01	4.570623e-01	1.250149e+00	9.041915e-01	2.543645e+00	8.167625e-01	7.460504e-01	4.575053e-01	2.198226e-01	5.491505e-01	0	3.600987e-02	4.753063e-01	5.574665e-01	3.162670e+00
LOC723809	1.759709e-01	0	3.791654e-01	2.461761e+00	0	0	1.010392e-01	0	1.137541e+00	0	0	2.489694e+00	5.505470e-01	1.378853e-01	1.185464e+00	0
LOC727805	2.532581e-01	3.525309e-01	1.599494e-01	4.490114e-01	1.186796e+00	7.692966e-01	1.532340e+00	6.915581e-01	1.964715e-01	1.167693e-01	8.617396e-02	0	3.297565e-01	6.276223e-02	1.645850e+00	1.578543e+00
LOC727820	1.033162e+00	1.344851e+00	0	1.242567e+00	1.208490e+00	6.254957e-01	2.031434e+00	1.617456e-01	9.240178e-01	6.995864e-01	4.933344e-01	5.496838e-01	9.885645e-01	1.603161e+00	3.633617e+00	2.727691e-01
LOC727834	7.379105e-01	6.535577e-01	3.761808e-01	8.868279e-01	4.654081e-01	0	8.525424e-01	1.284927e+00	3.458078e-01	0	5.494408e-01	0	6.994606e-01	4.004445e-01	2.043520e+00	0
LOC727835	1.367156e+00	1.263198e+00	1.668739e+00	1.481439e+00	1.645280e+00	1.573227e+00	1.466838e+00	2.267203e+00	1.259654e+00	8.507827e-01	1.320791e+00	7.216343e-01	1.467031e+00	1.179836e+00	1.448008e+00	1.601938e+00
LOC727842	6.813815e-01	1.050049e+00	1.171121e+00	9.092171e-01	4.899062e-01	6.162345e-01	1.610270e-01	2.274750e+00	8.402433e-01	2.735723e-01	9.308214e-01	4.049366e-01	1.166195e+00	8.720493e-01	2.699076e-01	5.234386e-01
LOC727865	1.411691e+00	1.315979e+00	1.677285e+00	1.486159e+00	1.572847e+00	1.466994e+00	1.406239e+00	2.542197e+00	1.337094e+00	8.067749e-01	1.356277e+00	6.877847e-01	1.560727e+00	1.246277e+00	1.464985e+00	1.494366e+00
LOC727869	1.244120e+00	0	4.496656e-01	8.781071e-01	9.753673e-02	4.745114e-01	2.696957e+00	3.116388e-01	5.093098e-01	1.497959e-01	0	2.752383e-01	3.831962e-01	5.619028e-01	2.923770e+00	3.048735e-01
LOC727916	7.738338e-01	0	4.128158e-01	1.761112e+00	0	4.862566e-01	0	1.075198e+00	7.495550e-01	4.150302e-02	4.171704e-01	7.811337e-01	4.187677e-01	5.726120e-01	0	0
LOC727933	1.143837e-01	6.686681e-02	2.584858e-01	2.704037e-01	3.859916e-01	7.143278e-01	1.430377e-01	9.248237e-02	9.493466e-02	1.064391e-01	7.360911e-02	1.210334e-01	0	4.182046e-01	1.261343e-01	0
LOC727941	2.813177e-01	2.828112e-01	2.406710e-01	2.924113e-01	5.471064e-01	1.941634e-01	2.903646e-01	6.508427e-01	4.007036e-02	0	2.589872e-01	2.247155e-01	1.921861e-01	3.114287e-01	4.742129e-01	1.440478e-01
LOC727982	2.545792e-01	0	2.419393e-01	5.839376e-01	5.415024e-01	1.157911e+00	8.498677e-01	6.409805e-01	1.276292e-01	0	1.551799e-01	0	2.204429e-02	4.472204e-02	8.904688e-01	1.999806e+00
LOC727992	4.394487e-01	4.022112e-01	3.051846e-01	3.411985e-01	1.244993e+00	8.193746e-01	7.026007e-01	5.697885e-01	1.979526e-01	1.424550e-01	0	0	1.417212e-01	2.282595e-01	0	1.434458e+00
LOC727997	1.314457e+00	1.297709e+00	1.510979e+00	1.458731e+00	1.567628e+00	1.500790e+00	1.451873e+00	2.517462e+00	1.331744e+00	9.077972e-01	1.273682e+00	7.023584e-01	1.409284e+00	1.059382e+00	1.495320e+00	1.488597e+00
LOC728003	1.047450e+00	4.583520e-01	1.290242e+00	8.666456e-01	1.172996e+00	1.156120e+00	1.022568e+00	1.283860e+00	7.482956e-01	3.611397e-01	7.645303e-01	5.065280e-01	6.119532e-01	8.336534e-01	2.404569e-01	1.171696e+00
